,city,osm_id,lat,lon,temperature,feels_like,humidity,rain_pop,rain_mmh,expected_weather,rank_temp,rank_rain_inv,rank_avg,hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description,hotel_rank,hotel_rank_inv
0,Aigues&Mortes,272287,43.5661521,4.19154,16.6,15.55,47.2,0.0,0.0,Clouds,2.0,1.0,1.5,Au Cœur des Remparts,9.9,140.0,43.565401,4.192973,https://www.booking.com/hotel/fr/au-coeur-des-remparts-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGSn6oGwAIB0gIkZDlmZWViMjAtMDM3Ny00MDUzLWEyNTQtY2QxMzRmYmI0ZTNl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=55cc77092b4e01d3&srepoch=1699203348&from=searchresults#hotelTmpl,"Located in Aigues-Mortes, 24 km from Montpellier Arena and 24 km from Parc des Expositions de Montpellier, Au Cœur des Remparts offers air conditioning. It has city views and free WiFithroughout the property.

The apartment features 1 bedroom, a flat-screen TV, an equipped kitchenette with a microwave and a fridge, and 1 bathroom with a walk-in shower. Towels and bed linen are provided in the apartment.

Zenith Sud Montpellier is 28 km from the apartment, while Odysseum Shopping Centre is 29 km away. The nearest airport is Montpellier - Mediterranee Airport, 29 km from Au Cœur des Remparts.",1,22
1,Aigues&Mortes,272287,43.5661521,4.19154,16.6,15.55,47.2,0.0,0.0,Clouds,2.0,1.0,1.5,Mas Sainte Marie,9.8,55.0,43.582241,4.247664,https://www.booking.com/hotel/fr/mas-sainte-marie-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGSn6oGwAIB0gIkZDlmZWViMjAtMDM3Ny00MDUzLWEyNTQtY2QxMzRmYmI0ZTNl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=55cc77092b4e01d3&srepoch=1699203348&from=searchresults#hotelTmpl,"Situated in Aigues-Mortes, 29 km from Montpellier Arena, Mas Sainte Marie features accommodation with a spa and wellness centre, free private parking, a seasonal outdoor swimming pool and a garden. Boasting a housekeeping service, this property also provides guests with an outdoor fireplace. Each room comes with a terrace with views of the pool.

The rooms are fitted with air conditioning, a microwave, a fridge, a coffee machine, a walk-in shower, bathrobes and a wardrobe. Featuring a private bathroom with a hot tub and slippers, rooms at the guest house also boast free WiFi. At Mas Sainte Marie rooms have bed linen and towels.

An American breakfast is available each morning at the accommodation.

Spa and wellness facilities including a sauna and a wellness packages are at guests' disposal during their stay at Mas Sainte Marie.

Parc des Expositions de Montpellier is 29 km from the guest house, while Zenith Sud Montpellier is 33 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 34 km from Mas Sainte Marie.",2,21
2,Aigues&Mortes,272287,43.5661521,4.19154,16.6,15.55,47.2,0.0,0.0,Clouds,2.0,1.0,1.5,AIGUES MARINES,9.7,105.0,43.558937,4.218141,https://www.booking.com/hotel/fr/aigues-marines-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGSn6oGwAIB0gIkZDlmZWViMjAtMDM3Ny00MDUzLWEyNTQtY2QxMzRmYmI0ZTNl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=55cc77092b4e01d3&srepoch=1699203348&from=searchresults#hotelTmpl,"AIGUES MARINES has garden views, free WiFi and free private parking, situated in Aigues-Mortes, 26 km from Montpellier Arena.

Fitted with a terrace, the units offer air conditioning and feature a flat-screen TV and a private bathroom with shower and bathrobes.

Guests at the bed and breakfast can enjoy a continental breakfast.

Guests can enjoy the outdoor swimming pool and garden at AIGUES MARINES.

Parc des Expositions de Montpellier is 26 km from the accommodation, while Zenith Sud Montpellier is 30 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 31 km from AIGUES MARINES.",3,20
3,Aigues&Mortes,272287,43.5661521,4.19154,16.6,15.55,47.2,0.0,0.0,Clouds,2.0,1.0,1.5,Péniche La Belle Aimée,9.5,55.0,43.581709,4.208536,https://www.booking.com/hotel/fr/peniche-la-belle-aimee.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGSn6oGwAIB0gIkZDlmZWViMjAtMDM3Ny00MDUzLWEyNTQtY2QxMzRmYmI0ZTNl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=bayesian_review_score&srpvid=55cc77092b4e01d3&srepoch=1699203348&from=searchresults#hotelTmpl,"Situated in Aigues-Mortes, 27 km from Montpellier Arena and 27 km from Parc des Expositions de Montpellier, Péniche La Belle Aimée offers a garden and air conditioning. This property offers access to a terrace and free private parking.

The boat features a flat-screen TV. Towels and bed linen are available in the boat.

Zenith Sud Montpellier is 31 km from the boat, while Odysseum Shopping Centre is 32 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 33 km from Péniche La Belle Aimée.",5,17
4,Aigues&Mortes,272287,43.5661521,4.19154,16.6,15.55,47.2,0.0,0.0,Clouds,2.0,1.0,1.5,La Maison du Môle,9.5,333.0,43.5518696,4.16810244,https://www.booking.com/hotel/fr/la-maison-du-mole.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGSn6oGwAIB0gIkZDlmZWViMjAtMDM3Ny00MDUzLWEyNTQtY2QxMzRmYmI0ZTNl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&srpvid=55cc77092b4e01d3&srepoch=1699203348&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Boasting free bikes, garden and views of lake, La Maison du Môle is set in Aigues-Mortes, 22 km from Montpellier Arena. The property is located 22 km from Parc des Expositions de Montpellier, 26 km from Zenith Sud Montpellier and 27 km from Odysseum Shopping Centre. There is a picnic area and guests can make use of free WiFi and free private parking.

At the guest house, the rooms are equipped with a wardrobe. Complete with a private bathroom fitted with a walk-in shower and bathrobes, all guest rooms at La Maison du Môle have a flat-screen TV and air conditioning, and some rooms also feature a terrace. All units will provide guests with a desk and a kettle.

A continental breakfast is available every morning at the accommodation.

Montpellier Town Hall is 27 km from La Maison du Môle, while The Corum is 30 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 27 km from the guest house.",5,17
5,Aigues&Mortes,272287,43.5661521,4.19154,16.6,15.55,47.2,0.0,0.0,Clouds,2.0,1.0,1.5,Boutique Hôtel des Remparts & Spa,9.5,225.0,43.56803552,4.1903438,https://www.booking.com/hotel/fr/les-remparts-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGSn6oGwAIB0gIkZDlmZWViMjAtMDM3Ny00MDUzLWEyNTQtY2QxMzRmYmI0ZTNl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=55cc77092b4e01d3&srepoch=1699203348&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in a former military station dating from the 18th-century, inside the medieval ramparts of Aigues-Mortes, this refined hotel offers a bar and a terrace with sun loungers. There is also a spa with an indoor heated pool. This boutique hotel is located opposite the Tower of Constance and The Centre for National Monuments.

The guest rooms with ceiling heights between 3.30 and 4 metres feature stone walls, a minibar, a flat-screen TV and free WiFi. All rooms come with a bathroom with a free standing bathtub, a walk-in shower, bathrobes and slippers. There is no separation between the sleeping area and the bathroom. They all feature views of the ramparts.

A continental breakfast is served each morning and can be enjoyed in the lounges or on the terrace, weather permitting.

Guests are invited to enjoy a drink in the hotel’s lounge bar, which features contemporary furniture and panoramic views of the ramparts.

Aigues-Mortes Train Station is a 5-minute walk from the hotel while Montpellier Méditerranée Airport is a 20-minute drive away. Golf de la Grande Motte is 12 km from the hotel.",5,17
6,Aigues&Mortes,272287,43.5661521,4.19154,16.6,15.55,47.2,0.0,0.0,Clouds,2.0,1.0,1.5,Lou Mirèio,9.5,137.0,43.56607498,4.19257857,https://www.booking.com/hotel/fr/42-rue-pasteur.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGSn6oGwAIB0gIkZDlmZWViMjAtMDM3Ny00MDUzLWEyNTQtY2QxMzRmYmI0ZTNl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=55cc77092b4e01d3&srepoch=1699203348&from=searchresults#hotelTmpl,"Set in Aigues-Mortes and only 24 km from Montpellier Arena, Lou Mirèio offers accommodation with city views, free WiFi and free private parking. The air-conditioned accommodation is 24 km from Parc des Expositions de Montpellier.

The apartment has 1 bedroom, a flat-screen TV, an equipped kitchen with an oven and a microwave, a washing machine, and 1 bathroom with a shower. Towels and bed linen are offered in the apartment.

Zenith Sud Montpellier is 28 km from the apartment, while Odysseum Shopping Centre is 29 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 29 km from Lou Mirèio.",5,17
7,Aigues&Mortes,272287,43.5661521,4.19154,16.6,15.55,47.2,0.0,0.0,Clouds,2.0,1.0,1.5,Maison De Mon Père,9.2,176.0,43.5671904,4.1917759,https://www.booking.com/hotel/fr/maison-de-mon-pere.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGSn6oGwAIB0gIkZDlmZWViMjAtMDM3Ny00MDUzLWEyNTQtY2QxMzRmYmI0ZTNl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=bayesian_review_score&srpvid=55cc77092b4e01d3&srepoch=1699203348&from=searchresults#hotelTmpl,"Maison De Mon Père is a B&B locate in the centre of the medieval city of Aigues-Mortes. It is 200 metres from the ramparts and the towers of the fortified city. Free WiFi access is provided.

The air-conditioned double rooms offer a flat-screen TV with satellite channels. The private bathrooms have a bath or shower.

Restaurants can be found 100 metres away.

This B&B is 29.1 km from Saintes-Maries-de-la-Mer. Maison De Mon Père is 26.8 km from Montpellier Méditerranée Airport.",10,12
8,Aigues&Mortes,272287,43.5661521,4.19154,16.6,15.55,47.2,0.0,0.0,Clouds,2.0,1.0,1.5,Bel Appartement Terrasse 4 Étoiles Intra Muros,9.2,51.0,43.56718677,4.19134417,https://www.booking.com/hotel/fr/bel-appartement-terrasse-intra-muros.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AsSOn6oGwAIB0gIkM2I5ZjNiZDgtYjcxNi00NWQwLWFhMGItODI3NzRiOTMyM2E32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=bayesian_review_score&srpvid=7a6d7622b9a60295&srepoch=1699202886&from=searchresults#hotelTmpl,"Located in Aigues-Mortes, 24 km from Montpellier Arena and 24 km from Parc des Expositions de Montpellier, Bel Appartement Terrasse 4 Étoiles Intra Muros provides air-conditioned accommodation with a terrace and free WiFi. With garden views, this accommodation offers a patio.

This apartment is equipped with 1 bedroom, a kitchen with an oven and a microwave, a flat-screen TV, a seating area and 1 bathroom equipped with a walk-in shower. Towels and bed linen are provided in the apartment.

The apartment offers a children's playground. A bicycle rental service is available at Bel Appartement Terrasse 4 Étoiles Intra Muros.

Zenith Sud Montpellier is 28 km from the accommodation, while Odysseum Shopping Centre is 29 km away. The nearest airport is Montpellier - Mediterranee Airport, 29 km from Bel Appartement Terrasse 4 Étoiles Intra Muros.",10,12
9,Aigues&Mortes,272287,43.5661521,4.19154,16.6,15.55,47.2,0.0,0.0,Clouds,2.0,1.0,1.5,L'Oliveraie de Paul,9.2,53.0,43.58377122,4.20415288,https://www.booking.com/hotel/fr/oliveraie-de-paul.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGSn6oGwAIB0gIkZDlmZWViMjAtMDM3Ny00MDUzLWEyNTQtY2QxMzRmYmI0ZTNl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=bayesian_review_score&srpvid=55cc77092b4e01d3&srepoch=1699203348&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located 30 km both from Arles and Nimes, L'Oliveraie de Paul offers self-catering guest accommodation in 15 hectares of land and olive groves. It has an outdoor swimming pool, and free Wi-Fi access.

The air-conditioned apartments are simply decorated and feature a fully equipped kitchen, a private bathroom and a furnished patio. A gas grill and a Senseo coffee machine are also available for guests’ use.

Breakfast is available at an additional cost and a supermarket can be found within 1 km from L'Oliveraie de Paul. Aigues-Mortes with its cafes and restaurants is 2 km away. L'Oliveraie de Paul also sells its own olive oil.

The property is only 30 km from Montpellier, Nimes and the beach and also features a tennis court. A children’s playground for younger guests can be found on site and free, private parking is available with no reservation.",10,12
