hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
AIGUES MARINES,9.7,105 reviews,43.55893700,4.21814100,https://www.booking.com/hotel/fr/aigues-marines-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArCpn6oGwAIB0gIkNDA3ZmI2ODItZmI4Mi00ZDMzLWFkMWUtNjNiYjVjZTY1OTU12AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=36287cd84f3d019d&srepoch=1699206323&from=searchresults#hotelTmpl,"AIGUES MARINES has garden views, free WiFi and free private parking, situated in Aigues-Mortes, 26 km from Montpellier Arena.

Fitted with a terrace, the units offer air conditioning and feature a flat-screen TV and a private bathroom with shower and bathrobes.

Guests at the bed and breakfast can enjoy a continental breakfast.

Guests can enjoy the outdoor swimming pool and garden at AIGUES MARINES.

Parc des Expositions de Montpellier is 26 km from the accommodation, while Zenith Sud Montpellier is 30 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 31 km from AIGUES MARINES."
Au Cœur des Remparts,9.9,140 reviews,43.56540100,4.19297300,https://www.booking.com/hotel/fr/au-coeur-des-remparts-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArCpn6oGwAIB0gIkNDA3ZmI2ODItZmI4Mi00ZDMzLWFkMWUtNjNiYjVjZTY1OTU12AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=36287cd84f3d019d&srepoch=1699206323&from=searchresults#hotelTmpl,"Located in Aigues-Mortes, 24 km from Montpellier Arena and 24 km from Parc des Expositions de Montpellier, Au Cœur des Remparts offers air conditioning. It has city views and free WiFithroughout the property.

The apartment features 1 bedroom, a flat-screen TV, an equipped kitchenette with a microwave and a fridge, and 1 bathroom with a walk-in shower. Towels and bed linen are provided in the apartment.

Zenith Sud Montpellier is 28 km from the apartment, while Odysseum Shopping Centre is 29 km away. The nearest airport is Montpellier - Mediterranee Airport, 29 km from Au Cœur des Remparts."
Mas Sainte Marie,9.8,55 reviews,43.58224100,4.24766400,https://www.booking.com/hotel/fr/mas-sainte-marie-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArCpn6oGwAIB0gIkNDA3ZmI2ODItZmI4Mi00ZDMzLWFkMWUtNjNiYjVjZTY1OTU12AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=36287cd84f3d019d&srepoch=1699206323&from=searchresults#hotelTmpl,"Situated in Aigues-Mortes, 29 km from Montpellier Arena, Mas Sainte Marie features accommodation with a spa and wellness centre, free private parking, a seasonal outdoor swimming pool and a garden. Boasting a housekeeping service, this property also provides guests with an outdoor fireplace. Each room comes with a terrace with views of the pool.

The rooms are fitted with air conditioning, a microwave, a fridge, a coffee machine, a walk-in shower, bathrobes and a wardrobe. Featuring a private bathroom with a hot tub and slippers, rooms at the guest house also boast free WiFi. At Mas Sainte Marie rooms have bed linen and towels.

An American breakfast is available each morning at the accommodation.

Spa and wellness facilities including a sauna and a wellness packages are at guests' disposal during their stay at Mas Sainte Marie.

Parc des Expositions de Montpellier is 29 km from the guest house, while Zenith Sud Montpellier is 33 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 34 km from Mas Sainte Marie."
Boutique Hôtel des Remparts & Spa,9.5,225 reviews,43.56803552,4.19034380,https://www.booking.com/hotel/fr/les-remparts-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArCpn6oGwAIB0gIkNDA3ZmI2ODItZmI4Mi00ZDMzLWFkMWUtNjNiYjVjZTY1OTU12AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=36287cd84f3d019d&srepoch=1699206323&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in a former military station dating from the 18th-century, inside the medieval ramparts of Aigues-Mortes, this refined hotel offers a bar and a terrace with sun loungers. There is also a spa with an indoor heated pool. This boutique hotel is located opposite the Tower of Constance and The Centre for National Monuments.

The guest rooms with ceiling heights between 3.30 and 4 metres feature stone walls, a minibar, a flat-screen TV and free WiFi. All rooms come with a bathroom with a free standing bathtub, a walk-in shower, bathrobes and slippers. There is no separation between the sleeping area and the bathroom. They all feature views of the ramparts.

A continental breakfast is served each morning and can be enjoyed in the lounges or on the terrace, weather permitting.

Guests are invited to enjoy a drink in the hotel’s lounge bar, which features contemporary furniture and panoramic views of the ramparts.

Aigues-Mortes Train Station is a 5-minute walk from the hotel while Montpellier Méditerranée Airport is a 20-minute drive away. Golf de la Grande Motte is 12 km from the hotel."
Lou Mirèio,9.5,137 reviews,43.56607498,4.19257857,https://www.booking.com/hotel/fr/42-rue-pasteur.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArCpn6oGwAIB0gIkNDA3ZmI2ODItZmI4Mi00ZDMzLWFkMWUtNjNiYjVjZTY1OTU12AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=36287cd84f3d019d&srepoch=1699206323&from=searchresults#hotelTmpl,"Set in Aigues-Mortes and only 24 km from Montpellier Arena, Lou Mirèio offers accommodation with city views, free WiFi and free private parking. The air-conditioned accommodation is 24 km from Parc des Expositions de Montpellier.

The apartment has 1 bedroom, a flat-screen TV, an equipped kitchen with an oven and a microwave, a washing machine, and 1 bathroom with a shower. Towels and bed linen are offered in the apartment.

Zenith Sud Montpellier is 28 km from the apartment, while Odysseum Shopping Centre is 29 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 29 km from Lou Mirèio."
App design au centre des remparts d’Aigues-Mortes.,9.7,26 reviews,43.56596324,4.19175802,https://www.booking.com/hotel/fr/app-design-au-centre-des-remparts-d-aigues-mortes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArCpn6oGwAIB0gIkNDA3ZmI2ODItZmI4Mi00ZDMzLWFkMWUtNjNiYjVjZTY1OTU12AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&srpvid=36287cd84f3d019d&srepoch=1699206323&from=searchresults#hotelTmpl,"App design au centre des remparts d’Aigues-Mortes. In Aigues-Mortes provides accommodation with free WiFi, 24 km from Montpellier Arena, 24 km from Parc des Expositions de Montpellier and 28 km from Zenith Sud Montpellier. This apartment is 29 km from Odysseum Shopping Centre and 29 km from Montpellier Town Hall.

This air-conditioned apartment comes with 1 bedroom, a flat-screen TV, and a kitchen.

The Corum is 32 km from the apartment, while Fabre Museum is 32 km away. The nearest airport is Montpellier - Mediterranee Airport, 29 km from App design au centre des remparts d’Aigues-Mortes.."
B&B La Terre Brûlée,9.2,113 reviews,43.56197612,4.20767969,https://www.booking.com/hotel/fr/b-amp-b-la-terre-brulee.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArCpn6oGwAIB0gIkNDA3ZmI2ODItZmI4Mi00ZDMzLWFkMWUtNjNiYjVjZTY1OTU12AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&srpvid=36287cd84f3d019d&srepoch=1699206323&from=searchresults#hotelTmpl,"Situated 25 km from Montpellier Arena, B&B La Terre Brûlée offers pool with a view, a garden and air-conditioned accommodation with a terrace and free WiFi.

There is a private bathroom with walk-in shower and a hair dryer in each unit, along with free toiletries.

Guests at the bed and breakfast can enjoy a continental breakfast.

Parc des Expositions de Montpellier is 25 km from B&B La Terre Brûlée, while Zenith Sud Montpellier is 29 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 31 km from the accommodation."
La Maison du Môle,9.5,333 reviews,43.55186960,4.16810244,https://www.booking.com/hotel/fr/la-maison-du-mole.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArCpn6oGwAIB0gIkNDA3ZmI2ODItZmI4Mi00ZDMzLWFkMWUtNjNiYjVjZTY1OTU12AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&srpvid=36287cd84f3d019d&srepoch=1699206323&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Boasting free bikes, garden and views of lake, La Maison du Môle is set in Aigues-Mortes, 22 km from Montpellier Arena. The property is located 22 km from Parc des Expositions de Montpellier, 26 km from Zenith Sud Montpellier and 27 km from Odysseum Shopping Centre. There is a picnic area and guests can make use of free WiFi and free private parking.

At the guest house, the rooms are equipped with a wardrobe. Complete with a private bathroom fitted with a walk-in shower and bathrobes, all guest rooms at La Maison du Môle have a flat-screen TV and air conditioning, and some rooms also feature a terrace. All units will provide guests with a desk and a kettle.

A continental breakfast is available every morning at the accommodation.

Montpellier Town Hall is 27 km from La Maison du Môle, while The Corum is 30 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 27 km from the guest house."
Le Repaire du Soleil,9.6,24 reviews,43.56554480,4.18966120,https://www.booking.com/hotel/fr/le-repaire-du-soleil.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArCpn6oGwAIB0gIkNDA3ZmI2ODItZmI4Mi00ZDMzLWFkMWUtNjNiYjVjZTY1OTU12AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=bayesian_review_score&srpvid=36287cd84f3d019d&srepoch=1699206323&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Situated in Aigues-Mortes, 24 km from Montpellier Arena and 24 km from Parc des Expositions de Montpellier, Le Repaire du Soleil offers air conditioning. It features city views and free WiFithroughout the property.

The apartment has 2 bedrooms, a flat-screen TV with satellite channels, an equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a shower. Towels and bed linen are available in the apartment.

Zenith Sud Montpellier is 28 km from the apartment, while Odysseum Shopping Centre is 29 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 29 km from Le Repaire du Soleil."
Mas de la Montille,9.1,170 reviews,43.58386486,4.23920989,https://www.booking.com/hotel/fr/mas-de-la-montille.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArCpn6oGwAIB0gIkNDA3ZmI2ODItZmI4Mi00ZDMzLWFkMWUtNjNiYjVjZTY1OTU12AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=bayesian_review_score&srpvid=36287cd84f3d019d&srepoch=1699206323&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"The Mas de la Montille is located in Aigues Mortes, 10 km from Espiguette Beach.  It features a seasonal swimming pool and an orchard in its garden and you can relax in the hot tub.

All of the air-conditioned bedrooms of the guest house have a view of the garden and are decorated in an elegant way. Some of them also feature oriental furniture and a seating area.

A breakfast made of organic products is available and can be delivered into their room. Homemade meals accompanied by a drink from the bar are available upon request.

The garden also has a children’s playground with a trampoline and you can go visit the donkey and the hen.

It is located 15 km from the La Grande Motte Golf Resort and 20 km from Montpellier and its train station."
