hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
Villa Saint-Ange,9.3,464 reviews,43.52306800,5.45769900,https://www.booking.com/hotel/fr/villa-saint-ange.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoOpn6oGwAIB0gIkNDlhYzczYzAtZDk4MC00MDkwLTgwNDktNWNmMjg0NDAxNzlk2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=6a8e7cc213800015&srepoch=1699206278&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set 800 M from Cours Mirabeau in Aix-en-Provence, Villa Saint-Ange hotel features a heated outdoor swimming pool, a Provencal garden, and a French restaurant and bar with a terrace. This property is 2.2 km from Saint-Sauveur Cathedral.

Rooms are spread across five 18th-century bastide-style cottages, decorated in the style of an Aix-en-Provence town house. All rooms include air conditioning, a flat-screen TV with international channels, a safety deposit box, and a minibar. The private bathroom has free toiletries and a hair dryer. Rooms on ground level feature a terrace or garden.

There is an on-site restaurant with a terrace, which serves a variety of French dishes and also offers vegetarian and vegan options. Room service is available 24/7.

Guests can make use of the hot tub and fitness room, or enjoy a massage at a supplement. Hiking is among the activities that guests can enjoy near the accommodation.

Speaking English and French at the 24-hour front desk, staff are always on hand to help.

Caumont Art Centre is 700 M away. Marseille Provence Airport is 31 km from the property, and the property offers a paid airport shuttle service. Covered parking is available on site at a supplement."
Domaine de Saint Clair,9.6,184 reviews,43.49915642,5.43205649,https://www.booking.com/hotel/fr/domaine-de-saint-clair.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoOpn6oGwAIB0gIkNDlhYzczYzAtZDk4MC00MDkwLTgwNDktNWNmMjg0NDAxNzlk2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=6a8e7cc213800015&srepoch=1699206278&from=searchresults#hotelTmpl,"Domaine de Saint Clair is a Adult Only bed and breakfast set in Aix-en-Provence. Featuring a seasonal outdoor swimming pool, the bed and breakfast is close to several noted attractions, around 3.3 km from Cours Mirabeau and 3.8 km from Saint-Sauveur Cathedral. The accommodation provides free WiFi throughout the property.

At the bed and breakfast all rooms come with a terrace with a garden view. The rooms are equipped with a private bathroom with free toiletries and a hairdryer.

A continental breakfast can be enjoyed in the breakfast area or on the seasonal terrace.

Domaine de Saint Clair offers a sun terrace.

The Luberon region is a 25-minute drive away from Domaine de Saint Clair and Les Baux-de-Provence in the Alpilles region is 71 km from the property."
Lousoan,9.7,329 reviews,43.54026065,5.43485774,https://www.booking.com/hotel/fr/lousoan.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoOpn6oGwAIB0gIkNDlhYzczYzAtZDk4MC00MDkwLTgwNDktNWNmMjg0NDAxNzlk2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&srpvid=6a8e7cc213800015&srepoch=1699206278&from=searchresults#hotelTmpl,"Boasting mountain views, Lousoan features accommodation with an outdoor swimming pool, an open-air bath and a garden, around 31 km from Marseille Saint-Charles Train Station. This property offers access to a terrace, free private parking and free WiFi.

The air-conditioned bed and breakfast consists of 1 separate bedroom, 1 bathroom with a hair dryer, a seating area, and a living room. Towels and bed linen are available in the bed and breakfast.

Continental and gluten-free breakfast options are available each morning at the bed and breakfast.

Joliette Metro Station is 31 km from Lousoan, while Les Terrasses du Port Shopping Centre is 32 km from the property. The nearest airport is Marseille Provence Airport, 27 km from the accommodation."
"Les Secrets d'Alcôve, nuits Romantiques avec SPA",9.6,143 reviews,43.53085600,5.44900610,https://www.booking.com/hotel/fr/les-secrets-d-39-alcove-nuitees-romantiques-avec-spa.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoOpn6oGwAIB0gIkNDlhYzczYzAtZDk4MC00MDkwLTgwNDktNWNmMjg0NDAxNzlk2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=6a8e7cc213800015&srepoch=1699206278&from=searchresults#hotelTmpl,"Set in the centre of Aix-en-Provence, 31 km from Marseille Saint-Charles Train Station and 31 km from Joliette Metro Station, Les Secrets d'Alcôve, nuits Romantiques avec SPA offers free WiFi, a spa and wellness centre and air conditioning. This apartment is 32 km from Museum of European and Mediterranean Civilisations and 33 km from Saint-Ferreol Street.

Offering a terrace, this apartment also has a flat-screen TV, a well-equipped kitchenette with a dishwasher, an oven and a microwave, as well as 1 bathroom with a hot tub and a hair dryer.

Guests at the apartment can enjoy a continental breakfast.

At Les Secrets d'Alcôve, nuits Romantiques avec SPA guests are welcome to take advantage of a hot tub.

Les Terrasses du Port Shopping Centre is 32 km from the accommodation, while Vieux Port Metro station is 32 km away. The nearest airport is Marseille Provence Airport, 27 km from Les Secrets d'Alcôve, nuits Romantiques avec SPA."
Maison Du Collectionneur,9.3,308 reviews,43.52505700,5.45295800,https://www.booking.com/hotel/fr/maison-du-collectionneur.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoOpn6oGwAIB0gIkNDlhYzczYzAtZDk4MC00MDkwLTgwNDktNWNmMjg0NDAxNzlk2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=6a8e7cc213800015&srepoch=1699206278&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"MAISON DU COLLECTIONNEUR is situated in Aix-en-Provence, 400 metres from Cours Mirabeau, 900 metres from Saint-Sauveur Cathedral and 160 metres from Saint-Jean-de-Malte Church. The property is a 3-minute walk from Aix-en-Provence Congress Centre.

At the bed and breakfast, all rooms are equipped with a wardrobe and a flat-screen Samsung Frame TV. All rooms come with a private bathroom and free toiletries, and certain rooms at MAISON DU COLLECTIONNEUR have a balcony and a garden view. Some rooms on the street side of the property have a view of the cathedral.

A continental breakfast is available every morning at the accommodation. Homemade vegetarian lunchs are available for an extra charge.

MAISON DU COLLECTIONNEUR offers a sun terrace.

Popular points of interest near the property include Caumont Art Centre, Granet Museum and Military School D'Aix-En-Provence. The nearest airport is Marseille Provence Airport, 21 km from MAISON DU COLLECTIONNEUR."
La Chambre Cézanne,9.2,117 reviews,43.53748280,5.44693341,https://www.booking.com/hotel/fr/la-chambre-cezanne.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoOpn6oGwAIB0gIkNDlhYzczYzAtZDk4MC00MDkwLTgwNDktNWNmMjg0NDAxNzlk2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&srpvid=6a8e7cc213800015&srepoch=1699206278&from=searchresults#hotelTmpl,"Boasting air-conditioned accommodation with a private pool, garden view and a terrace, La Chambre Cézanne is situated in Aix-en-Provence. Private parking is available on site.

The bed and breakfast features a satellite flat-screen TV. Towels and bed linen are available in the bed and breakfast.

Guests can also relax in the garden.

Marseille Saint-Charles Train Station is 31 km from the bed and breakfast, while Joliette Metro Station is 31 km from the property. The nearest airport is Marseille Provence Airport, 27 km from La Chambre Cézanne."
La Soleillade Aixoise,9.8,170 reviews,43.59443860,5.45910190,https://www.booking.com/hotel/fr/la-soleillade-aix-en-provence.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoOpn6oGwAIB0gIkNDlhYzczYzAtZDk4MC00MDkwLTgwNDktNWNmMjg0NDAxNzlk2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=6a8e7cc213800015&srepoch=1699206278&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Featuring a seasonal outdoor pool, La Soleillade Aixoise in Aix-en-Provence offers accommodation with free WiFi and free private parking for guests who drive.

Some accommodation includes a terrace and a seating area with flat-screen TV, as well as air conditioning.

A continental breakfast is available every morning at the bed and breakfast.

La Soleillade Aixoise offers a picnic area.

Guests can also relax in the garden or in the shared lounge area.

ITER / Cadarache is 36 km from the accommodation, while Marseille Saint-Charles Train Station is 39 km away. The nearest airport is Marseille Provence Airport, 35 km from La Soleillade Aixoise."
Château de Saint-Girons B&B,9.5,167 reviews,43.49892000,5.38260200,https://www.booking.com/hotel/fr/chateau-de-saint-girons.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoOpn6oGwAIB0gIkNDlhYzczYzAtZDk4MC00MDkwLTgwNDktNWNmMjg0NDAxNzlk2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&srpvid=6a8e7cc213800015&srepoch=1699206278&from=searchresults#hotelTmpl,"Featuring an outdoor pool, Château de Saint-Girons B&B in Aix-en-Provence offers accommodation with free WiFi and free private parking for guests who drive.

All units come with a seating area, a flat-screen TV with satellite channels and a private bathroom with a hair dryer and shower. A microwave and fridge are also featured, as well as a coffee machine and a kettle.

Guests at the bed and breakfast can enjoy a continental breakfast.

Château de Saint-Girons B&B offers a picnic area.

A outdoor play equipment is also available at the accommodation, while guests can also relax on the sun terrace.

Marseille Saint-Charles Train Station is 28 km from Château de Saint-Girons B&B, while Joliette Metro Station is 28 km away. The nearest airport is Marseille Provence Airport, 20 km from the bed and breakfast."
Villa Gallici Hôtel & Spa,9.2,273 reviews,43.53610103,5.44878814,https://www.booking.com/hotel/fr/villagallici.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoOpn6oGwAIB0gIkNDlhYzczYzAtZDk4MC00MDkwLTgwNDktNWNmMjg0NDAxNzlk2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=bayesian_review_score&srpvid=6a8e7cc213800015&srepoch=1699206278&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"In the heart of the Provence region, Villa Gallici Hôtel & Spa offers sun loungers by the outdoor swimming pool, a fitness room and a garden with furnished terrace. Guests will enjoy free access to the spa, free WiFi and mountain views.

The elegantly decorated guest rooms feature a TV with satellite channels and a private bathroom with free toiletries, bathrobe, slippers, bathtub or shower. Some rooms also come with a terrace.

Every morning, a breakfast buffet is served at the hotel or guests can enjoy breakfast in the comfort of their room. Villa Gallici Hôtel & Spa offers a bar and a restaurant where guests can dine out.

Services include valet parking, a 24-hour front desk and a private parking with an extra charge of 20 € per night. Aix-en-Provence centre and Aix Cathedral are a 5-minute walk away. Aix-en-Provence Train Station is 15 km away, while Marseille-Marignane Airport is just 27 km away."
"Sweet Home studio Aix en Provence, terrasse, piscine, resto,",9.5,180 reviews,43.54343620,5.37369570,https://www.booking.com/hotel/fr/sweet-home-studio-aix-en-provence-terrasse-piscine-resto.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoOpn6oGwAIB0gIkNDlhYzczYzAtZDk4MC00MDkwLTgwNDktNWNmMjg0NDAxNzlk2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=bayesian_review_score&srpvid=6a8e7cc213800015&srepoch=1699206278&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Situated 34 km from Marseille Saint-Charles Train Station, Sweet Home studio Aix en Provence, terrasse, piscine, resto, offers a seasonal outdoor swimming pool, an open-air bath and air-conditioned accommodation with a terrace and free WiFi.

The units come with parquet floors and feature a fully equipped kitchenette with a microwave, a dining area, a flat-screen TV with satellite channels, and a private bathroom with shower and a hair dryer. A toaster, a fridge and stovetop are also available, as well as a coffee machine and a kettle.

The restaurant at the aparthotel specialises in French cuisine.

At Sweet Home studio Aix en Provence, terrasse, piscine, resto, guests are welcome to take advantage of a solarium.

A casino is available on site and hiking can be enjoyed within close proximity of the accommodation.

Joliette Metro Station is 34 km from Sweet Home studio Aix en Provence, terrasse, piscine, resto, while Les Terrasses du Port Shopping Centre is 35 km from the property. The nearest airport is Marseille Provence Airport, 26 km from the aparthotel."
