hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
studio 4 Henriville,8.8,28 reviews,49.87904854,2.29188435,https://www.booking.com/hotel/fr/studio-4-henriville.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asiqn6oGwAIB0gIkMGVlNzdlZDktM2MzYy00YWRjLTliNjctNDg0NTg0ZWEwMDZm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=bayesian_review_score&srpvid=d2587d242d2b00c9&srepoch=1699206475&from=searchresults#hotelTmpl,"Studio 4 Henriville is located in Amiens, 3 km from Zénith d'Amiens, 1.9 km from Berny's Museum, as well as 2.7 km from The Floating gardens Park. The accommodation is 2 km from the Amiens Train Station and features free WiFithroughout the property.

This apartment comes with 1 bedroom, a flat-screen TV, and a kitchen.

University of Picardie Jules Verne is 2.6 km from the apartment, while Tribunal de Grande Instance of Amiens is 2.7 km away. The nearest airport is Beauvais–Tillé Airport, 62 km from studio 4 Henriville."
"Le Cyan, studio 4min à pied centre ville, local vélo",9.0,113 reviews,49.88701191,2.30715954,https://www.booking.com/hotel/fr/le-cyan-studio-proche-gare-et-centre-ville.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asiqn6oGwAIB0gIkMGVlNzdlZDktM2MzYy00YWRjLTliNjctNDg0NTg0ZWEwMDZm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=bayesian_review_score&srpvid=d2587d242d2b00c9&srepoch=1699206475&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Le Cyan, studio 4min à pied centre ville, local vélo is located in Amiens, 500 metres from Amiens Train Station, 3.7 km from Zénith d'Amiens, and 1.3 km from The Floating gardens Park. This apartment is 4.5 km from University of Picardie Jules Verne and 8.8 km from Amiens Golf Club.

With free WiFi, this apartment provides a flat-screen TV, a washing machine and a kitchenette with an oven and microwave. Towels and bed linen are featured in the apartment.

Berny's Museum is less than 1 km from the apartment, while Tribunal de Grande Instance of Amiens is a 11-minute walk away. The nearest airport is Beauvais–Tillé Airport, 65 km from Le Cyan, studio 4min à pied centre ville, local vélo."
L'Escale 80,9.2,55 reviews,49.89641893,2.30637031,https://www.booking.com/hotel/fr/l-39-escale-80.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asiqn6oGwAIB0gIkMGVlNzdlZDktM2MzYy00YWRjLTliNjctNDg0NTg0ZWEwMDZm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=bayesian_review_score&srpvid=d2587d242d2b00c9&srepoch=1699206475&from=searchresults#hotelTmpl,"Located in Amiens, L’Escale 80 is 600 metres from Amiens Cathedral and a 14-minute walk from Jules Vernes House. This self-catering apartment offers free WiFi, 1 bedroom and a living room with a flat-screen TV.

Featuring city views, the apartment includes a private bathroom with a shower, a hairdryer and free toiletries.

Guests are able to prepare their own meals at L’Escale 80. Decorated in orange, the kitchenette is equipped with kitchenware, a fridge and a microwave. A dishwasher, an oven and a stove are also provided.

This apartment is 85 metres from the Somme River and a 6-minute drive from Amiens Zoo. Free parking is available on site."
DOWNTOWN LOFT - CENTRE VILLE - WiFi - NETFLIX,9.7,39 reviews,49.89219043,2.29471652,https://www.booking.com/hotel/fr/downtown-loft-centre-ville-wifi-netflix.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asiqn6oGwAIB0gIkMGVlNzdlZDktM2MzYy00YWRjLTliNjctNDg0NTg0ZWEwMDZm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=bayesian_review_score&srpvid=d2587d242d2b00c9&srepoch=1699206475&from=searchresults#hotelTmpl,"DOWNTOWN LOFT - CENTRE VILLE - WiFi - NETFLIX is situated in Amiens, 2.9 km from Zénith d'Amiens and 800 metres from Berny's Museum, in an area where hiking can be enjoyed. The accommodation is 1.2 km from the Amiens Train Station and has free WiFithroughout the property.

The 1-bedroom apartment has a living room with a flat-screen TV with streaming services, a fully equipped kitchen with dishwasher and oven, and 1 bathroom with a hair dryer. Towels and bed linen are offered in the apartment.

The Floating gardens Park is 1.8 km from the apartment, while Tribunal de Grande Instance of Amiens is 700 metres from the property. The nearest airport is Beauvais–Tillé Airport, 64 km from DOWNTOWN LOFT - CENTRE VILLE - WiFi - NETFLIX."
Irziana - Au jardin d'Henriville,9.1,97 reviews,49.87120975,2.30717093,https://www.booking.com/hotel/fr/irziana-au-jardin-d-henriville.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asiqn6oGwAIB0gIkMGVlNzdlZDktM2MzYy00YWRjLTliNjctNDg0NTg0ZWEwMDZm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=bayesian_review_score&srpvid=d2587d242d2b00c9&srepoch=1699206475&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in Amiens, within 2.4 km of Amiens Train Station and 4.8 km of Zénith d'Amiens, Irziana - Au jardin d'Henriville offers accommodation with a garden and free WiFithroughout the property as well as free private parking for guests who drive. Boasting a shared kitchen, this property also provides guests with a picnic area. The property is non-smoking and is located 3.1 km from The Floating gardens Park.

All guest rooms come with a flat-screen TV with streaming services, oven, a coffee machine, a shower, slippers and a desk. The guest house provides some units with garden views, and all rooms are fitted with a terrace. All units feature a private bathroom, a hair dryer and bed linen.

Berny's Museum is 3.1 km from Irziana - Au jardin d'Henriville, while Tribunal de Grande Instance of Amiens is 3.1 km from the property. The nearest airport is Beauvais–Tillé Airport, 63 km from the accommodation."
Les terrasses de l’orchestre,9.1,151 reviews,49.88569400,2.31038400,https://www.booking.com/hotel/fr/les-terrasses-de-l-orchestre.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asiqn6oGwAIB0gIkMGVlNzdlZDktM2MzYy00YWRjLTliNjctNDg0NTg0ZWEwMDZm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=bayesian_review_score&srpvid=d2587d242d2b00c9&srepoch=1699206475&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located less than 1 km from Amiens Train Station, Les terrasses de l’orchestre offers accommodation with a terrace. Complimentary WiFi is providedthroughout the property.

There is a private bathroom with shower in every unit, along with bathrobes, a hair dryer and free toiletries.

Guests at the bed and breakfast can enjoy a continental breakfast.

Popular points of interest near Les terrasses de l’orchestre include The Floating gardens Park, Berny's Museum and Tribunal de Grande Instance of Amiens. The nearest airport is Beauvais–Tillé Airport, 65 km from the accommodation."
LE CANGE,9.5,62 reviews,49.89638400,2.30637800,https://www.booking.com/hotel/fr/le-cange.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asiqn6oGwAIB0gIkMGVlNzdlZDktM2MzYy00YWRjLTliNjctNDg0NTg0ZWEwMDZm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=bayesian_review_score&srpvid=d2587d242d2b00c9&srepoch=1699206475&from=searchresults#hotelTmpl,"LE CANGE, a property with a garden and a terrace, is located in Amiens, less than 1 km from Amiens Train Station, 3.6 km from Zénith d'Amiens, as well as 700 metres from The Floating gardens Park. Featuring garden and city views, this apartment also provides guests with free WiFi.

The apartment comes with 2 bedrooms, 2 bathrooms, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a balcony with river views. Private parking is available at the apartment.

Berny's Museum is 600 metres from LE CANGE, while Tribunal de Grande Instance of Amiens is 600 metres away. The nearest airport is Beauvais–Tillé Airport, 65 km from the accommodation."
"Le Majestic Cathedral, Amiens Hyper-centre",9.5,32 reviews,49.89538310,2.29777200,https://www.booking.com/hotel/fr/le-duplex-amiens-pleine-vue-cathedrale.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asiqn6oGwAIB0gIkMGVlNzdlZDktM2MzYy00YWRjLTliNjctNDg0NTg0ZWEwMDZm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=bayesian_review_score&srpvid=d2587d242d2b00c9&srepoch=1699206475&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Offering a shared lounge and city view, Le Majestic Cathedral, Amiens Hyper-centre is set in Amiens, 1.2 km from Amiens Train Station and 2.6 km from Zénith d'Amiens. This apartment offers free private parking, a shared kitchen and free WiFi.

The 2-bedroom apartment comes with a living room with a flat-screen TV with streaming services, a fully equipped kitchen with a dishwasher and oven, and 1 bathroom with walk-in shower. Towels and bed linen are featured in the apartment.

Both a bicycle rental service and a car rental service are available at the apartment, while hiking can be enjoyed nearby.

Popular points of interest near Le Majestic Cathedral, Amiens Hyper-centre include The Floating gardens Park, Berny's Museum and Tribunal de Grande Instance of Amiens. The nearest airport is Beauvais–Tillé Airport, 64 km from the accommodation."
Amiens Appartement Lumineux - hyper centre ville,8.5,16 reviews,49.89145250,2.30001380,https://www.booking.com/hotel/fr/amiens-appartement-lumineux-hyper-centre-ville.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asiqn6oGwAIB0gIkMGVlNzdlZDktM2MzYy00YWRjLTliNjctNDg0NTg0ZWEwMDZm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=bayesian_review_score&srpvid=d2587d242d2b00c9&srepoch=1699206475&from=searchresults#hotelTmpl,"Situated 800 metres from Amiens Train Station, 3.3 km from Zénith d'Amiens and 400 metres from Berny's Museum, Amiens Appartement Lumineux - hyper centre ville offers accommodation set in Amiens. This apartment is 4 km from University of Picardie Jules Verne and 8.6 km from Amiens Golf Club.

With free WiFi, this 1-bedroom apartment features a TV, a washing machine and a kitchen with a dishwasher and oven.

The Floating gardens Park is 1.4 km from the apartment, while Tribunal de Grande Instance of Amiens is 300 metres from the property. The nearest airport is Beauvais–Tillé Airport, 64 km from Amiens Appartement Lumineux - hyper centre ville."
Hyper centre idéal gare Amiens,9.4,67 reviews,49.89227940,2.30506530,https://www.booking.com/hotel/fr/hyper-centre-amiens-studio-elegant-amp-cosy.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asiqn6oGwAIB0gIkMGVlNzdlZDktM2MzYy00YWRjLTliNjctNDg0NTg0ZWEwMDZm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=bayesian_review_score&srpvid=d2587d242d2b00c9&srepoch=1699206475&from=searchresults#hotelTmpl,"Located 400 metres from Amiens Train Station, 3.8 km from Zénith d'Amiens and less than 1 km from The Floating gardens Park, Hyper centre idéal gare Amiens provides accommodation situated in Amiens. It features inner courtyard views and free WiFithroughout the property.

The apartment includes 1 bedroom, a kitchen with a dishwasher and a microwave, as well as a coffee machine. Towels and bed linen are provided in the apartment.

Berny's Museum is 400 metres from the apartment, while Tribunal de Grande Instance of Amiens is 500 metres away. The nearest airport is Beauvais–Tillé Airport, 66 km from Hyper centre idéal gare Amiens."
