hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
"Demeure de la Carmine, sejour bien-etre d'exception, piscine, hammam, champagne",9.5,174 reviews,43.08754039,1.87135531,https://www.booking.com/hotel/fr/demeure-de-la-carmine.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWpn6oGwAIB0gIkZTE5ZjdhODYtYWJiYi00ODg1LWJkNWItNjZlNzc3YjcxM2M22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ae797ceb108b01cb&srepoch=1699206360&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in Mirepoix in the Midi-Pyrénées Region, 41 km from Carcassonne, Demeure de la Carmine, sejour bien-etre d'exception, piscine, hammam, champagne features a seasonal outdoor pool and hammam. Guests can enjoy the on-site bar.

Each room is fitted with a flat-screen TV and a seating area where you can relax. Certain rooms include views of the mountains or pool. Every room is fitted with a private bathroom. For your comfort, you will find bath robes, slippers and free toiletries. Demeure de la Carmine, sejour bien-etre d'exception, piscine, hammam, champagne features free WiFi throughout the property.

There is a a shared lounge, room service and shops at the property.

Ax-les-Thermes is 41 km from Demeure de la Carmine, sejour bien-etre d'exception, piscine, hammam, champagne, while Foix is 26 km from the property. The nearest airport is Blagnac Airport, 73 km from Demeure de la Carmine, sejour bien-etre d'exception, piscine, hammam, champagne."
Chalet bois au milieu des Pyrénées,9.0,166 reviews,42.58990385,1.79836833,https://www.booking.com/hotel/fr/chalet-bois-au-milieu-des-pyrenees.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWpn6oGwAIB0gIkZTE5ZjdhODYtYWJiYi00ODg1LWJkNWItNjZlNzc3YjcxM2M22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=ae797ceb108b01cb&srepoch=1699206360&from=searchresults#hotelTmpl,"Offering a shared lounge and garden view, Chalet bois au milieu des Pyrénées is located in LʼHospitalet-près-lʼAndorre, 30 km from Meritxell sanctuary and 23 km from Real Club de Golf de Cerdaña. Featuring free private parking, the chalet is in an area where guests can engage in activities such as skiing, fishing and hiking.

The chalet with a balcony and mountain views features 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a shower.

The reception at the chalet can provide tips on the area.

Chalet bois au milieu des Pyrénées offers a picnic area. The accommodation has both a sun terrace and garden for your convenience, along with a ski pass sales point and ski storage space.

Municipal Museum of Llivia is 28 km from Chalet bois au milieu des Pyrénées, while Font-Romeu Golf Course is 38 km away. The nearest airport is Andorra–La Seu d'Urgell Airport, 62 km from the chalet."
Chalet Pyrénéen,9.5,8 reviews,43.22183800,1.39769620,https://www.booking.com/hotel/fr/chalet-pyreneen.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWpn6oGwAIB0gIkZTE5ZjdhODYtYWJiYi00ODg1LWJkNWItNjZlNzc3YjcxM2M22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=ae797ceb108b01cb&srepoch=1699206360&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Chalet Pyrénéen is set in Saint-Ybars and offers a garden, a bar and barbecue facilities. There is an in-house restaurant and free private parking.

The chalet is fitted with 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV with cable channels, a dining area, a fully equipped kitchen, and a terrace with garden views.

A continental breakfast is available every morning at the chalet.

Chalet Pyrénéen offers a children's playground. If you would like to discover the area, cycling, fishing and hiking are possible in the surroundings.

The nearest airport is Toulouse-Blagnac Airport, 59 km from the accommodation."
Résidence Natura,7.1,438 reviews,42.71931396,1.83852285,https://www.booking.com/hotel/fr/ra-c-sidence-natura.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWpn6oGwAIB0gIkZTE5ZjdhODYtYWJiYi00ODg1LWJkNWItNjZlNzc3YjcxM2M22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=ae797ceb108b01cb&srepoch=1699206360&from=searchresults#hotelTmpl,"Located in Ax-les-Thermes, Résidence Natura offers self-catering apartments with a flat-screen TV and seating area, as well as double rooms. The cable car to Bonnascre Ski Station is only 100 metres away and the train station is 800 metres from the property.

All the apartments features a wardrobe, washing machine, tumble dryer and a bathroom. The kitchen includes a stove, microwave and refrigerator. The bedrooms have tea/coffee making facilities and are soundproofed.

Grocery shops and restaurants can be found within 100 metres of the property in the town centre. There are thermal baths in the town and the airport shuttle bus leaves just 100 metres away."
Le petit nid,9.2,45 reviews,42.93227802,1.63516787,https://www.booking.com/hotel/fr/le-petit-nid-montgaillard.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWpn6oGwAIB0gIkZTE5ZjdhODYtYWJiYi00ODg1LWJkNWItNjZlNzc3YjcxM2M22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=ae797ceb108b01cb&srepoch=1699206360&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Offering garden views, Le petit nid is an accommodation set in Montgaillard, 38 km from Col de la Crouzette and 5 km from Foix Castle. This property offers access to a patio, bowling in the bowling alley, and free WiFi.

The apartment is fitted with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with streaming services, a dining area, a fully equipped kitchen, and a terrace with mountain views.

The apartment offers a picnic area. A an indoor play area is also available at Le petit nid, while guests can also relax in the garden.

Underground River of Labouiche is 11 km from the accommodation, while Bedeilhac Cave is 16 km away. The nearest airport is Carcassonne Airport, 79 km from Le petit nid."
LE ROOF - Une vue splendide AUX 4 LOGIS - Petit déjeuner inclus 1ère nuit,9.0,64 reviews,42.96815990,1.60833510,https://www.booking.com/hotel/fr/le-roof-studio-aux-4-logis-petit-dejeuner-inclus-1ere-nuit.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWpn6oGwAIB0gIkZTE5ZjdhODYtYWJiYi00ODg1LWJkNWItNjZlNzc3YjcxM2M22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=ae797ceb108b01cb&srepoch=1699206360&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Situated in Foix, LE ROOF - Une vue splendide AUX 4 LOGIS - Petit déjeuner inclus 1ère nuit features accommodation 34 km from Col de la Crouzette and 600 metres from Foix Castle. Free WiFi is featuredthroughout the property.

Each unit has a terrace offering mountain views, a flat-screen TV, a dining area, a well-fitted kitchen and a private bathroom with shower, a hair dryer and free toiletries. A microwave, a fridge and stovetop are also offered, as well as a coffee machine and a kettle.

If you would like to discover the area, skiing, cycling and walking tours are possible in the surroundings.

Underground River of Labouiche is 6.5 km from the aparthotel, while Ariege Golf Club is 17 km from the property. The nearest airport is Carcassonne Airport, 75 km from LE ROOF - Une vue splendide AUX 4 LOGIS - Petit déjeuner inclus 1ère nuit."
Terres de France - Domaine du Palais,7.7,597 reviews,43.00305100,1.13713000,https://www.booking.com/hotel/fr/terres-de-france-domaine-du-palais.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWpn6oGwAIB0gIkZTE5ZjdhODYtYWJiYi00ODg1LWJkNWItNjZlNzc3YjcxM2M22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=ae797ceb108b01cb&srepoch=1699206360&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Terres de France - Domaine du Palais features inner courtyard views, free WiFi and free private parking, located in Saint-Lizier, 26 km from Col de la Crouzette.

Each unit comes with a seating area, a flat-screen TV, a well-fitted kitchenette with a dining area, and a private bathroom with a hair dryer. A microwave, a fridge and stovetop are also provided, as well as a kettle.

There is a shared lounge at this property and guests can go hiking nearby.

Chruch of Saint Lizier is 300 metres from the aparthotel, while Ariege Golf Club is 32 km away. The nearest airport is Toulouse-Blagnac Airport, 97 km from Terres de France - Domaine du Palais."
"The Originals Access, Hôtel Foix (P'tit Dej-Hotel)",8.0,"1,696 reviews",42.99211190,1.61583245,https://www.booking.com/hotel/fr/campanilefoix.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWpn6oGwAIB0gIkZTE5ZjdhODYtYWJiYi00ODg1LWJkNWItNjZlNzc3YjcxM2M22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=ae797ceb108b01cb&srepoch=1699206360&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set beside the Pyrenees Ariégeoises Regional Park, this. The Originals Access, Hôtel Foix has a 24-hour automatic-reception and you can visit Toulouse, 75 km away.

A TV and telephone are included in the guest rooms, which feature a simple décor with wooden furnishings. The private bathrooms are fitted with a bathtub.

Breakfast is served every morning. There is a restaurant on site with a terrace.

Foix Train Station is a 6-minute drive from The Originals Access, Hôtel Foix and free public parking is available nearby. Andorra and the Spanish border are both 80 km away."
Lagrange Vacances Les Chalets d’Ax,7.7,475 reviews,42.71383156,1.83920681,https://www.booking.com/hotel/fr/residence-les-chalets-d-ax.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWpn6oGwAIB0gIkZTE5ZjdhODYtYWJiYi00ODg1LWJkNWItNjZlNzc3YjcxM2M22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=ae797ceb108b01cb&srepoch=1699206360&from=searchresults#hotelTmpl,"Lagrange Vacances Les Chalets d’Ax is located in Ax-Les-Thermes, 800 metres from the town centre and ski lifts. It offers WiFi in the apartments at an extra cost and an outdoor seasonal heated swimming pool.

Lagrange Vacances Les Chalets d’Ax provides studios and apartments with a private balcony or terrace. They each have a kitchen equipped with a dishwasher and microwave.

Local leisure activities include fishing in the Ariege River, cycling and hiking. In winter, during holidays and week-ends, free shuttles run from the property to Ax-les-Thermes ski lift.

Tarascon Prehistoric Art Park and the Niaux caves can be visited a 30-minute drive from Lagrange Vacances Les Chalets d’Ax which provides free private parking."
Chambres d'hôtes Belle Occitane,9.2,496 reviews,42.84718520,1.60675853,https://www.booking.com/hotel/fr/belle-occitane.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWpn6oGwAIB0gIkZTE5ZjdhODYtYWJiYi00ODg1LWJkNWItNjZlNzc3YjcxM2M22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=ae797ceb108b01cb&srepoch=1699206360&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Belle Occitane is a character 18th-century house located in the medieval city of Tarascon sur Ariège. On the road to Andorra, an hour south of Toulouse.

Certain rooms include a seating area where you can relax. Belle Occitane features free WiFi throughout the property.

Pas de la Casa is 35 km from Belle Occitane, while Ax-les-Thermes is 24 km from the property. The nearest airport is Blagnac Airport, 89 km from Belle Occitane."
