hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
N15 - Les Confidences - Chambres d'hôtes,9.6,192 reviews,43.95029956,4.81104354,https://www.booking.com/hotel/fr/n15.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGpn6oGwAIB0gIkMmEyODU1ZWMtOWVjNi00MDhiLTg0YzgtNDkyYjNkZjhmNTYz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=ca9c7cc9b8fe0298&srepoch=1699206291&from=searchresults#hotelTmpl,"Featuring an outdoor pool, a garden and a terrace, N15 - Les Confidences - Chambres d'hôtes is located in Avignon city centre. The property is 300 metres from Papal Palace and 800 metres from Pont d’Avignon. Free WiFi access is available.

All rooms are equipped with a TV and air conditioning. The private bathroom has a bath or shower and comes with a hairdryer and bathrobes. Guests can enjoy a pool view and a garden view from the room.

Breakfast including fresh fruit, pastries and homemade jams is served every morning. Depending on the season, it can be served in the garden or on the veranda.

The bed and breakfast is 1.3 km from Avignon Central Train Station and 4.7 km from Avignon TGV Train Station."
Maison Boussingault,9.6,118 reviews,43.94593970,4.80341060,https://www.booking.com/hotel/fr/maison-boussingault-avignon.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGpn6oGwAIB0gIkMmEyODU1ZWMtOWVjNi00MDhiLTg0YzgtNDkyYjNkZjhmNTYz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=ca9c7cc9b8fe0298&srepoch=1699206291&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Situated conveniently in the centre of Avignon, Maison Boussingault offers continental breakfast and free WiFi. The property is set 4.5 km from Avignon TGV Train Station, 10 km from Parc des Expositions Avignon and 38 km from Arles Amphitheatre. All rooms are equipped with a terrace with views of the inner courtyard.

The units come with air conditioning, a flat-screen TV with streaming services, a minibar, a kettle, a shower, a hair dryer and a desk. All guest rooms feature a private bathroom, free toiletries and bed linen.

Popular points of interest near the guest house include Avignon Central Station, Papal Palace and Pont d'Avignon. The nearest airport is Avignon-Provence Airport, 10 km from Maison Boussingault."
La Divine Comédie-Suites Deluxe,9.7,130 reviews,43.95063740,4.81083180,https://www.booking.com/hotel/fr/la-divine-comedie.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGpn6oGwAIB0gIkMmEyODU1ZWMtOWVjNi00MDhiLTg0YzgtNDkyYjNkZjhmNTYz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=ca9c7cc9b8fe0298&srepoch=1699206291&from=searchresults#hotelTmpl,"Located in Avignon in the Provence-Alpes-Côte d'Azur Region, 400 metres from Papal Palace, La Divine Comédie boasts a year-round outdoor pool and a garden. The bed and breakfast has a sun terrace and spa centre, and guests can enjoy a drink at the bar. Free WiFi is offered throughout the property and private parking is available on site.

Rooms include a flat-screen TV with satellite channels. You will find a coffee machine in the room. All rooms are fitted with a private bathroom. Extras include bathrobes, slippers and free toiletries.

You will find a shared lounge at the property.

You can engage in various activities, such as cycling and hiking. Pont d'Avignon is 500 metres from La Divine Comédie, while Avignon City Hall is 500 metres away. The nearest airport is Avignon-Provence Airport, 9 km from the property."
La Demoiselle,9.5,351 reviews,43.95070700,4.81187500,https://www.booking.com/hotel/fr/la-demoiselle.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGpn6oGwAIB0gIkMmEyODU1ZWMtOWVjNi00MDhiLTg0YzgtNDkyYjNkZjhmNTYz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&srpvid=ca9c7cc9b8fe0298&srepoch=1699206291&from=searchresults#hotelTmpl,"Ideally located in Avignon, La Demoiselle offers a continental breakfast and free WiFithroughout the property. The property is around 5.8 km from Avignon TGV Train Station, 10 km from Parc des Expositions Avignon and 39 km from Arles Amphitheatre. The guest house has family rooms.

The guest house features some units that feature a terrace and inner courtyard view, and all rooms include a private bathroom and a wardrobe. At La Demoiselle the rooms are equipped with bed linen and towels.

Popular points of interest near the accommodation include Papal Palace, Avignon Central Station and Pont d'Avignon. The nearest airport is Avignon-Provence Airport, 10 km from La Demoiselle."
Le Limas,9.4,144 reviews,43.95210078,4.80463296,https://www.booking.com/hotel/fr/le-limas.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGpn6oGwAIB0gIkMmEyODU1ZWMtOWVjNi00MDhiLTg0YzgtNDkyYjNkZjhmNTYz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&srpvid=ca9c7cc9b8fe0298&srepoch=1699206291&from=searchresults#hotelTmpl,"Le Limas is located in the centre of Avignon, just a 5-minute walk from the Palais des Papes and a 3-minute walk to the Pont d’Avignon. Guests can relax on the terrace with views of the Palais des Papes.

The contemporary guestrooms at Le Limas feature free Wi-Fi, parquet floors and air conditioning. The private bathrooms offer slippers and free toiletries.

A continental breakfast is served every morning. Guests can enjoy a meal at the local restaurants within a 5-minute walk.

The Avignon City Train Station is a 15-minute walk away and the Avignon TGV Train Station is a 5-minute drive away. Guests can visit the Musée Calvet, just a 10-minute walk away."
Bastide de Bellegarde,9.8,364 reviews,43.97504000,4.82294400,https://www.booking.com/hotel/fr/bastide-de-bellegarde-avignon.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGpn6oGwAIB0gIkMmEyODU1ZWMtOWVjNi00MDhiLTg0YzgtNDkyYjNkZjhmNTYz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=ca9c7cc9b8fe0298&srepoch=1699206291&from=searchresults#hotelTmpl,"Boasting an outdoor pool, Bastide de Bellegarde in Avignon offers accommodation with free WiFi and free private parking for guests who drive.

The bed and breakfast offers a seating area with a flat-screen TV and a private bathroom with a hair dryer and walk-in shower.

Guests at Bastide de Bellegarde can enjoy a Full English/Irish breakfast.

At the accommodation guests are welcome to take advantage of a fitness room.

Guests at Bastide de Bellegarde can enjoy cycling and hiking nearby, or make the most of the sun terrace.

Papal Palace is 5.9 km from the bed and breakfast, while Avignon Central Station is 6.1 km from the property. The nearest airport is Avignon-Provence, 15 km from Bastide de Bellegarde, and the property offers a paid airport shuttle service."
Le Clos Saluces,9.9,144 reviews,43.95019340,4.81058627,https://www.booking.com/hotel/fr/le-clos-saluces.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGpn6oGwAIB0gIkMmEyODU1ZWMtOWVjNi00MDhiLTg0YzgtNDkyYjNkZjhmNTYz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=ca9c7cc9b8fe0298&srepoch=1699206291&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Offering a flowered furnished garden and a patio with a fountain, LE CLOS SALUCES is situated in Avignon in the Provence-Alpes-Côte d'Azur Region, 450 metres from the Papal Palace and 950 metres from Pont d'Avignon.

Every room is fitted with a flat-screen TV. Certain rooms have a seating area to relax in after a busy day. All rooms have a private bathroom. For your comfort, you will find slippers and free toiletries. LE CLOS SALUCES features free WiFi throughout the property.

Avignon City Hall is 500 metres from the property. Avignon-Provence Airport is 12 km away."
Les Jardins de Baracane,9.7,187 reviews,43.94460933,4.80928241,https://www.booking.com/hotel/fr/les-jardins-de-baracane.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGpn6oGwAIB0gIkMmEyODU1ZWMtOWVjNi00MDhiLTg0YzgtNDkyYjNkZjhmNTYz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&srpvid=ca9c7cc9b8fe0298&srepoch=1699206291&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"A 17th century property offering an outdoor pool and garden, Les Jardins de Baracane is located in the historic centre of Avignon. Free WiFi access is available.

Each room here features air conditioning and garden views. The private bathroom features a bath or shower, a hairdryer and free toiletries.

The guest house is a 10-minute walk from Avignon Central Station, 900 metres from Papal Palace and 9 km from Avignon-Provence Airport."
Domaine de Rhodes B&B,9.4,261 reviews,43.97451606,4.83258963,https://www.booking.com/hotel/fr/domaine-de-rhodes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGpn6oGwAIB0gIkMmEyODU1ZWMtOWVjNi00MDhiLTg0YzgtNDkyYjNkZjhmNTYz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=bayesian_review_score&srpvid=ca9c7cc9b8fe0298&srepoch=1699206291&from=searchresults#hotelTmpl,"Featuring an outdoor swimming pool, Domaine de Rhodes offers B&B accommodation in Avignon. Guests can also enjoy the garden, the terrace and the fireplace.

Each non-smoking room offers views of the garden, a desk and free Wi-Fi access. The en suite bathroom is complete and comes with free toiletries.

A continental breakfast including homemade pastries and yoghurt is provided every morning. Restaurants, bars and shops can be found 6 km away.

This bed and breakfast is 4 km from Pont d’Avignon, 4.5 km from Palais des Papes d’Avignon and 5.5 km from Avignon Train Station. The property offers free parking."
Chez Flo,9.7,80 reviews,43.94203410,4.80861493,https://www.booking.com/hotel/fr/chez-flo-avignon.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ApGpn6oGwAIB0gIkMmEyODU1ZWMtOWVjNi00MDhiLTg0YzgtNDkyYjNkZjhmNTYz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=bayesian_review_score&srpvid=ca9c7cc9b8fe0298&srepoch=1699206291&from=searchresults#hotelTmpl,"Set in Avignon, 400 metres from Avignon Central Station and 1.2 km from Papal Palace, Chez Flo offers air conditioning. It features mountain views and free WiFithroughout the property.

The 3-bedroom apartment is fitted with a living room with a flat-screen TV with streaming services, a fully equipped kitchen with dishwasher and oven, and 1 bathroom with bathrobes. Towels and bed linen are featured in the apartment.

Avignon TGV Train Station is 3.8 km from the apartment, while Parc des Expositions Avignon is 10 km away. The nearest airport is Avignon-Provence Airport, 10 km from Chez Flo."
