hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
Parc 709 Bayonne,9.2,135 reviews,43.49560600,-1.48131700,https://www.booking.com/hotel/fr/parc-709-bayonne.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqKun6oGwAIB0gIkMzNmNjZlMTItNzhhMS00NzA3LWFlZTQtNDljNjU5OTJlYTJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=55cc7e11490a0065&srepoch=1699206948&from=searchresults#hotelTmpl,"Featuring city views, Parc 709 Bayonne provides accommodation with a balcony and a coffee machine, around 12 km from Biarritz La Négresse Train Station. It is located 22 km from Saint Jean de Luz Train Station and features a lift.

The apartment is equipped with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with cable channels, a fully equipped kitchen, and a terrace with river views. Providing free private parking, this 4-star apartment also features free WiFithroughout the property.

Saint-Jean-Baptiste Church is 22 km from the apartment, while Hendaye Train Station is 35 km away. The nearest airport is Biarritz Airport, 6 km from Parc 709 Bayonne."
Baiona,9.1,69 reviews,43.48722000,-1.46584000,https://www.booking.com/hotel/fr/baiona.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqKun6oGwAIB0gIkMzNmNjZlMTItNzhhMS00NzA3LWFlZTQtNDljNjU5OTJlYTJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&srpvid=55cc7e11490a0065&srepoch=1699206948&from=searchresults#hotelTmpl,"Baiona is set in Bayonne, 12 km from Biarritz La Négresse Train Station, 22 km from Saint Jean de Luz Train Station, as well as 23 km from Saint-Jean-Baptiste Church. This property offers access to a patio, free private parking and free WiFi.

The apartment with a terrace and garden views features 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with an a bath or shower. Towels and bed linen are featured in the apartment.

Hendaye Train Station is 36 km from the apartment, while FICOBA is 36 km away. The nearest airport is Biarritz Airport, 5 km from Baiona."
Appartement de charme Erdizka,9.5,27 reviews,43.48967570,-1.46746940,https://www.booking.com/hotel/fr/appartement-de-charme-erdizka.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqKun6oGwAIB0gIkMzNmNjZlMTItNzhhMS00NzA3LWFlZTQtNDljNjU5OTJlYTJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&srpvid=55cc7e11490a0065&srepoch=1699206948&from=searchresults#hotelTmpl,"Set in Bayonne, 13 km from Biarritz La Négresse Train Station and 23 km from Saint Jean de Luz Train Station, Appartement de charme Erdizka offers air-conditioned accommodation with a terrace and free WiFi. The property features quiet street views and is 23 km from Saint-Jean-Baptiste Church and 36 km from Hendaye Train Station.

This apartment comes with 2 bedrooms, a kitchen with a dishwasher and an oven, a flat-screen TV, a seating area and 1 bathroom equipped with a shower. Towels and bed linen are featured in the apartment.

FICOBA is 36 km from the apartment, while Pasaiako portua is 48 km away. The nearest airport is Biarritz Airport, 5 km from Appartement de charme Erdizka."
Appartement résidence récente,9.5,29 reviews,43.50576860,-1.45966920,https://www.booking.com/hotel/fr/appartement-residence-neuve.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqKun6oGwAIB0gIkMzNmNjZlMTItNzhhMS00NzA3LWFlZTQtNDljNjU5OTJlYTJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=bayesian_review_score&srpvid=55cc7e11490a0065&srepoch=1699206948&from=searchresults#hotelTmpl,"Appartement résidence récente is located in Bayonne, 16 km from Biarritz La Négresse Train Station, 26 km from Saint Jean de Luz Train Station, as well as 27 km from Saint-Jean-Baptiste Church. This property offers access to a balcony, free private parking and free WiFi.

The 2-bedroom apartment is equipped with a living room with a flat-screen TV with streaming services, a fully equipped kitchen with dishwasher and oven, and 1 bathroom with free toiletries. Towels and bed linen are provided in the apartment.

Hendaye Train Station is 40 km from the apartment, while FICOBA is 40 km away. The nearest airport is Biarritz Airport, 8 km from Appartement résidence récente."
Libertitu,9.2,173 reviews,43.49448600,-1.48362200,https://www.booking.com/hotel/fr/libertitu.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqKun6oGwAIB0gIkMzNmNjZlMTItNzhhMS00NzA3LWFlZTQtNDljNjU5OTJlYTJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=55cc7e11490a0065&srepoch=1699206948&from=searchresults#hotelTmpl,"Situated within 12 km of Biarritz La Négresse Train Station and 22 km of Saint Jean de Luz Train Station in Bayonne, Libertitu features accommodation with free WiFi and seating area.

The units come with parquet floors and feature a fully equipped kitchen with a dishwasher, a dining area, a flat-screen TV with streaming services, and a private bathroom with walk-in shower and a hair dryer. An oven, a microwave and toaster are also available, as well as a coffee machine and a kettle.

Saint-Jean-Baptiste Church is 22 km from the bed and breakfast, while Hendaye Train Station is 36 km from the property. The nearest airport is Biarritz, 5 km from Libertitu, and the property offers a paid airport shuttle service."
Appartement au coeur de Bayonne sur les remparts,9.2,94 reviews,43.48939080,-1.47909530,https://www.booking.com/hotel/fr/5-rue-des-faures.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqKun6oGwAIB0gIkMzNmNjZlMTItNzhhMS00NzA3LWFlZTQtNDljNjU5OTJlYTJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=55cc7e11490a0065&srepoch=1699206948&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Appartement au coeur de Bayonne sur les remparts is situated in Bayonne, 12 km from Biarritz La Négresse Train Station, 22 km from Saint Jean de Luz Train Station, and 23 km from Saint-Jean-Baptiste Church. It has quiet street views and free WiFithroughout the property.

The apartment has 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV, a dining area, a fully equipped kitchen, and a terrace with city views.

Hendaye Train Station is 36 km from the apartment, while FICOBA is 36 km from the property. The nearest airport is Biarritz Airport, 5 km from Appartement au coeur de Bayonne sur les remparts."
Péniche DJEBELLE,9.5,239 reviews,43.49633500,-1.47374900,https://www.booking.com/hotel/fr/peniche-djebelle.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqKun6oGwAIB0gIkMzNmNjZlMTItNzhhMS00NzA3LWFlZTQtNDljNjU5OTJlYTJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=55cc7e11490a0065&srepoch=1699206948&from=searchresults#hotelTmpl,"Located in Bayonne and with Biarritz La Négresse Train Station reachable within 16 km, Péniche DJEBELLE provides free bikes, non-smoking rooms, free WiFi and a terrace. The property is set 26 km from Saint Jean de Luz Train Station, 26 km from Saint-Jean-Baptiste Church and 40 km from Hendaye Train Station. The accommodation offers culture classes and free shuttle service.

At the guest house, each room is equipped with a balcony. At Péniche DJEBELLE each room has a private bathroom.

Guests at the accommodation can enjoy a continental breakfast.

Guests at Péniche DJEBELLE will be able to enjoy activities in and around Bayonne, like skiing, snorkelling and cycling.

FICOBA is 40 km from the guest house. The nearest airport is Biarritz Airport, 7 km from Péniche DJEBELLE."
Villa la Renaissance,9.2,431 reviews,43.48232100,-1.46816400,https://www.booking.com/hotel/fr/villa-la-renaissance-bayonne.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqKun6oGwAIB0gIkMzNmNjZlMTItNzhhMS00NzA3LWFlZTQtNDljNjU5OTJlYTJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=55cc7e11490a0065&srepoch=1699206948&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Villa la Renaissance offers rooms in Bayonne, 600 metres from Ansot Park and 1.2 km from Saint Marie Cathedral. Featuring room service, this property also provides guests with a terrace. Guyenne et Gascogne Headquarters is 700 metres from the hotel and Musee Bonnat-Helleu, Museum of Fine Arts Bayonne is 1.1 km away.

Guest rooms in the hotel are equipped with a kettle. Every room has a desk and a flat-screen TV, and some units at Villa la Renaissance have a balcony. All guest rooms have a private bathroom with a shower and a hairdryer.

A continental breakfast is available each morning at the property.

Popular points of interest near the accommodation include Bayonne Town Hall, Jardin Botanique and Pyrenees Atlantiques Prefecture. The nearest airport is Biarritz Airport, 5 km from the property."
Euskal etxea,9.8,41 reviews,43.48722030,-1.46584030,https://www.booking.com/hotel/fr/euskal-etxea.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqKun6oGwAIB0gIkMzNmNjZlMTItNzhhMS00NzA3LWFlZTQtNDljNjU5OTJlYTJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&srpvid=55cc7e11490a0065&srepoch=1699206948&from=searchresults#hotelTmpl,"Located just 22 km from Saint Jean de Luz Train Station, Euskal etxea provides accommodation in Bayonne with access to a garden, barbecue facilities, as well as full-day security. The air-conditioned accommodation is 12 km from Biarritz La Négresse Train Station, and guests benefit from private parking available on site and free WiFi.

The holiday home with a terrace and garden views features 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 2 bathrooms with a walk-in shower. Towels and bed linen are provided in the holiday home.

Saint-Jean-Baptiste Church is 23 km from the holiday home, while Hendaye Train Station is 36 km away. The nearest airport is Biarritz Airport, 5 km from Euskal etxea."
"beau t3 en duplex, calme et paisible",8.5,14 reviews,43.49583355,-1.43456731,https://www.booking.com/hotel/fr/beau-t3-en-duplex-calme-et-paisible.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqKun6oGwAIB0gIkMzNmNjZlMTItNzhhMS00NzA3LWFlZTQtNDljNjU5OTJlYTJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=bayesian_review_score&srpvid=55cc7e11490a0065&srepoch=1699206948&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Featuring garden views, beau t3 en duplex, calme et paisible provides accommodation with a balcony and a coffee machine, around 15 km from Biarritz La Négresse Train Station. This property offers access to a terrace, free private parking and free WiFi.

This apartment comes with 2 bedrooms, a kitchen with a dishwasher and an oven, a flat-screen TV, a seating area and 2 bathrooms equipped with a walk-in shower. Towels and bed linen are featured in the apartment.

Guests can also relax in the shared lounge area.

Saint Jean de Luz Train Station is 25 km from the apartment, while Saint-Jean-Baptiste Church is 26 km away. The nearest airport is Biarritz Airport, 11 km from beau t3 en duplex, calme et paisible."
