hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
Hôtel & Espace Bien-être La Maison du Lierre,8.8,"1,061 reviews",43.48013354,-1.56076133,https://www.booking.com/hotel/fr/la-maison-du-lierre.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Armsn6oGwAIB0gIkZTk2MjdmZTItNGI2YS00ZWMyLTg2ZTEtZTI5YWJjZjc5ZmYx2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=bayesian_review_score&srpvid=d5037d9d7ba2001c&srepoch=1699206716&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Hôtel & Espace Bien-être La Maison du Lierre is located in Biarritz, 300 metres from the beach and 5 minutes from the convention centres Bellevue, Casino and Gare du Midi as well as 100 metres from Biarritz central market. It offers free WiFi and Canal + channel.

The charming Maison du Lierre hotel provides numerous services. These include breakfast which can be enjoyed on the terrace in summertime. Upon reservation and for an extra charge, guests also access the onsite sauna, massage services and spa treatments.

Each room has a private bathroom with a walk-in shower. The rooms overlook an interior courtyard. Some have a balcony or terrace.

Guests have access to a private living room with a computer corner."
Résidence Helianthe,9.0,69 reviews,43.47852610,-1.56492450,https://www.booking.com/hotel/fr/rasidance-heliante.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Armsn6oGwAIB0gIkZTk2MjdmZTItNGI2YS00ZWMyLTg2ZTEtZTI5YWJjZjc5ZmYx2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=bayesian_review_score&srpvid=d5037d9d7ba2001c&srepoch=1699206716&from=searchresults#hotelTmpl,"Situated in Biarritz and only 500 metres from Cote des Basques Beach, Résidence Helianthe features accommodation with sea views, free WiFi and free private parking. The property has city views and is 600 metres from Plage Port Vieux and 700 metres from Plage Pêcheurs.

The 1-bedroom apartment features a living room with a flat-screen TV with satellite channels, a fully equipped kitchen with a dishwasher and oven, and 1 bathroom with walk-in shower. Towels and bed linen are available in the apartment.

Biarritz La Négresse Train Station is 3.3 km from the apartment, while Saint Jean de Luz Train Station is 18 km from the property. The nearest airport is Biarritz Airport, 3 km from Résidence Helianthe."
Biarritz Surf Lodge Chambre d'hôtes,8.4,36 reviews,43.46749490,-1.56837520,https://www.booking.com/hotel/fr/biarritz-surf-lodge.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Armsn6oGwAIB0gIkZTk2MjdmZTItNGI2YS00ZWMyLTg2ZTEtZTI5YWJjZjc5ZmYx2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=bayesian_review_score&srpvid=d5037d9d7ba2001c&srepoch=1699206716&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set 500 metres from Cote des Basques Beach, Biarritz Surf Lodge Chambre d'hôtes offers accommodation with a terrace, as well as a shared lounge. Complimentary WiFi is offeredthroughout the property.

Some of the units feature a cable flat-screen TV, a fully equipped kitchen with a dishwasher, and a private bathroom with a walk-in shower and a hair dryer.

A buffet, continental or vegetarian breakfast is available every morning at the property.

Plage Marbella is 700 metres from the bed and breakfast, while Plage Milady is less than 1 km from the property. The nearest airport is Biarritz Airport, 4 km from Biarritz Surf Lodge Chambre d'hôtes."
Ocean 7,9.1,44 reviews,43.48495682,-1.55742716,https://www.booking.com/hotel/fr/studio-victoria-surf-grande-plage-coeur-de-biarritz.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Armsn6oGwAIB0gIkZTk2MjdmZTItNGI2YS00ZWMyLTg2ZTEtZTI5YWJjZjc5ZmYx2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=bayesian_review_score&srpvid=d5037d9d7ba2001c&srepoch=1699206716&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Ocean 7 is a beachfront property set in Biarritz, 200 metres from Grande Plage and 300 metres from Plage Miramar. It features pool with a view, an open-air bath, city views and free WiFithroughout the property.

The apartment is fitted with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with streaming services, a dining area, a fully equipped kitchenette, and a balcony with mountain views.

The apartment offers a sun terrace.

Plage Pêcheurs is 600 metres from Ocean 7, while Biarritz La Négresse Train Station is 3.7 km away. The nearest airport is Biarritz, 4 km from the accommodation, and the property offers a paid airport shuttle service."
"Hôtel Littéraire Jules Verne, BW Signature Collection",8.5,"2,139 reviews",43.47853954,-1.55539960,https://www.booking.com/hotel/fr/karitza-biarritz.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Armsn6oGwAIB0gIkZTk2MjdmZTItNGI2YS00ZWMyLTg2ZTEtZTI5YWJjZjc5ZmYx2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=bayesian_review_score&srpvid=d5037d9d7ba2001c&srepoch=1699206716&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"The hotel is located in central Biarritz, near the Palais des Festivals, the casino and the local beaches. Guests are invited to use the heated outdoor swimming pool.

All the modern rooms at the Hôtel Littéraire Jules Verne are air-conditioned and soundproofed and feature a flat-screen TV with satellite. Free Wi-Fi is provided and adjoining rooms are available on request.

Breakfast can be enjoyed daily in the comfort of guest rooms and a Nespresso coffee machine is available in some rooms.

The friendly and attentive staff at the hotel will be happy to help you organise your stay in Biarritz 24 hours a day. Parking in a garage s available with an extra cost."
Welkeys - Rue Michelet Apartment,8.5,31 reviews,43.47596000,-1.56340300,https://www.booking.com/hotel/fr/bel-appartement-a-deux-pas-de-la-cote-des-basques.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Armsn6oGwAIB0gIkZTk2MjdmZTItNGI2YS00ZWMyLTg2ZTEtZTI5YWJjZjc5ZmYx2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=bayesian_review_score&srpvid=d5037d9d7ba2001c&srepoch=1699206716&from=searchresults#hotelTmpl,"Featuring accommodation with a balcony, Welkeys - Rue Michelet Apartment is located in Biarritz. The accommodation is 600 metres from the Cote des Basques Beach and has free WiFithroughout the property.

The apartment features 1 bedroom, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a shower.

Popular points of interest near the apartment include Plage Port Vieux, Plage Pêcheurs and Plage Marbella. The nearest airport is Biarritz Airport, 3 km from Welkeys - Rue Michelet Apartment."
Superbe appartement au bord de l'océan,8.9,13 reviews,43.48275181,-1.56001351,https://www.booking.com/hotel/fr/superbe-appartement-au-bord-de-l-ocean.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Armsn6oGwAIB0gIkZTk2MjdmZTItNGI2YS00ZWMyLTg2ZTEtZTI5YWJjZjc5ZmYx2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=bayesian_review_score&srpvid=d5037d9d7ba2001c&srepoch=1699206716&from=searchresults#hotelTmpl,"Situated right in the heart of Biarritz, Superbe appartement au bord de l'océan features accommodation with sea views, just 200 metres from Grande Plage and 300 metres from Plage Pêcheurs. This beachfront property offers access to free WiFi and free private parking.

This apartment features 2 bedrooms, a kitchen with a dishwasher and an oven, a flat-screen TV, a seating area and 1 bathroom fitted with a shower. Towels and bed linen are available in the apartment.

If you would like to discover the area, hiking is possible in the surroundings.

Cote des Basques Beach is less than 1 km from the apartment, while Biarritz La Négresse Train Station is 3.2 km from the property. The nearest airport is Biarritz, 3 km from Superbe appartement au bord de l'océan, and the property offers a paid airport shuttle service."
"HYPER CENTRE, VUE MER ,APPARTEMENT NEUF, 6 adultes",9.1,51 reviews,43.48240567,-1.56092597,https://www.booking.com/hotel/fr/plein-centre-appartement-neuf-6-couchages-vue-mer.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Armsn6oGwAIB0gIkZTk2MjdmZTItNGI2YS00ZWMyLTg2ZTEtZTI5YWJjZjc5ZmYx2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=bayesian_review_score&srpvid=d5037d9d7ba2001c&srepoch=1699206716&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in the centre of Biarritz, HYPER CENTRE, VUE MER, APPARTEMENT NEUF, 6 adultes provides accommodation with city views, just 100 metres from Grande Plage and 300 metres from Plage Pêcheurs. This beachfront property offers access to a balcony and free WiFi.

The apartment with a terrace and sea views features 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a walk-in shower. Towels and bed linen are provided in the apartment.

Cycling and walking tours can be enjoyed nearby.

Cote des Basques Beach is 700 metres from the apartment, while Biarritz La Négresse Train Station is 4.9 km away. The nearest airport is Biarritz Airport, 5 km from HYPER CENTRE, VUE MER, APPARTEMENT NEUF, 6 adultes."
Modern flat with three balconies in Biarritz - Welkeys,8.6,24 reviews,43.47365190,-1.55019690,https://www.booking.com/hotel/fr/modern-and-bright-flat-with-three-balconies-in-biarritz-welkeys.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Armsn6oGwAIB0gIkZTk2MjdmZTItNGI2YS00ZWMyLTg2ZTEtZTI5YWJjZjc5ZmYx2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=bayesian_review_score&srpvid=d5037d9d7ba2001c&srepoch=1699206716&from=searchresults#hotelTmpl,"Offering free WiFi and free private parking, Modern flat with three balconies in Biarritz - Welkeys is set in Biarritz, within just 1.7 km of Plage Pêcheurs. This apartment is 2.6 km from Plage Marbella and 2 km from Biarritz La Négresse Train Station.

The apartment is fitted with 2 bedrooms, 1 bathroom, bed linen, towels, a TV, a dining area, a fully equipped kitchen, and a balcony with city views.

Grande Plage is 1.8 km from the apartment, while Cote des Basques Beach is 2 km away. The nearest airport is Biarritz Airport, 2 km from Modern flat with three balconies in Biarritz - Welkeys."
GRAND Appartement 85m2 centre ville de BIARRITZ 6 pers,8.5,48 reviews,43.47905610,-1.56162430,https://www.booking.com/hotel/fr/t3-85m2-centre-ville-de-biarritz-6-pers.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Armsn6oGwAIB0gIkZTk2MjdmZTItNGI2YS00ZWMyLTg2ZTEtZTI5YWJjZjc5ZmYx2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=bayesian_review_score&srpvid=d5037d9d7ba2001c&srepoch=1699206716&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Offering free WiFi and inner courtyard views, GRAND Appartement 85m2 centre ville de BIARRITZ 6 pers is an accommodation located in the centre of Biarritz, just 600 metres from Grande Plage and 700 metres from Cote des Basques Beach. Set on the beachfront, this property has a terrace.

The apartment with a balcony and garden views features 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a shower. Towels and bed linen are provided in the apartment.

Guests can swim in the saltwater pool, or go cycling.

Plage Pêcheurs is 800 metres from the apartment, while Plage Marbella is 2 km away. The nearest airport is Biarritz Airport, 3 km from GRAND Appartement 85m2 centre ville de BIARRITZ 6 pers."
