hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
Magnifique maison de village clim vue mer 6 pers,,,43.15160800,6.34112340,https://www.booking.com/hotel/fr/magnifique-maison-de-village-clim-vue-mer-8-pers.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auqon6oGwAIB0gIkMWZiZDNhNGMtNDhiMy00ZGViLWJjMzMtOTEwMWQ1ZTM0YTBm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=79137cb61a9800e9&srepoch=1699206253&from=searchresults#hotelTmpl,"Offering city views, Magnifique maison de village clim vue mer 6 pers is an accommodation set in Bormes-les-Mimosas, 29 km from Chateau de Grimaud and 29 km from Le Pont des Fées. It has a terrace, barbecue facilities, sea views and free WiFithroughout the property.

This air-conditioned holiday home is fitted with 2 bedrooms, a cable flat-screen TV, a dining area, a kitchen with a dishwasher, and a living room. Towels and bed linen are offered in the holiday home.

Hiking can be enjoyed nearby.

Toulon Train Station is 39 km from the holiday home, while Zénith Oméga Toulon is 40 km from the property. The nearest airport is Toulon - Hyeres Airport, 21 km from Magnifique maison de village clim vue mer 6 pers."
Appartement pieds dans l’eau Vue Mer Bormes Les Mimosas,9.2,19 reviews,43.12215305,6.35946358,https://www.booking.com/hotel/fr/appartement-pieds-dans-l-eau-vue-mer-bormes-les-mimosas.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auqon6oGwAIB0gIkMWZiZDNhNGMtNDhiMy00ZGViLWJjMzMtOTEwMWQ1ZTM0YTBm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=bayesian_review_score&srpvid=79137cb61a9800e9&srepoch=1699206253&from=searchresults#hotelTmpl,"Offering sea views, Appartement pieds dans l’eau Vue Mer Bormes Les Mimosas is an accommodation located in Bormes-les-Mimosas, 90 metres from Faviere and 700 metres from Pointe de Gouron Beach. This beachfront property offers access to a terrace and free private parking.

This apartment is equipped with 1 bedroom, a kitchen with a microwave and a fridge, a flat-screen TV, a seating area and 1 bathroom equipped with a walk-in shower. For added convenience, the property can provide towels and linens for a supplement.

If you would like to discover the area, snorkelling and walking tours are possible in the surroundings.

Plage de l'Anglade is 700 metres from the apartment, while Chateau de Grimaud is 34 km away. The nearest airport is Toulon - Hyeres Airport, 24 km from Appartement pieds dans l’eau Vue Mer Bormes Les Mimosas."
Superbe T4 -Vue Mer- Tout Confort Refait à Neuf!,9.6,22 reviews,43.14488050,6.35332445,https://www.booking.com/hotel/fr/superbe-t4-vue-mer-tout-confort-refait-a-neuf.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auqon6oGwAIB0gIkMWZiZDNhNGMtNDhiMy00ZGViLWJjMzMtOTEwMWQ1ZTM0YTBm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=79137cb61a9800e9&srepoch=1699206253&from=searchresults#hotelTmpl,"Offering a tennis court and garden view, Superbe T4 -Vue Mer- Tout Confort Refait à Neuf! is set in Bormes-les-Mimosas, 31 km from Chateau de Grimaud and 31 km from Le Pont des Fées. The air-conditioned accommodation is 2.9 km from Grande Plage, and guests benefit from complimentary WiFi and private parking available on site.

The apartment with a terrace and sea views has 3 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a walk-in shower. Towels and bed linen are offered in the apartment.

The apartment offers a barbecue. Guests at Superbe T4 -Vue Mer- Tout Confort Refait à Neuf! can enjoy windsurfing and hiking nearby, or make the most of the garden.

Toulon Train Station is 40 km from the accommodation, while Zénith Oméga Toulon is 41 km from the property. The nearest airport is Toulon - Hyeres Airport, 22 km from Superbe T4 -Vue Mer- Tout Confort Refait à Neuf!."
Boulevard du Soleil,9.2,51 reviews,43.14923281,6.34197015,https://www.booking.com/hotel/fr/boulevard-du-soleil.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auqon6oGwAIB0gIkMWZiZDNhNGMtNDhiMy00ZGViLWJjMzMtOTEwMWQ1ZTM0YTBm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&srpvid=79137cb61a9800e9&srepoch=1699206253&from=searchresults#hotelTmpl,"Located in Bormes-les-Mimosas and only 29 km from Chateau de Grimaud, Boulevard du Soleil provides accommodation with sea views, free WiFi and free private parking. The property has garden and city views, and is 30 km from Le Pont des Fées.

The apartment features 1 bedroom, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a shower. Towels and bed linen are provided in the apartment.

Toulon Train Station is 39 km from the apartment, while Zénith Oméga Toulon is 39 km away. The nearest airport is Toulon - Hyeres Airport, 21 km from Boulevard du Soleil."
Eden Rose Grand Hotel BW Premier Collection,8.8,189 reviews,43.15287200,6.34265400,https://www.booking.com/hotel/fr/eden-rose-grand-bw-premier-collection.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auqon6oGwAIB0gIkMWZiZDNhNGMtNDhiMy00ZGViLWJjMzMtOTEwMWQ1ZTM0YTBm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=79137cb61a9800e9&srepoch=1699206253&from=searchresults#hotelTmpl,"Set in Bormes-les-Mimosas, 29 km from Chateau de Grimaud, Eden Rose Grand Hotel BW Premier Collection offers accommodation with a garden, private parking, a terrace and a restaurant. With a bar, the 4-star hotel has air-conditioned rooms with free WiFi. The accommodation features room service, a concierge service and luggage storage for guests.

The units will provide guests with a minibar.

A continental breakfast is available every morning at the hotel.

Speaking German, English, Spanish and French, staff will be happy to provide guests with practical information on the area at the reception.

Le Pont des Fées is 29 km from Eden Rose Grand Hotel BW Premier Collection, while Toulon Train Station is 40 km away. The nearest airport is Toulon - Hyeres Airport, 22 km from the accommodation."
HomeStay Bormes,9.5,113 reviews,43.14644500,6.32772400,https://www.booking.com/hotel/fr/homestay-bormes-bormes-les-mimosas.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auqon6oGwAIB0gIkMWZiZDNhNGMtNDhiMy00ZGViLWJjMzMtOTEwMWQ1ZTM0YTBm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=79137cb61a9800e9&srepoch=1699206253&from=searchresults#hotelTmpl,"HomeStay Bormes features pool views, free WiFi and free private parking, located in Bormes-les-Mimosas, 30 km from Chateau de Grimaud.

Each unit comes with a terrace offering mountain views, a flat-screen TV, a dining area, a well-fitted kitchen and a private bathroom with shower, a hair dryer and free toiletries. A microwave, a toaster and fridge are also featured, as well as a coffee machine.

The homestay offers a range of wellness facilities including a hot tub and a spa facilities.

If you would like to discover the area, snorkelling, cycling and fishing are possible in the surroundings and HomeStay Bormes can arrange a bicycle rental service.

Le Pont des Fées is 31 km from the accommodation, while Toulon Train Station is 37 km away. The nearest airport is Toulon - Hyeres, 19 km from HomeStay Bormes, and the property offers a paid airport shuttle service."
Le Mirage,9.1,396 reviews,43.14456855,6.35168418,https://www.booking.com/hotel/fr/le-domaine-du-mirage.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auqon6oGwAIB0gIkMWZiZDNhNGMtNDhiMy00ZGViLWJjMzMtOTEwMWQ1ZTM0YTBm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=79137cb61a9800e9&srepoch=1699206253&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"The Mirage hotel is nestled in the heart of a restful place, a perfect balance between sea and nature, to offer you an unforgettable experience throughout your stay.
For a night or a stay, whether you are with family or friends, take full advantage of our hotel, a cosy nest nestled in Bormes-les-Mimosas, to relax and enjoy an ideal wellness experience.

Spend your days strolling through the village, discovering its history, or heading to the beach to bask in the sun. You can also choose to stay by our outdoor swimming pool, to make room for serenity, to enjoy our cocktails on our terrace with its unbeatable view.

After a delicious healthy meal in our restaurant, enjoy your evening and relax in the calm of your room with its panoramic view of the sea and the village of Bormes-les-Mimosas."
Villa Nais B&B,9.2,24 reviews,43.15915543,6.32169306,https://www.booking.com/hotel/fr/villa-nais.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auqon6oGwAIB0gIkMWZiZDNhNGMtNDhiMy00ZGViLWJjMzMtOTEwMWQ1ZTM0YTBm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&srpvid=79137cb61a9800e9&srepoch=1699206253&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"La Villa Nais is located in southern France, just 6 km from Bormes-les-Mimosas beaches and city centre. It has an outdoor pool with views of the countryside and a private tennis court.

The guest rooms at the Nais Villa have a private entrance and open onto a terrace or balcony. They each have an en-suite bathroom and free WiFi, and some are also equipped with Loewe flat-screen TVs.

Breakfast is prepared using homemade or local and organic produce, and it can be enjoyed on the terrace weather permitting.

Guests of the Villa Nais can relax on the garden terrace, which features barbecue facilities. Massage treatments are also available upon request.

The Nais is a 20-minute drive from Hyéres, and 45 minutes from Saint Tropez. The historical village of Bormes-les-Mimosas is just 6 km away."
The Little House,9.3,46 reviews,43.15036081,6.34220201,https://www.booking.com/hotel/fr/the-little-house-bormes-les-mimosas.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auqon6oGwAIB0gIkMWZiZDNhNGMtNDhiMy00ZGViLWJjMzMtOTEwMWQ1ZTM0YTBm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=bayesian_review_score&srpvid=79137cb61a9800e9&srepoch=1699206253&from=searchresults#hotelTmpl,"Located in Bormes-les-Mimosas, 29 km from Chateau de Grimaud, 30 km from Le Pont des Fées and 39 km from Toulon Train Station, The Little House provides accommodation with a balcony and free WiFi. This holiday home is 21 km from Villa Noailles Art Centre and 29 km from Penitents Chapel.

The holiday home with a terrace and city views features 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a shower. Towels and bed linen are featured in the holiday home.

Zénith Oméga Toulon is 39 km from the holiday home, while La Favière is 4.7 km away. The nearest airport is Toulon - Hyeres Airport, 21 km from The Little House."
Oustaou di Ercole,9.2,31 reviews,43.14957041,6.30204835,https://www.booking.com/hotel/fr/l-39-oustaou-di-ercole.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auqon6oGwAIB0gIkMWZiZDNhNGMtNDhiMy00ZGViLWJjMzMtOTEwMWQ1ZTM0YTBm2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=bayesian_review_score&srpvid=79137cb61a9800e9&srepoch=1699206253&from=searchresults#hotelTmpl,"Oustaou di Ercole features pool views, free WiFi and free private parking, set in Bormes-les-Mimosas, 30 km from Chateau de Grimaud.

The apartment provides guests with a terrace, mountain views, a seating area, a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, and a private bathroom with hot tub and a hair dryer. A microwave, a toaster and fridge are also featured, as well as a coffee machine and a kettle.

Guests can swim in the outdoor swimming pool, go hiking, or relax in the garden and use the barbecue facilities.

Le Pont des Fées is 30 km from Oustaou di Ercole, while Toulon Train Station is 34 km away. The nearest airport is Toulon - Hyeres Airport, 16 km from the accommodation."
