hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
LA COUR CARREE,9.7,607 reviews,43.21088000,2.35007600,https://www.booking.com/hotel/fr/la-cour-carree-carcassonne.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asipn6oGwAIB0gIkZGQyNjMzYWMtOTI1OS00MDE1LWFhNTYtMmUxMTI4ZDY3OTc52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=192b7ce593ce01e8&srepoch=1699206347&from=searchresults#hotelTmpl,"Located 50 km from Termes Chateau in Carcassonne, LA COUR CARREE provides accommodation with air conditioning and free WiFi.

There is a private bathroom with shower and a hair dryer in each unit, along with free toiletries.

A continental breakfast is available daily at the bed and breakfast.

LA COUR CARREE offers a terrace.

If you would like to discover the area, cycling, hiking and walking tours are possible in the surroundings.

Popular points of interest near the accommodation include Carcassonne Cathedral, Memorial House (Maison des Memoires) and Comtal Castle. The nearest airport is Carcassonne Airport, 3 km from LA COUR CARREE."
Gîte Carcasso,9.6,337 reviews,43.20706500,2.36134600,https://www.booking.com/hotel/fr/carcasso.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asipn6oGwAIB0gIkZGQyNjMzYWMtOTI1OS00MDE1LWFhNTYtMmUxMTI4ZDY3OTc52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&srpvid=192b7ce593ce01e8&srepoch=1699206347&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Gîte Carcasso is located near the city walls, 100 metres from the medieval castle and opposite Saint Gimer church. The property offers a free WiFi connection.

The apartment has 2 bedrooms and 1 bathroom with free toiletries and a walk-in shower. The accommodation is fitted with a kitchen, which has a fridge, freezer, washing machine, tumble dryer, dishwasher, microwave oven and stovetop. The living area features a flat-screen TV.

Bed linen and towels are included in the price, and cleaning products, coffee, tea, sugar, salt, pepper, oil, water and fruit juice are provided.

Carcassonne Cathedral is 900 metres from Gîte Carcasso. The nearest airport is Carcassonne Airport, 4 km from the property."
Carcassonne Bed and Breakfast du Palais,9.7,282 reviews,43.21359920,2.35708120,https://www.booking.com/hotel/fr/carcassonne-bed-and-breakfast-du-palais.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asipn6oGwAIB0gIkZGQyNjMzYWMtOTI1OS00MDE1LWFhNTYtMmUxMTI4ZDY3OTc52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=192b7ce593ce01e8&srepoch=1699206347&from=searchresults#hotelTmpl,"Set in Carcassonne, 500 metres from Memorial House (Maison des Memoires), Carcassonne Bed and Breakfast du Palais offers accommodation with free WiFi, a terrace or a balcony and access to a garden and a seasonal outdoor pool.

There is a private bathroom with walk-in shower and a hair dryer in each unit, along with free toiletries.

Guests at the bed and breakfast can enjoy a continental breakfast.

Carcassonne Bed and Breakfast du Palais offers a picnic area.

Carcassonne Cathedral is less than 1 km from the accommodation, while Comtal Castle is a 18-minute walk from the property. The nearest airport is Carcassonne Airport, 4 km from Carcassonne Bed and Breakfast du Palais."
L’Antre d’Eux,9.7,631 reviews,43.19450170,2.39623761,https://www.booking.com/hotel/fr/antre-d-eux-carcassonne1.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asipn6oGwAIB0gIkZGQyNjMzYWMtOTI1OS00MDE1LWFhNTYtMmUxMTI4ZDY3OTc52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=192b7ce593ce01e8&srepoch=1699206347&from=searchresults#hotelTmpl,"Located in Carcassonne in the Languedoc-Roussillon region, L’Antre d’Eux provides accommodation with free WiFi and free private parking, as well as access to spa facilities.

There is a private bathroom with a bath or shower and a hair dryer in each unit, along with free toiletries.

Guests at the bed and breakfast can enjoy a continental breakfast.

Guests can also relax in the garden, beside the outdoor swimming pool, or on the sun terrace.

Cavayere Lake is 4.4 km from L’Antre d’Eux, while Comtal Castle is 4.5 km away. The nearest airport is Carcassonne Airport, 9 km from the accommodation."
SalutBB Chambre d'hote,9.6,263 reviews,43.21144880,2.34629930,https://www.booking.com/hotel/fr/salut-chambre-d-hote.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asipn6oGwAIB0gIkZGQyNjMzYWMtOTI1OS00MDE1LWFhNTYtMmUxMTI4ZDY3OTc52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=192b7ce593ce01e8&srepoch=1699206347&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Situated in Carcassonne, 49 km from Termes Chateau and 400 metres from Carcassonne Cathedral, SalutBB Chambre d'hote features accommodation with free WiFi, air conditioning, a garden and a shared lounge.

The bed and breakfast offers a seating area with a flat-screen TV and a private bathroom with a hair dryer, free toiletries and shower. Some units have a terrace and/or a patio with garden or city views.

A continental, vegetarian or vegan breakfast is available each morning at the property.

A bicycle rental service is available at SalutBB Chambre d'hote.

Memorial House (Maison des Memoires) is 600 metres from the accommodation, while Comtal Castle is 3.6 km from the property. The nearest airport is Carcassonne, 2 km from SalutBB Chambre d'hote, and the property offers a paid airport shuttle service."
45BB,9.7,390 reviews,43.21025600,2.35013200,https://www.booking.com/hotel/fr/45bb.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asipn6oGwAIB0gIkZGQyNjMzYWMtOTI1OS00MDE1LWFhNTYtMmUxMTI4ZDY3OTc52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&srpvid=192b7ce593ce01e8&srepoch=1699206347&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in Carcassonne, 50 km from Termes Chateau, 45BB offers accommodation with free WiFi, a balcony or a patio and access to a garden and a seasonal outdoor pool.

The bed and breakfast offers a flat-screen TV and a private bathroom with bathrobes, a hair dryer and walk-in shower. There is also a fridge, minibar and a kettle.

A continental breakfast is available every morning at 45BB.

The accommodation offers a sun terrace.

If you would like to discover the area, skiing, cycling and hiking are possible in the surroundings and 45BB can arrange a bicycle rental service.

Popular points of interest near the bed and breakfast include Carcassonne Cathedral, Memorial House (Maison des Memoires) and Comtal Castle. The nearest airport is Carcassonne Airport, 3 km from 45BB."
Le Cœur de la Bastide,9.6,465 reviews,43.21418100,2.35006000,https://www.booking.com/hotel/fr/le-coeur-de-la-bastide.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asipn6oGwAIB0gIkZGQyNjMzYWMtOTI1OS00MDE1LWFhNTYtMmUxMTI4ZDY3OTc52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&srpvid=192b7ce593ce01e8&srepoch=1699206347&from=searchresults#hotelTmpl,"Situated in Carcassonne, 50 km from Termes Chateau and 300 metres from Memorial House (Maison des Memoires), Le Cœur de la Bastide features accommodation with air conditioning and access to a garden. Complimentary WiFi is available and private parking is available on site.

The bed and breakfast offers a flat-screen TV and a private bathroom with a hair dryer, free toiletries and shower.

Guests at Le Cœur de la Bastide can enjoy a continental breakfast.

The accommodation offers a sun terrace.

Carcassonne Cathedral is 400 metres from Le Cœur de la Bastide, while Comtal Castle is 2 km from the property. The nearest airport is Carcassonne Airport, 3 km from the bed and breakfast."
B&B La Maison Vintage,9.7,774 reviews,43.21585029,2.34600578,https://www.booking.com/hotel/fr/la-maison-vintage.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asipn6oGwAIB0gIkZGQyNjMzYWMtOTI1OS00MDE1LWFhNTYtMmUxMTI4ZDY3OTc52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=192b7ce593ce01e8&srepoch=1699206347&from=searchresults#hotelTmpl,"Located in Carcassonne, a 20-minute walk from the medieval city walls and 100 metres from the Canal du Midi, B&B La Maison Vintage features free WiFi access and private parking.

Every room at this bed and breakfast is soundproof, air conditioned and features a flat-screen TV. Some units include a seating area for your convenience. Rooms have a private bathroom. For your comfort, you will find free toiletries and a hairdryer.

Breakfast is included in the price.

Carcassonne Town Hall is 1.1 km from B&B La Maison Vintage, while the train station is 550 metres away. The nearest airport is Carcassonne Airport, 5.6 km from the property."
Le Meez,9.5,189 reviews,43.20683800,2.38209500,https://www.booking.com/hotel/fr/le-meez-carcassonne.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asipn6oGwAIB0gIkZGQyNjMzYWMtOTI1OS00MDE1LWFhNTYtMmUxMTI4ZDY3OTc52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=bayesian_review_score&srpvid=192b7ce593ce01e8&srepoch=1699206347&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in Carcassonne, 2.6 km from Memorial House (Maison des Memoires), Le Meez provides accommodation with a seasonal outdoor swimming pool, free private parking, a fitness centre and a terrace. Among the facilities at this property are room service and a concierge service, along with free WiFi throughout the property. Guests can make use of a bar.

The units in the hotel are fitted with a coffee machine. Complete with a private bathroom equipped with free toiletries, all units at Le Meez have a flat-screen TV and air conditioning, and some rooms here will provide you with a balcony. At the accommodation every room comes with bed linen and towels.

Guests at Le Meez can enjoy an à la carte or an American breakfast. At the hotel you will find a restaurant serving French, Mediterranean and international cuisine. Vegetarian, dairy-free and halal options can also be requested.

Comtal Castle is 1.8 km from Le Meez. The nearest airport is Carcassonne Airport, 6 km from the accommodation."
Les Terrasses Du Midi - Garage+Clim+WiFi,9.7,193 reviews,43.21126780,2.34406420,https://www.booking.com/hotel/fr/les-terrasses-du-midi-garage-clim-wifi.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asipn6oGwAIB0gIkZGQyNjMzYWMtOTI1OS00MDE1LWFhNTYtMmUxMTI4ZDY3OTc52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=bayesian_review_score&srpvid=192b7ce593ce01e8&srepoch=1699206347&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Boasting quiet street views, Les Terrasses Du Midi - Garage+Clim+WiFi offers accommodation with a patio and a coffee machine, around 49 km from Termes Chateau. This property offers access to a balcony, free private parking and free WiFi.

The apartment is fitted with 2 bedrooms, 2 bathrooms, bed linen, towels, a flat-screen TV with streaming services, a dining area, a fully equipped kitchen, and a terrace with inner courtyard views.

The apartment offers a picnic area. A water park is available on site and both fishing and hiking can be enjoyed within close proximity of Les Terrasses Du Midi - Garage+Clim+WiFi.

Carcassonne Cathedral is 700 metres from the accommodation, while Memorial House (Maison des Memoires) is 800 metres from the property. The nearest airport is Carcassonne Airport, 2 km from Les Terrasses Du Midi - Garage+Clim+WiFi."
