hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
LE SEPT charmant studio aux portes des calanques,9.8,53 reviews,43.21759970,5.53235000,https://www.booking.com/hotel/fr/le-sept-charmant-studio-aux-portes-des-calanques.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4As2tn6oGwAIB0gIkMTYwOTY4OTItMzM4MC00ZjljLTg0NjktYzM2NWUwN2JiYjVh2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=0f3d7de70b3c0036&srepoch=1699206863&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in Cassis, 700 metres from Bestouan and 1.1 km from Grande Mer, LE SEPT charmant studio aux portes des calanques offers a garden and air conditioning. This property offers a private pool, free WiFi and free private parking.

The apartment is fitted with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV, a dining area, a fully equipped kitchen, and a terrace with sea views.

If you would like to discover the area, fishing and hiking are possible in the surroundings.

Anse de Corton Beach is 1.6 km from the apartment, while Orange Velodrome Stadium is 20 km from the property. The nearest airport is Marseille Provence Airport, 46 km from LE SEPT charmant studio aux portes des calanques."
Le petit cassis vue mer appartement 70m2 dans villa,9.4,40 reviews,43.23303313,5.54128021,https://www.booking.com/hotel/fr/le-petit-cassis-cassis.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4As2tn6oGwAIB0gIkMTYwOTY4OTItMzM4MC00ZjljLTg0NjktYzM2NWUwN2JiYjVh2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=0f3d7de70b3c0036&srepoch=1699206863&from=searchresults#hotelTmpl,"Located in Cassis, Le petit cassis vue mer appartement 70m2 dans villa offers self-catering accommodation with an outdoor pool. This air-conditioned property features a garden and a furnished terrace with sea views. Guests have access to free WiFi and free on-site parking.

This apartment is located in the right-wing of the building. It includes a seating area with a TV. There is a fully equipped kitchen with a dishwasher and a microwave. The private bathroom comes with a shower. Sea and mountain views can be enjoyed from the property.

The centre of Cassis and its port are just a 6-minute drive from the property and a number of restaurants, cafes and shops can be found here.

Marseille Provence Airport is located 55 km away."
"AQUARIUS IN CASSIS, Chambres d'Hôtes",9.4,230 reviews,43.22235470,5.53453860,https://www.booking.com/hotel/fr/aquarius-in-cassis-chambres-d-hotes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4As2tn6oGwAIB0gIkMTYwOTY4OTItMzM4MC00ZjljLTg0NjktYzM2NWUwN2JiYjVh2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=0f3d7de70b3c0036&srepoch=1699206863&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in Cassis, within 1.2 km of Bestouan and 1.5 km of Grande Mer, AQUARIUS IN CASSIS, Chambres d'Hôtes offers accommodation with pool with a view and free WiFithroughout the property as well as free private parking for guests who drive. Featuring a shared kitchen, this property also provides guests with a sun terrace. The property features an open-air bath, walking tours and private check-in and check-out.

The guest house provides certain units with mountain views, and all rooms come with a private bathroom.

A continental breakfast is available every morning at AQUARIUS IN CASSIS, Chambres d'Hôtes.

Guests at the accommodation will be able to enjoy activities in and around Cassis, like snorkelling, cycling and fishing.

Anse de Corton Beach is 1.8 km from AQUARIUS IN CASSIS, Chambres d'Hôtes, while Orange Velodrome Stadium is 19 km away. The nearest airport is Marseille Provence Airport, 45 km from the guest house."
Villa le sud appartements,9.5,161 reviews,43.23304900,5.55305000,https://www.booking.com/hotel/fr/villa-le-sud-cassis1.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4As2tn6oGwAIB0gIkMTYwOTY4OTItMzM4MC00ZjljLTg0NjktYzM2NWUwN2JiYjVh2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=0f3d7de70b3c0036&srepoch=1699206863&from=searchresults#hotelTmpl,"Offering a shared swimming pool, a garden and a terrace, villa le sud is located in Cassis, 4.4 km from Cap Canaille.

The apartment comes with a flat-screen TV. The air-conditioned apartment consists of a living room, a fully equipped kitchenette with a microwave and a kettle, and 1 bathroom with a bath or shower and a hair dryer.

The apartment offers a hot tub.

The nearest airport is Marseille Provence Airport, 35 km from villa le sud.

The property is located 2.4 km from the city center Cassis.

Public parking spot are available for free and are located 200 meters away from the apartment."
Guest House Olivades,9.3,140 reviews,43.23304900,5.55304600,https://www.booking.com/hotel/fr/guest-house-olivades.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4As2tn6oGwAIB0gIkMTYwOTY4OTItMzM4MC00ZjljLTg0NjktYzM2NWUwN2JiYjVh2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&srpvid=0f3d7de70b3c0036&srepoch=1699206863&from=searchresults#hotelTmpl,"Located in Cassis, 20 km from Orange Velodrome Stadium and 20 km from Rond-Point du Prado Metro Station, Guest House Olivades offers an outdoor swimming pool and air conditioning. This property offers access to a terrace, free private parking and free WiFi.

The homestay has a flat-screen TV. The kitchen is equipped with an oven, a microwave and a toaster, as well as coffee machine and kettle.

Spa and wellness facilities including a hot tub and a spa facilities are at guests' disposal during their stay at the homestay. Guests at Guest House Olivades can enjoy snorkelling nearby, or make the most of the garden.

Marseille Chanot Exhibition and Convention Centre is 20 km from the accommodation, while La Timone Metro Station is 21 km away. The nearest airport is Marseille Provence Airport, 45 km from Guest House Olivades."
SunSet Cassis,9.6,40 reviews,43.21545600,5.53573400,https://www.booking.com/hotel/fr/sunset-cassis.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4As2tn6oGwAIB0gIkMTYwOTY4OTItMzM4MC00ZjljLTg0NjktYzM2NWUwN2JiYjVh2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&srpvid=0f3d7de70b3c0036&srepoch=1699206863&from=searchresults#hotelTmpl,"Featuring mountain views, SunSet Cassis provides accommodation with a balcony and a coffee machine, around 600 metres from Bestouan. This beachfront property offers access to a patio.

The apartment comes with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with streaming services, a dining area, a fully equipped kitchen, and a terrace with sea views. Providing private parking, this 3-star apartment also features free WiFithroughout the property.

Guests can relax in the garden at the property.

Grande Mer is 600 metres from the apartment, while Anse de Corton Beach is 1.2 km away. The nearest airport is Marseille Provence Airport, 45 km from SunSet Cassis."
THE ADDRESS CASSIS,9.8,211 reviews,43.22040800,5.54109000,https://www.booking.com/hotel/fr/the-address-cassis.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4As2tn6oGwAIB0gIkMTYwOTY4OTItMzM4MC00ZjljLTg0NjktYzM2NWUwN2JiYjVh2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=0f3d7de70b3c0036&srepoch=1699206863&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in Cassis, within 1.1 km of Grande Mer and 1.4 km of Bestouan, THE ADDRESS CASSIS provides accommodation with pool with a view and free WiFithroughout the property as well as free private parking for guests who drive. Each accommodation at the 5-star guest house has sea views, and guests can enjoy access to a casino and to a garden. The property is soundproof and is set 1.5 km from Anse de Corton Beach.

The guest house will provide guests with air-conditioned rooms with a desk, a coffee machine, a minibar, a safety deposit box, a flat-screen TV, a terrace and a private bathroom with a shower. At THE ADDRESS CASSIS each room is fitted with bed linen and towels.

The daily breakfast offers American, vegetarian or gluten-free options.

Guests at the accommodation will be able to enjoy activities in and around Cassis, like cycling and hiking.

Orange Velodrome Stadium is 19 km from THE ADDRESS CASSIS, while Rond-Point du Prado Metro Station is 19 km away. The nearest airport is Marseille Provence Airport, 45 km from the guest house."
HPC Suites,9.2,966 reviews,43.21644024,5.54174572,https://www.booking.com/hotel/fr/hpc-suites.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4As2tn6oGwAIB0gIkMTYwOTY4OTItMzM4MC00ZjljLTg0NjktYzM2NWUwN2JiYjVh2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&srpvid=0f3d7de70b3c0036&srepoch=1699206863&from=searchresults#hotelTmpl,"Offering a shared outdoor pool with a terrace and views of the sea, HPC Suites is situated in a 4000 metres² park in the centre of Cassis. Marseille is 16 km away and the nearest beach is a 10-minute walk away. Free private parking is available on site.

The property was entirely renovated in 2019. Featuring a terrace, all units include a dining area and a seating area with a flat-screen TV. There is also a kitchen, fitted with an oven and microwave. A toaster, a fridge and stovetop are also available, as well as a coffee machine. HPC Suites features free WiFi throughout the property. Towels and bed linen are offered.

Free private secure parking is available.

The port is an 8-minute walk away and many restaurants and a traditional Provençal market can be found in the neighbourhood.

You can play table tennis at the property, and the area is popular for diving and cycling. Aix-en-Provence is 35 km from HPC Suites. The nearest airport is Marseille Provence Airport, 36 km from the property."
"Large private garden, 2 bedroom apartment, countryside, quiet, parking, air conditioning, wifi",9.4,57 reviews,43.21457190,5.54931410,https://www.booking.com/hotel/fr/le-coteau-de-cassis.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4As2tn6oGwAIB0gIkMTYwOTY4OTItMzM4MC00ZjljLTg0NjktYzM2NWUwN2JiYjVh2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=bayesian_review_score&srpvid=0f3d7de70b3c0036&srepoch=1699206863&from=searchresults#hotelTmpl,"Offering barbecue facilities and garden view, Large private garden, 2 bedroom apartment, countryside, quiet, parking, air conditioning, wifi is situated in Cassis, 1.5 km from Anse de Corton Beach and 1.7 km from Arene. The air-conditioned accommodation is 1.2 km from Grande Mer, and guests benefit from complimentary WiFi and private parking available on site.

The apartment features 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a terrace with mountain views.

A outdoor play equipment is also available at the apartment, while guests can also relax in the garden.

Orange Velodrome Stadium is 20 km from Large private garden, 2 bedroom apartment, countryside, quiet, parking, air conditioning, wifi, while Rond-Point du Prado Metro Station is 20 km from the property. The nearest airport is Marseille Provence Airport, 45 km from the accommodation."
Hôtel Les Roches Blanches Cassis,8.8,305 reviews,43.21133700,5.52950200,https://www.booking.com/hotel/fr/des-roches-blanches.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4As2tn6oGwAIB0gIkMTYwOTY4OTItMzM4MC00ZjljLTg0NjktYzM2NWUwN2JiYjVh2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=bayesian_review_score&srpvid=0f3d7de70b3c0036&srepoch=1699206863&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Providing free WiFi, Hôtel Les Roches Blanches Cassis is situated 1 km from the centre of Cassis. This 5-star hotel offers a seasonal outdoor swimming pool and a restaurant. Cap Canaille is 6 km away.

The rooms and suites feature a coffee machine and kettle, while some also have a terrace. The private bathroom has a hairdryer.

A continental breakfast is available every morning at Hôtel Les Roches Blanches Cassis.

With staff speaking English and French, advice is available at the reception. Marseille Provence Airport is 48 km away."
