hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
Appartement centre Collioure 63 m² avec terrasse à 3 minutes des plages,9.5,12 reviews,42.52686381,3.08306453,https://www.booking.com/hotel/fr/appartement-centre-collioure-63-m2-avec-terrasse-a-3-minutes-des-plages.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aoysn6oGwAIB0gIkOWIwYTFiNGUtZDg2My00NjUxLTlkMTAtMDNkZmRkZTM4NmQz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=bayesian_review_score&srpvid=1cac7d8748580201&srepoch=1699206671&from=searchresults#hotelTmpl,"Boasting inner courtyard views, Appartement centre Collioure 63 m² avec terrasse à 3 minutes des plages features accommodation with a terrace and a coffee machine, around 200 metres from Boramar Beach. This apartment offers air-conditioned accommodation with a balcony.

This apartment has 2 bedrooms, a kitchen with a dishwasher and an oven, a flat-screen TV, a seating area and 1 bathroom fitted with a shower. For added convenience, the property can provide towels and linens for a supplement.

Popular points of interest near the apartment include Nord Beach, Port Avall Beach and Boutigue Beach. The nearest airport is Perpignan - Rivesaltes Airport, 41 km from Appartement centre Collioure 63 m² avec terrasse à 3 minutes des plages."
Le Machado,8.8,22 reviews,42.52613521,3.08221858,https://www.booking.com/hotel/fr/le-machado.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aoysn6oGwAIB0gIkOWIwYTFiNGUtZDg2My00NjUxLTlkMTAtMDNkZmRkZTM4NmQz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=bayesian_review_score&srpvid=1cac7d8748580201&srepoch=1699206671&from=searchresults#hotelTmpl,"Set in Collioure, 300 metres from Boramar Beach and 500 metres from Nord Beach, Le Machado offers free WiFi and air conditioning. This apartment is 33 km from Stade Gilbert Brutus and 3.2 km from Casino Collioure.

The apartment with a balcony and garden views features 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a shower. Towels and bed linen are featured in the apartment.

Port Avall Beach is 500 metres from the apartment, while Collioure Royal Castle is 200 metres away. The nearest airport is Perpignan - Rivesaltes Airport, 42 km from Le Machado."
La perle de Collioure à 100 métres de la plage de sable fin avec piscine et parking,,,42.52314500,3.08678560,https://www.booking.com/hotel/fr/tres-bel-apt-de-standing-resid-port-d-avall-a-150m-de-la-plage-piscine-parking-t.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aoysn6oGwAIB0gIkOWIwYTFiNGUtZDg2My00NjUxLTlkMTAtMDNkZmRkZTM4NmQz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=bayesian_review_score&srpvid=1cac7d8748580201&srepoch=1699206671&from=searchresults#hotelTmpl,"Featuring air-conditioned accommodation with a private pool, pool view and a balcony, La perle de Collioure à 100 métres de la plage de sable fin avec piscine et parking is located in Collioure. Housed in a building dating from 1980, the apartment is in an area where guests can engage in activities such as fishing, hiking and table tennis.

The apartment with a terrace and mountain views features 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a walk-in shower. Providing free private parking, this 5-star apartment also features free WiFithroughout the property.

The apartment offers a children's playground. A casino and a kids pool are available for guests at La perle de Collioure à 100 métres de la plage de sable fin avec piscine et parking.

Popular points of interest near the accommodation include Boutigue Beach, Port Avall Beach and Balette Beach. The nearest airport is Perpignan - Rivesaltes Airport, 42 km from La perle de Collioure à 100 métres de la plage de sable fin avec piscine et parking."
Appartement les pieds dans l'eau !,8.8,55 reviews,42.52350782,3.08602703,https://www.booking.com/hotel/fr/apartment-les-pieds-dans-l-39-eau.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aoysn6oGwAIB0gIkOWIwYTFiNGUtZDg2My00NjUxLTlkMTAtMDNkZmRkZTM4NmQz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=bayesian_review_score&srpvid=1cac7d8748580201&srepoch=1699206671&from=searchresults#hotelTmpl,"Set in Collioure, this air-conditioned apartment is 400 metres from Collioure Royal Castle. Free WiFi is offered throughout the property.

The apartment is 50 meters from the beach.

The kitchen has a dishwasher. A flat-screen TV is featured.

You can play tennis at the property, and the area is popular for snorkelling. The area is popular for windsurfing and diving.

Cadaqués is 62 km from the property, while Roses is 80 km away. Perpignan - Rivesaltes Airport is 38 km away."
Collioure,8.4,52 reviews,42.52756930,3.08488170,https://www.booking.com/hotel/fr/collioure-1-et-etage.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aoysn6oGwAIB0gIkOWIwYTFiNGUtZDg2My00NjUxLTlkMTAtMDNkZmRkZTM4NmQz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=bayesian_review_score&srpvid=1cac7d8748580201&srepoch=1699206671&from=searchresults#hotelTmpl,"Collioure features accommodation situated in Collioure, 700 metres from Boutigue Beach and less than 1 km from Balette Beach.

Some units are air conditioned and include a seating and/or dining area and a flat-screen TV.

Popular points of interest near the apartment include Boramar Beach, Nord Beach and Saint Vincent Beach. The nearest airport is Perpignan - Rivesaltes Airport, 41 km from Collioure."
Appartement Charmant à Collioure,8.9,68 reviews,42.52260940,3.08667330,https://www.booking.com/hotel/fr/residence-val-st-elme-collioure1.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aoysn6oGwAIB0gIkOWIwYTFiNGUtZDg2My00NjUxLTlkMTAtMDNkZmRkZTM4NmQz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=bayesian_review_score&srpvid=1cac7d8748580201&srepoch=1699206671&from=searchresults#hotelTmpl,"Situated in Collioure, 100 metres from Boutigue Beach and 300 metres from Port Avall Beach, Appartement Charmant à Collioure offers a garden and air conditioning. This beachfront property offers access to a balcony, free private parking and free WiFi.

The apartment with a terrace and quiet street views has 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a bath. For added convenience, the property can provide towels and linens for a supplement.

Balette Beach is 500 metres from the apartment, while Collioure Royal Castle is 700 metres from the property. The nearest airport is Perpignan - Rivesaltes Airport, 42 km from Appartement Charmant à Collioure."
Appartement à 300m du centre et des plages,8.7,54 reviews,42.52637814,3.07982305,https://www.booking.com/hotel/fr/appartement-a-2min-a-pied-du-centre-et-des-plages.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aoysn6oGwAIB0gIkOWIwYTFiNGUtZDg2My00NjUxLTlkMTAtMDNkZmRkZTM4NmQz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=bayesian_review_score&srpvid=1cac7d8748580201&srepoch=1699206671&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Appartement à 300m du centre et des plages is set in Collioure, 600 metres from Port Avall Beach and 700 metres from Nord Beach, in an area where hiking can be enjoyed. The property has city and quiet street views, and is 500 metres from Boramar Beach.

The apartment with a balcony and mountain views features 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a bidet. For added convenience, the property can provide towels and linens for a supplement.

A casino is also available for guests at the apartment.

Collioure Royal Castle is 400 metres from Appartement à 300m du centre et des plages, while Stade Gilbert Brutus is 33 km away. The nearest airport is Perpignan - Rivesaltes Airport, 41 km from the accommodation."
Ambeille Collioure,8.6,21 reviews,42.52508922,3.07877059,https://www.booking.com/hotel/fr/ambeille-collioure-collioure.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aoysn6oGwAIB0gIkOWIwYTFiNGUtZDg2My00NjUxLTlkMTAtMDNkZmRkZTM4NmQz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=bayesian_review_score&srpvid=1cac7d8748580201&srepoch=1699206671&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Boasting air-conditioned accommodation with a pool with a view, Ambeille Collioure is situated in Collioure. This property offers access to a balcony, ping-pong, free private parking and free WiFi.

The apartment features 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV, a dining area, a fully equipped kitchen, and a terrace with sea views.

The apartment offers a picnic area. If you would like to discover the area, snorkelling, cycling and hiking are possible in the surroundings.

Boramar Beach is 2.1 km from Ambeille Collioure, while Port Avall Beach is 2.4 km from the property. The nearest airport is Perpignan - Rivesaltes Airport, 33 km from the accommodation."
Cosy - appartement 4 personnes - Calme - WIFI - Terrasse,8.0,26 reviews,42.52891106,3.07730974,https://www.booking.com/hotel/fr/charmant-appartement-residence-calme-wifi.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aoysn6oGwAIB0gIkOWIwYTFiNGUtZDg2My00NjUxLTlkMTAtMDNkZmRkZTM4NmQz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=bayesian_review_score&srpvid=1cac7d8748580201&srepoch=1699206671&from=searchresults#hotelTmpl,"Situated in Collioure and only less than 1 km from Boramar Beach, Cosy - appartement 4 personnes - Calme - WIFI - Terrasse features accommodation with garden views, free WiFi and free private parking. The apartment is in an area where guests can engage in activities such as snorkelling, diving and cycling.

The apartment with a terrace and mountain views has 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a shower.

Guests at the apartment can enjoy fishing and hiking nearby, or make the most of the garden.

Popular points of interest near Cosy - appartement 4 personnes - Calme - WIFI - Terrasse include Ouille Beach, Nord Beach and Boutigue Beach. The nearest airport is Perpignan - Rivesaltes Airport, 41 km from the accommodation."
APP' ART CENTRE PLAGE + PARKING GRATUIT,8.8,69 reviews,42.52334528,3.08696844,https://www.booking.com/hotel/fr/app-art-centre-plage-parking-gratuit.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aoysn6oGwAIB0gIkOWIwYTFiNGUtZDg2My00NjUxLTlkMTAtMDNkZmRkZTM4NmQz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=bayesian_review_score&srpvid=1cac7d8748580201&srepoch=1699206671&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in Collioure in the Languedoc-Roussillon region, with Port Avall Beach and Boutigue Beach nearby, APP' ART CENTRE PLAGE + PARKING GRATUIT offers accommodation with free WiFi and free private parking.

Each unit is fitted with a fully equipped kitchen with a dishwasher, a seating area, a flat-screen TV, a washing machine, and a private bathroom with shower and a hair dryer. An oven, a microwave and toaster are also offered, as well as a coffee machine and a kettle.

Balette Beach is 400 metres from the apartment, while Collioure Royal Castle is 600 metres from the property. The nearest airport is Perpignan - Rivesaltes Airport, 42 km from APP' ART CENTRE PLAGE + PARKING GRATUIT."
