hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
La Grange de Madeleine,9.6,66 reviews,48.04178290,7.30654670,https://www.booking.com/hotel/fr/la-grange-de-madeleine.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqWon6oGwAIB0gIkNmRhZTJiY2MtMDE2Ny00ODVlLTlmMmYtODM4ZTQ3OTUwOWJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=75cf7c93f35b00b1&srepoch=1699206184&from=searchresults#hotelTmpl,"Offering city views, La Grange de Madeleine is an accommodation located in Eguisheim, 6.9 km from House of the Heads and 7.4 km from Saint-Martin Collegiate Church. The air-conditioned accommodation is 6.1 km from Colmar Train Station, and guests benefit from private parking available on site and free WiFi.

The apartment features 2 bedrooms, a TV, an equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a shower. Towels and bed linen are featured in the apartment.

Skiing is possible within the area and the apartment offers a ski pass sales point.

Colmar Expo is 10 km from La Grange de Madeleine, while Le Haut Koenigsbourg Castle is 35 km away. The nearest airport is EuroAirport Basel–Mulhouse–Freiburg Airport, 54 km from the accommodation."
Appartement Le Ch'ti Alsacien,8.7,23 reviews,48.04257640,7.30523880,https://www.booking.com/hotel/fr/appartement-le-ch-ti-alsacien.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqWon6oGwAIB0gIkNmRhZTJiY2MtMDE2Ny00ODVlLTlmMmYtODM4ZTQ3OTUwOWJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&srpvid=75cf7c93f35b00b1&srepoch=1699206184&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Situated 5.7 km from Colmar Train Station, 6.5 km from House of the Heads and 7 km from Saint-Martin Collegiate Church, Appartement Le Ch'ti Alsacien features accommodation located in Eguisheim. It has city views and free WiFithroughout the property.

The air-conditioned apartment consists of 2 bedrooms, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a walk-in shower and a hair dryer. Towels and bed linen are available in the apartment.

Colmar Expo is 10 km from the apartment, while Le Haut Koenigsbourg Castle is 35 km from the property. The nearest airport is EuroAirport Basel–Mulhouse–Freiburg Airport, 54 km from Appartement Le Ch'ti Alsacien."
"Duplex Saint Lustre, view over castle and storks, 5 mn from Colmar",8.8,17 reviews,48.04267190,7.30556570,https://www.booking.com/hotel/fr/4-bedrooms-luxury-appartment-for-10p-in-eguisheim-10-mn-from-colmar.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqWon6oGwAIB0gIkNmRhZTJiY2MtMDE2Ny00ODVlLTlmMmYtODM4ZTQ3OTUwOWJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=75cf7c93f35b00b1&srepoch=1699206184&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Featuring city views, 4 bedrooms luxury apartment for 10p in Eguisheim, 10 mn from Colmar is located right in the middle of the Eguisheim Christmas Market, and provides accommodation with a balcony and a kettle.

The apartment is equipped with 4 bedrooms, a flat-screen TV with cable channels and a fully equipped kitchen that provides guests with a dishwasher, a microwave, a washing machine, a fridge and an oven.

The nearest airport is Basel Airport, 58 km from the apartment."
Fleur de Vigne,9.7,67 reviews,48.04611340,7.30516320,https://www.booking.com/hotel/fr/fleur-de-vignes-eguisheim.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqWon6oGwAIB0gIkNmRhZTJiY2MtMDE2Ny00ODVlLTlmMmYtODM4ZTQ3OTUwOWJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=75cf7c93f35b00b1&srepoch=1699206184&from=searchresults#hotelTmpl,"Located in Eguisheim, 5.9 km from Colmar Train Station and 6.7 km from House of the Heads, Fleur de Vigne offers air conditioning. It features a garden, mountain views and free WiFithroughout the property.

The 1-bedroom apartment comes with a living room with a flat-screen TV with satellite channels, a fully equipped kitchen with dishwasher and oven, and 1 bathroom with a hair dryer. Towels and bed linen are provided in the apartment.

Saint-Martin Collegiate Church is 7.2 km from the apartment, while Colmar Expo is 10 km away. The nearest airport is EuroAirport Basel–Mulhouse–Freiburg Airport, 54 km from Fleur de Vigne."
Les chambres du domaine,9.3,330 reviews,48.04296300,7.30721600,https://www.booking.com/hotel/fr/les-chambres-du-domaine.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqWon6oGwAIB0gIkNmRhZTJiY2MtMDE2Ny00ODVlLTlmMmYtODM4ZTQ3OTUwOWJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&srpvid=75cf7c93f35b00b1&srepoch=1699206184&from=searchresults#hotelTmpl,"Situated in Eguisheim in the Alsace region, Les chambres du domaine features accommodation with free WiFi and free private parking.

Every unit has a private bathroom and walk-in shower, air conditioning, a flat-screen TV and a toaster.

A buffet breakfast is available each morning at the bed and breakfast.

Les chambres du domaine offers a terrace.

If you would like to discover the area, cycling, hiking and walking tours are possible in the surroundings.

Colmar Train Station is 5.5 km from the accommodation, while House of the Heads is 6.3 km from the property. The nearest airport is EuroAirport Basel–Mulhouse–Freiburg Airport, 54 km from Les chambres du domaine."
Gite Le Petit Malsbach Eguisheim,9.2,107 reviews,48.04224054,7.31270510,https://www.booking.com/hotel/fr/gite-le-petit-malsbach-eguisheim.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqWon6oGwAIB0gIkNmRhZTJiY2MtMDE2Ny00ODVlLTlmMmYtODM4ZTQ3OTUwOWJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=75cf7c93f35b00b1&srepoch=1699206184&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Offering inner courtyard views, Gite Le Petit Malsbach Eguisheim is an accommodation located in Eguisheim, 6.1 km from House of the Heads and 6.6 km from Saint-Martin Collegiate Church. The air-conditioned accommodation is 5.3 km from Colmar Train Station, and guests benefit from private parking available on site and free WiFi.

The apartment with a terrace and mountain views features 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a walk-in shower. Towels and bed linen are featured in the apartment.

Colmar Expo is 10 km from the apartment, while Le Haut Koenigsbourg Castle is 33 km away. The nearest airport is EuroAirport Basel–Mulhouse–Freiburg Airport, 54 km from Gite Le Petit Malsbach Eguisheim."
Elsass Design Hygge,9.3,79 reviews,48.04203000,7.30459800,https://www.booking.com/hotel/fr/elsass-design-hygge.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqWon6oGwAIB0gIkNmRhZTJiY2MtMDE2Ny00ODVlLTlmMmYtODM4ZTQ3OTUwOWJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&srpvid=75cf7c93f35b00b1&srepoch=1699206184&from=searchresults#hotelTmpl,"Offering city views, Elsass Design Hygge is an accommodation set in Eguisheim, 6 km from Colmar Train Station and 6.9 km from House of the Heads. The holiday home is in an area where guests can engage in activities such as skiing, cycling and walking tours.

The 3-bedroom holiday home is fitted with a living room with a flat-screen TV with satellite channels, a fully equipped kitchen with a dishwasher and oven, and 1 bathroom with walk-in shower. Offering free private parking, this 3-star holiday home also features free WiFithroughout the property.

Saint-Martin Collegiate Church is 7.3 km from the holiday home, while Colmar Expo is 10 km away. The nearest airport is EuroAirport Basel–Mulhouse–Freiburg Airport, 54 km from Elsass Design Hygge."
GITE LE COQ ROUGE,9.7,39 reviews,48.04170911,7.30569280,https://www.booking.com/hotel/fr/gite-le-coq-rouge.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqWon6oGwAIB0gIkNmRhZTJiY2MtMDE2Ny00ODVlLTlmMmYtODM4ZTQ3OTUwOWJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=75cf7c93f35b00b1&srepoch=1699206184&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in Eguisheim, 6 km from Colmar Train Station and 6.9 km from House of the Heads, GITE LE COQ ROUGE provides air-conditioned accommodation with a patio and free WiFi. The 4-star holiday home features city views and is 7.3 km from Saint-Martin Collegiate Church.

The holiday home is equipped with 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a terrace with garden views.

There is a garden with a barbecue at this property and guests can go cycling nearby.

Colmar Expo is 10 km from the holiday home, while Le Haut Koenigsbourg Castle is 35 km away. The nearest airport is EuroAirport Basel–Mulhouse–Freiburg Airport, 54 km from GITE LE COQ ROUGE."
Au pied des remparts à Eguisheim,9.0,88 reviews,48.04300600,7.30431620,https://www.booking.com/hotel/fr/elsass-design-vintage.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqWon6oGwAIB0gIkNmRhZTJiY2MtMDE2Ny00ODVlLTlmMmYtODM4ZTQ3OTUwOWJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=bayesian_review_score&srpvid=75cf7c93f35b00b1&srepoch=1699206184&from=searchresults#hotelTmpl,"Offering quiet street views, Au pied des remparts à Eguisheim is an accommodation situated in Eguisheim, 5.8 km from Colmar Train Station and 6.6 km from House of the Heads. It has city views and free WiFithroughout the property.

Boasting a game console, the apartment has a kitchen with an oven, a microwave and a toaster, a living room, a dining area, 2 bedrooms, and 1 bathroom with a walk-in shower. Towels and bed linen are available in the apartment.

If you would like to discover the area, skiing, cycling and hiking are possible in the surroundings.

Saint-Martin Collegiate Church is 7.1 km from the apartment, while Colmar Expo is 10 km from the property. The nearest airport is EuroAirport Basel–Mulhouse–Freiburg Airport, 54 km from Au pied des remparts à Eguisheim."
La Légende des 2 Pierres,9.2,103 reviews,48.04299853,7.30448939,https://www.booking.com/hotel/fr/la-legende-des-2-pierres.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AqWon6oGwAIB0gIkNmRhZTJiY2MtMDE2Ny00ODVlLTlmMmYtODM4ZTQ3OTUwOWJl2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=bayesian_review_score&srpvid=75cf7c93f35b00b1&srepoch=1699206184&from=searchresults#hotelTmpl,"Located in the quaint village of Eguisheim, La Légende des 2 Pierres offers a self-catering apartment with mountain views. Ski storage is provided in the apartment.

The air-conditioned apartment features a living area with a flat-screen TV, a washing machine and a bathroom with a shower. The kitchenette includes an oven, microwave and refrigerator.

Grocery shops and restaurants can be found within walking distance and free WiFi access is provided in the apartment. Activities in the surrounding area include cycling and hiking. Colmar is only a 15-minute drive away."
