hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
Terres de France - Résidence Côté Provence,7.4,937 reviews,43.75720200,5.89661000,https://www.booking.com/hotel/fr/residence-cote-provence.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At2on6oGwAIB0gIkMWIwZTYwYzMtMzA2Ni00NTgyLTkxMmEtMWI0YjZjN2RhM2Uz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=48667caf585000f0&srepoch=1699206240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Featuring a seasonal outdoor pool, Terres de France - Résidence Côté Provence in Gréoux-les-Bains offers accommodation with free WiFi and free private parking for guests who drive.

All units include a seating area, a flat-screen TV, an equipped kitchen, a dining area, and a private bathroom, while some feature a terrace or a balcony. A dishwasher, a microwave and toaster are also featured, as well as a coffee machine and a kettle.

A outdoor play equipment is also available at the holiday park, while guests can also relax in the garden.

ITER / Cadarache is 19 km from Terres de France - Résidence Côté Provence, while Golf du Luberon is 23 km away. The nearest airport is Marseille Provence Airport, 90 km from the accommodation."
Lou Paradou,8.7,"1,069 reviews",43.76062200,5.88897400,https://www.booking.com/hotel/fr/hotellouparadou.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At2on6oGwAIB0gIkMWIwZTYwYzMtMzA2Ni00NTgyLTkxMmEtMWI0YjZjN2RhM2Uz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=48667caf585000f0&srepoch=1699206240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"The Lou Paradou hotel is located in Greoux-les-Bains, by the Verdon River, next to the lavender fields in the heart of the Provence. It is set within a large park and offers a heated, seasonal and heated outdoor pool.

The Lou Paradou offers air-conditioned studios equipped with a kitchenette, free Wi-Fi access in the rooms and a private balcony or terrace. Some studios have a view of the park and air conditioning.

A breakfast serving jams and fruit syrups both homemade is offered. The hotel is just 400 metres from Greoux village pedestrian centre and there is free on-site parking.

Guests can visit the Verdon Gorge, the largest canyon in Europe, the Luberon villages and Haute-Provence hilltop villages. Local leisure activities around Gréoux include hiking, mountain-bike, white-water sports, gliding and rock climbing.

Marseille Provence Airport is situated 80 km from the Hotel and Aix-en-Provence TGV Train Station is 70 km away."
Le gite du grand cèdre - proche des gorges du Verdon,9.2,66 reviews,43.77929309,6.00733668,https://www.booking.com/hotel/fr/le-gite-du-grand-cedre.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At2on6oGwAIB0gIkMWIwZTYwYzMtMzA2Ni00NTgyLTkxMmEtMWI0YjZjN2RhM2Uz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=48667caf585000f0&srepoch=1699206240&from=searchresults#hotelTmpl,"Le gite du grand cèdre - proche des gorges du Verdon, a property with barbecue facilities, is situated in Allemagne-en-Provence, 29 km from ITER / Cadarache, 34 km from Golf du Luberon, as well as 44 km from Digne Golf Course. This property offers access to a patio, free private parking and free WiFi.

The holiday home with a terrace and garden views has 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 2 bathrooms with a shower.

Guests at the holiday home can enjoy hiking nearby, or make the most of the garden.

The nearest airport is Marseille Provence Airport, 101 km from Le gite du grand cèdre - proche des gorges du Verdon."
"Villa Borghese, The Originals Relais",7.8,646 reviews,43.75813877,5.89472026,https://www.booking.com/hotel/fr/villa-borghese.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At2on6oGwAIB0gIkMWIwZTYwYzMtMzA2Ni00NTgyLTkxMmEtMWI0YjZjN2RhM2Uz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=48667caf585000f0&srepoch=1699206240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in Gréoux-les-Bains, between the Gorges du Verdon and the Luberon, the Villa Borghese is situated in a park surrounded by 100-year old oak trees. It features a heated outdoor swimming pool with a terrace and a wellness centre.

The intimate rooms feature garden views, air conditioning and a TV with satellite channels. The en suite bathroom is equipped with a bath tub and free toiletries. Free Wi-Fi access is provided.

The on-site gastronomic restaurant, La Table de Pauline, serves breakfast each morning as well as Provençal cuisine which has been recommended in travel and restaurant guide books. For a relaxed midday meal guests can eat at the Côté Jardin.

A tennis court and sauna are also available on site. Villa Borghese is 14 km from the A51 motorway and 16 km from Manosque. The Aix-en-Provence TGV station is 70 km away. Free private parking is available on site."
Résidence Les Écureuils,8.9,80 reviews,43.75309523,5.88853615,https://www.booking.com/hotel/fr/residence-les-ecureuils-greoux-les-bains.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At2on6oGwAIB0gIkMWIwZTYwYzMtMzA2Ni00NTgyLTkxMmEtMWI0YjZjN2RhM2Uz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=48667caf585000f0&srepoch=1699206240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Résidence Les Écureuils has garden views, free WiFi and free private parking, situated in Gréoux-les-Bains, 19 km from ITER / Cadarache.

A dishwasher, an oven and microwave are also available in the kitchen, as well as a coffee machine.

The apartment offers a seasonal outdoor pool.

Guests at Résidence Les Écureuils can enjoy cycling and fishing nearby, or make the most of the sun terrace.

Golf du Luberon is 23 km from the accommodation. The nearest airport is Marseille Provence Airport, 81 km from Résidence Les Écureuils."
La Bastide du Calalou; BW Signature Collection,8.6,702 reviews,43.65436638,6.16950452,https://www.booking.com/hotel/fr/bastide-du-calalou.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At2on6oGwAIB0gIkMWIwZTYwYzMtMzA2Ni00NTgyLTkxMmEtMWI0YjZjN2RhM2Uz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=48667caf585000f0&srepoch=1699206240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Bastide Du Calalou is located a 30-minute drive from the Gorges du Verdon and a 20-minute drive from the Sainte-Croix Lake. It features a heated, outdoor swimming pool, a tennis court and elegant guestrooms that overlook the Aups Valley.

Rooms at Bastide Du Calalou are equipped with free WiFi and a flat-screen TV with satellite channels. Some rooms also have a DVD and video player.

A full breakfast buffet is served daily and Bastide’s restaurant serves regional cuisine, prepared with local produce. Guests can enjoy lunch and dinner in the restaurant or on the terrace.

Bastide Du Calalou is close to the village of Tourtour and the black truffle market, which is the third largest in France and open from December to April."
La Clorinde,9.1,419 reviews,43.83828039,6.22067034,https://www.booking.com/hotel/fr/holiday-home-la-clorinde.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At2on6oGwAIB0gIkMWIwZTYwYzMtMzA2Ni00NTgyLTkxMmEtMWI0YjZjN2RhM2Uz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=48667caf585000f0&srepoch=1699206240&from=searchresults#hotelTmpl,"Located in the heart of an olive grove, 800m from the village of Moustiers, La Clorinde is ideally situated to discover the Gorges du Verdon (1.5Km) and to appreciate the beauty of the lake of Sainte Croix (3Km) and the lavender fields.

The large, bright, quiet, air-conditioned rooms have a view on the garden and the mountains.

Breakfast (3 formulas), dinner, prepared with local products, will be served on the terrace and will make you appreciate the charms of the Provencal gastronomy.

We propose you, free of charge, a parking and a very powerful Wifi access. A laundry service is also available.

We speak 3 languages: French, English, Spanish

All your requests are welcome. La Clorinde, a haven of peace, will do everything possible to make your stay in Provence an unforgettable experience."
Hôtel Spa L'Ermitage,8.0,"1,282 reviews",43.77414234,6.21725589,https://www.booking.com/hotel/fr/ha-tel-l-ermitage.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At2on6oGwAIB0gIkMWIwZTYwYzMtMzA2Ni00NTgyLTkxMmEtMWI0YjZjN2RhM2Uz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=48667caf585000f0&srepoch=1699206240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in a 2-hectare park in the Verdon Regional Nature Park, Hôtel Restaurant L'Ermitage features a seasonal outdoor swimming pool, 3 terraces, a bar, a restaurant and panoramic views of the mountain.

The rooms at Hôtel Restaurant L'Ermitage feature a balcony, en suite facilities with bath, free toiletries and a hairdryer, and a flat-screen TV. They also offer views of the pool. Some rooms have air conditioning.

Breakfast, lunch and dinner can be reserved upon arrival. The restaurant serves local and traditional cuisine, and the bar offers a wide range of cocktails all year long.

Hôtel Restaurant L'Ermitage is 5 km from the Verdon Gorge and the Lake of Sainte Croix is 800 metres away.  Nearby outdoor activities include hiking, swimming in the Lake, paragliding and canyoning. Free parking and free WiFi are available on site."
B&B Auberge Verdon,8.4,566 reviews,43.77685646,6.36106521,https://www.booking.com/hotel/fr/auberge-verdon.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At2on6oGwAIB0gIkMWIwZTYwYzMtMzA2Ni00NTgyLTkxMmEtMWI0YjZjN2RhM2Uz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=48667caf585000f0&srepoch=1699206240&from=searchresults#hotelTmpl,"Offering a sun terrace and views of the mountain, Auberge Verdon is a B&B situated in La Palud in the Provence-Alpes-Côte d'Azur Region, 90 km from Fréjus, at the beginning of the Route des Crètes. Free private parking is available on site.

Rooms have a private bathroom equipped with a shower.

There is a shared lounge at the property.

Guests can enjoy various activities in the surroundings, including cycling and hiking. Grasse is 89 km from AUBERGE VERDON, while Gréoux-les-Bains is 58 km away. The nearest airport is Côte d'Azur Airport, 110 km from the property."
Maison Castellane Chambre d'Hotes B&B,,,43.85192409,6.50941283,https://www.booking.com/hotel/fr/maison-castellane.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4At2on6oGwAIB0gIkMWIwZTYwYzMtMzA2Ni00NTgyLTkxMmEtMWI0YjZjN2RhM2Uz2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=48667caf585000f0&srepoch=1699206240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Maison Castellane Chambre d'Hotes B&B is set 700 metres from the centre of Castellane. Guests can enjoy the terrace and garden. Free private parking is available on site.

Some rooms have a seating area where you can relax. All rooms include views of the mountain or garden. Rooms are equipped with a private bathroom. Maison Castellane Chambre d'Hotes B&B features free WiFi.

The Gorges du Verdon are 32 km away from Maison Castellane Chambre d'Hotes B&B, while Entrevaux is 41 km away. The nearest airport is Nice Côte d'Azur Airport, 85 km from the property."
