hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
La Belle Amarre-Bed and Breakfast-Maison d'Hôtes,9.4,195 reviews,46.15866200,-1.15505600,https://www.booking.com/hotel/fr/la-belle-amarre.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoGqn6oGwAIB0gIkYTExMDcwODUtMTA3OS00Njk2LWIwNWItNDcyZDZlMDRjMTAw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=0dc87d01d5b90194&srepoch=1699206404&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Conveniently situated in La Rochelle, La Belle Amarre-Bed and Breakfast-Maison d'Hôtes provides a continental breakfast and free WiFi. Featuring family rooms, this property also provides guests with a sun terrace. The property is allergy-free and is located 700 metres from Concurrence.

Guest rooms are equipped with a flat-screen TV with streaming services, toaster, a coffee machine, a shower, bathrobes and a desk. The guest house offers certain rooms with city views, and each room comes with a kettle. All units include a private bathroom, a hair dryer and bed linen.

At La Belle Amarre-Bed and Breakfast-Maison d'Hôtes guests are welcome to take advantage of a solarium.

Popular points of interest near the accommodation include La Rochelle Train Station, L'Espace Encan and Parc Expo de La Rochelle. The nearest airport is La Rochelle - Ile de Re Airport, 4 km from La Belle Amarre-Bed and Breakfast-Maison d'Hôtes."
Apartment- La Rochelle historic city centre,9.6,89 reviews,46.15990290,-1.15339400,https://www.booking.com/hotel/fr/apartment-la-rochelle-historic-city-centre.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoGqn6oGwAIB0gIkYTExMDcwODUtMTA3OS00Njk2LWIwNWItNDcyZDZlMDRjMTAw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=0dc87d01d5b90194&srepoch=1699206404&from=searchresults#hotelTmpl,"Offering free WiFi and inner courtyard views, Apartment- La Rochelle historic city centre is an accommodation set right in the centre of La Rochelle, just less than 1 km from Concurrence and a 14-minute walk from La Rochelle Train Station. This apartment is 5.8 km from The Minimes Marina and 13 km from Mytiliculture Museum.

The 1-bedroom apartment has a living room with a flat-screen TV with streaming services, a fully equipped kitchen with dishwasher and oven, and 1 bathroom with a hair dryer. Towels and bed linen are offered in the apartment.

Cycling can be enjoyed nearby.

Popular points of interest near the apartment include L'Espace Encan, Parc Expo de La Rochelle and La Rochelle Grosse Horloge. The nearest airport is La Rochelle - Ile de Re Airport, 4 km from Apartment- La Rochelle historic city centre."
Bateau Haut Standing Privative - Nuit à Quai Port La Rochelle,9.0,49 reviews,46.14170404,-1.16638864,https://www.booking.com/hotel/fr/monte-carlo-32-cathy.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoGqn6oGwAIB0gIkYTExMDcwODUtMTA3OS00Njk2LWIwNWItNDcyZDZlMDRjMTAw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&srpvid=0dc87d01d5b90194&srepoch=1699206404&from=searchresults#hotelTmpl,"Bateau Haut Standing Privative - Nuit à Quai Port La Rochelle is a beachfront property located in La Rochelle, 400 metres from Minimes and 1.3 km from Plage Du Roux. It features a private beach area, a casino, sea views and free WiFithroughout the property.

The 2-bedroom boat comes with a living room with a flat-screen TV with cable channels, a fully equipped kitchenette with microwave and fridge, and 1 bathroom with free toiletries. Towels and bed linen are provided in the boat.

If you would like to discover the area, cycling, fishing and hiking are possible in the surroundings.

Popular points of interest near the boat include L'Espace Encan, The Minimes Marina and Lighthouse at the End of the World. The nearest airport is La Rochelle - Ile de Re, 10 km from Bateau Haut Standing Privative - Nuit à Quai Port La Rochelle, and the property offers a paid airport shuttle service."
L'Art Studio hyper centre,9.5,117 reviews,46.16433208,-1.15255474,https://www.booking.com/hotel/fr/l-art-studio.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoGqn6oGwAIB0gIkYTExMDcwODUtMTA3OS00Njk2LWIwNWItNDcyZDZlMDRjMTAw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=0dc87d01d5b90194&srepoch=1699206404&from=searchresults#hotelTmpl,"L'Art Studio hyper centre offers accommodation in La Rochelle, a 12-minute walk from La Rochelle Marina and  and 500 m from the Central Market. Guests staying at this apartment have access to free WiFi.

The 1-bedroom apartment comes with a kitchenette with a dishwasher and a bathroom with a bath or shower. An electric articulated bed and a flat-screen TV with cable channels is provided.

A welcome breakfast is included in the price.

La Rochelle Grosse Cloche is a 13-minute walk from the apartment. The nearest airport is La Rochelle - Ile de Re Airport, 4 km from the property."
Vue exceptionnelle sur les Tours ! Charme et tranquillité,9.3,65 reviews,46.15358642,-1.15334766,https://www.booking.com/hotel/fr/vue-exceptionnelle-sur-les-tours-charme-et-tranquillite-3-etoiles.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoGqn6oGwAIB0gIkYTExMDcwODUtMTA3OS00Njk2LWIwNWItNDcyZDZlMDRjMTAw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&srpvid=0dc87d01d5b90194&srepoch=1699206404&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in the city centre of La Rochelle, just 450 metres from L'Espace Encan and  La Rochelle Aquarium, and 2.5 km from Parc Expo de La Rochelle, Vue exceptionnelle sur les Tours! Charme et tranquillité, 3 étoiles *** features accommodation with sea views and free WiFi. The property has city views and is 2 km from The Minimes Marina and 700 metres from La Rochelle Grosse Horloge.

The apartment consists of 1 bathroom and a living room. The kitchen comes with a dishwasher and a microwave, as well as coffee machine.

The apartment offers a terrace. Cycling and hiking can be enjoyed nearby.

La Rochelle University is 1.6 km from Vue exceptionnelle sur les Tours! Charme et tranquillité, 3 étoiles ***. The nearest airport is La Rochelle - Ile de Re Airport, 11 km from the property."
L Appart des Cloutiers,9.0,45 reviews,46.16244080,-1.14838010,https://www.booking.com/hotel/fr/l-appart-des-cloutiers.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoGqn6oGwAIB0gIkYTExMDcwODUtMTA3OS00Njk2LWIwNWItNDcyZDZlMDRjMTAw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&srpvid=0dc87d01d5b90194&srepoch=1699206404&from=searchresults#hotelTmpl,"Set in the centre of La Rochelle, just 1.5 km from Concurrence and 1.4 km from La Rochelle Train Station, L Appart des Cloutiers offers accommodation with inner courtyard views and free WiFi. This apartment is 4.7 km from The Minimes Marina and 12 km from Mytiliculture Museum.

The apartment with a terrace and city views features 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a shower. Towels and bed linen are featured in the apartment.

Popular points of interest near the apartment include L'Espace Encan, Parc Expo de La Rochelle and La Rochelle Grosse Horloge. The nearest airport is La Rochelle - Ile de Re Airport, 5 km from L Appart des Cloutiers."
Chambres d'hôtes Le Clos Bleu,9.3,147 reviews,46.16218700,-1.16290100,https://www.booking.com/hotel/fr/le-clos-bleu-la-rochelle.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoGqn6oGwAIB0gIkYTExMDcwODUtMTA3OS00Njk2LWIwNWItNDcyZDZlMDRjMTAw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=0dc87d01d5b90194&srepoch=1699206404&from=searchresults#hotelTmpl,"Chambres d'hôtes Le Clos Bleu features accommodation situated in La Rochelle, 2.6 km from La Rochelle Train Station and 3.5 km from L'Espace Encan. Complimentary WiFi is availablethroughout the property.

There is a private bathroom with shower and a hair dryer in each unit, along with free toiletries.

Guests at the bed and breakfast can enjoy a continental breakfast.

Guests can also relax in the garden, beside the outdoor swimming pool, on the sun terrace, or in the shared lounge area.

Popular points of interest near Chambres d'hôtes Le Clos Bleu include Concurrence, La Rochelle Grosse Horloge and Charruyer Park. The nearest airport is La Rochelle - Ile de Re Airport, 3 km from the accommodation."
"Escale Rochelaise B&B, SPA bain nordique et sauna tonneau",9.8,117 reviews,46.16496000,-1.15156200,https://www.booking.com/hotel/fr/escale-rochelaise.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoGqn6oGwAIB0gIkYTExMDcwODUtMTA3OS00Njk2LWIwNWItNDcyZDZlMDRjMTAw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=0dc87d01d5b90194&srepoch=1699206404&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Escale Rochelaise provides an outdoor biological Nordic bath and barrel Finnish sauna experience.

Free WiFi is available at the bed and breakfast.

There is a private bathroom with shower and a hairdryer in each unit, along with free toiletries.

Guests at Escale Rochelaise can enjoy a continental breakfast.

A sun terrace is available for guests to use at the accommodation.

Popular points of interest near Escale Rochelaise include La Rochelle Grosse Horloge, La Rochelle Botanical Garden and Muséum d'Histoire Naturelle de La Rochelle. The nearest airport is La Rochelle - Ile de Re Airport, 7 km from the bed and breakfast."
La Rochelle sur L'eau,9.3,276 reviews,46.14560524,-1.16130704,https://www.booking.com/hotel/fr/aqua-domum.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoGqn6oGwAIB0gIkYTExMDcwODUtMTA3OS00Njk2LWIwNWItNDcyZDZlMDRjMTAw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=bayesian_review_score&srpvid=0dc87d01d5b90194&srepoch=1699206404&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in La Rochelle in the Poitou-Charentes region, with Minimes and Plage Du Roux nearby, La Rochelle sur L'eau provides accommodation with free WiFi and free private parking.

All units come with a terrace with sea views, a kitchen with a fridge and a stovetop, and a private bathroom with shower. A flat-screen TV with streaming services and DVD player are available in some units.

If you would like to discover the area, cycling and walking tours are possible in the surroundings and the boat can arrange a bicycle rental service.

Popular points of interest near La Rochelle sur L'eau include L'Espace Encan, La Rochelle Train Station and The Minimes Marina. The nearest airport is La Rochelle - Ile de Re, 9 km from the accommodation, and the property offers a paid airport shuttle service."
Vue Superbe sur Tour de la Lanterne T2 avec Terrasse Remparts 2,9.3,39 reviews,46.15584670,-1.15838620,https://www.booking.com/hotel/fr/vue-superbe-sur-tour-de-la-lanterne-t2-terrasse.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AoGqn6oGwAIB0gIkYTExMDcwODUtMTA3OS00Njk2LWIwNWItNDcyZDZlMDRjMTAw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=bayesian_review_score&srpvid=0dc87d01d5b90194&srepoch=1699206404&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Situated in the centre of La Rochelle, just 200 metres from Concurrence and 1.5 km from La Rochelle Train Station, Vue Superbe sur Tour de la Lanterne T2 avec Terrasse Remparts 2 features accommodation with city views and free WiFi. It is set 1.7 km from L'Espace Encan and offers luggage storage space.

The apartment with a terrace and garden views has 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a shower. Towels and bed linen are available in the apartment.

Popular points of interest near the apartment include Parc Expo de La Rochelle, La Rochelle Grosse Horloge and Charruyer Park. The nearest airport is La Rochelle - Ile de Re Airport, 4 km from Vue Superbe sur Tour de la Lanterne T2 avec Terrasse Remparts 2."
