hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
La Corderie,8.5,221 reviews,50.64078500,3.05483539,https://www.booking.com/hotel/fr/la-corderie-lille.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWqn6oGwAIB0gIkYjc2MTBhMTAtMjE0NC00Mjk3LTkxNDMtYTUxYTYyMmE3MjU22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=bayesian_review_score&srpvid=7a4e7d2b953900ac&srepoch=1699206487&from=searchresults#hotelTmpl,"La Corderie offers accommodation in the centre of Lille, a 5-minute walk from the Citadel. Guests benefit from the terrace and free WiFi is provided throughout the property.

The ground floor has a fully equipped kitchen with a dining area and there is also a double bedroom. On the 1st floor there is a second bedroom, a bathroom with a bathtub and a separate toilet. There is also a desk.

The Old Lille District is 600 metres from La Corderie, while Zoo Park of Lille is 700 metres from the property. Lille Airport is 9 km away. Private parking is available at this apartment."
LA VILLA DES CHAMPS,9.5,45 reviews,50.64191400,3.08546900,https://www.booking.com/hotel/fr/la-villa-des-champs.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWqn6oGwAIB0gIkYjc2MTBhMTAtMjE0NC00Mjk3LTkxNDMtYTUxYTYyMmE3MjU22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=bayesian_review_score&srpvid=7a4e7d2b953900ac&srepoch=1699206487&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"LA VILLA DES CHAMPS is situated in Lille, less than 1 km from Lille Europe Train Station, a 12-minute walk from Tour de Lille, and 1.4 km from Aeronef. It has garden views and free WiFithroughout the property.

The homestay has 1 bedroom, a kitchenette with a microwave and a fridge, and 1 bathroom with a bath and bathrobes. Towels and bed linen are offered in the homestay.

Popular points of interest near the homestay include Lille Opera, Grand Place Lille and Zénith of Lille. The nearest airport is Lille Airport, 10 km from LA VILLA DES CHAMPS."
Vieux Lille - Nice apartment renovated with character !,8.3,22 reviews,50.64083840,3.06576050,https://www.booking.com/hotel/fr/vieux-lille-nice-apartment-renovated-with-character.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWqn6oGwAIB0gIkYjc2MTBhMTAtMjE0NC00Mjk3LTkxNDMtYTUxYTYyMmE3MjU22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=bayesian_review_score&srpvid=7a4e7d2b953900ac&srepoch=1699206487&from=searchresults#hotelTmpl,"Vieux Lille - Nice apartment renovated with character! is set in the Vieux Lille district of Lille, 500 metres from Grand Place Lille, less than 1 km from Lille Flandres Train Station and a 14-minute walk from Tour de Lille. It is situated 500 metres from Lille Opera and features a 24-hour front desk.

The apartment features 1 bedroom, a kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a hair dryer and free toiletries. Towels and bed linen are available in the apartment.

Popular points of interest near Vieux Lille - Nice apartment renovated with character! include Lille Europe Train Station, Hospice Gantois and Zénith of Lille. The nearest airport is Lille Airport, 10 km from the accommodation."
EuropeFlandres stations apartment with balcony!,8.4,45 reviews,50.63819850,3.07335930,https://www.booking.com/hotel/fr/lille-centre-nice-cozy-and-functional-ap-lille.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWqn6oGwAIB0gIkYjc2MTBhMTAtMjE0NC00Mjk3LTkxNDMtYTUxYTYyMmE3MjU22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=bayesian_review_score&srpvid=7a4e7d2b953900ac&srepoch=1699206487&from=searchresults#hotelTmpl,"Located in the centre of Lille, 500 metres from Tour de Lille and 400 metres from Lille Europe Train Station, EuropeFlandres stations apartment with balcony! offers free WiFi. It is set 300 metres from Aeronef and provides a 24-hour front desk.

The apartment features 1 bedroom, a TV, an equipped kitchen with a microwave and a toaster, a washing machine, and 1 bathroom with a bath. Towels and bed linen are provided in the apartment.

Popular points of interest near the apartment include Lille Opera, Lille Grand Palais and Zénith of Lille. The nearest airport is Lille Airport, 9 km from EuropeFlandres stations apartment with balcony!."
L'archipel,9.1,78 reviews,50.64211900,3.08486830,https://www.booking.com/hotel/fr/archipel-lille.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWqn6oGwAIB0gIkYjc2MTBhMTAtMjE0NC00Mjk3LTkxNDMtYTUxYTYyMmE3MjU22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=bayesian_review_score&srpvid=7a4e7d2b953900ac&srepoch=1699206487&from=searchresults#hotelTmpl,"L'archipel in Lille features accommodation with free WiFi, less than 1 km from Lille Europe Train Station, a 12-minute walk from Tour de Lille and 1.4 km from Aeronef. The property has quiet street views and is 1.9 km from Grand Place Lille and 2.4 km from Hospice Gantois.

The 2-bedroom apartment has a living room with a flat-screen TV with satellite channels, a fully equipped kitchen with dishwasher and oven, and 2 bathrooms with a hair dryer. Towels and bed linen are available in the apartment.

Popular points of interest near the apartment include Lille Grand Palais, Lille Opera and Lille Flandres Train Station. The nearest airport is Lille Airport, 10 km from L'archipel."
Lille près du CHU Lille,9.1,47 reviews,50.61442420,3.02852550,https://www.booking.com/hotel/fr/hebergement-dans-lille-pres-du-chu-lille.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWqn6oGwAIB0gIkYjc2MTBhMTAtMjE0NC00Mjk3LTkxNDMtYTUxYTYyMmE3MjU22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=bayesian_review_score&srpvid=7a4e7d2b953900ac&srepoch=1699206487&from=searchresults#hotelTmpl,"Featuring city views, Lille près du CHU Lille is situated in the Faubourg de Béthune district of Lille, 3.6 km from Zoo Lille and 3.7 km from Coilliot House. Complimentary WiFi is availablethroughout the property.

Some units have a terrace and/or a balcony with quiet street views.

Hospice Gantois is 4.7 km from the homestay, while Printemps Gallery is 5.2 km from the property. The nearest airport is Lille Airport, 13 km from Lille près du CHU Lille."
Lille Centre - Nice and functional ap,8.4,43 reviews,50.64143000,3.06578000,https://www.booking.com/hotel/fr/lille-grand-place-superbe-appart-60m2-2ch.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWqn6oGwAIB0gIkYjc2MTBhMTAtMjE0NC00Mjk3LTkxNDMtYTUxYTYyMmE3MjU22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=bayesian_review_score&srpvid=7a4e7d2b953900ac&srepoch=1699206487&from=searchresults#hotelTmpl,"Lille Centre - Nice and functional ap is located in the Vieux Lille district of Lille, 600 metres from Grand Place Lille, less than 1 km from Lille Flandres Train Station and a 15-minute walk from Tour de Lille. The accommodation is 500 metres from the Lille Opera and has free WiFithroughout the property.

The apartment features 2 bedrooms, a TV, an equipped kitchen with an oven and a microwave, a washing machine, and 1 bathroom with a bath. Towels and bed linen are featured in the apartment.

Popular points of interest near the apartment include Lille Europe Train Station, Hospice Gantois and Zénith of Lille. The nearest airport is Lille Airport, 10 km from Lille Centre - Nice and functional ap."
"Madame rêve, l'esquermoise",8.9,89 reviews,50.63875600,3.05879600,https://www.booking.com/hotel/fr/vieux-lille-t2-rue-esquermoise.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWqn6oGwAIB0gIkYjc2MTBhMTAtMjE0NC00Mjk3LTkxNDMtYTUxYTYyMmE3MjU22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=bayesian_review_score&srpvid=7a4e7d2b953900ac&srepoch=1699206487&from=searchresults#hotelTmpl,"Offering inner courtyard views, Madame rêve, l'esquermoise is an accommodation set in Lille, 600 metres from Printemps Gallery and 500 metres from Lille Opera. Free WiFi is featured throughout the property and private parking is available on site.

The 1-bedroom apartment is fitted with a living room with a TV with satellite channels, a fully equipped kitchen with a dishwasher and oven, and 2 bathrooms with walk-in shower. The apartment also offers a seating area, washing machine and 2 bathrooms with a hair dryer.

Staff at the apartment are available to provide information at the 24-hour front desk.

Popular points of interest near Madame rêve, l'esquermoise include Grand Place Lille, Zoo Lille and Lille Flandres Train Station. The nearest airport is Lille Airport, 10 km from the accommodation."
Bateau péniche au coeur de Lille,9.5,66 reviews,50.63778000,3.03605000,https://www.booking.com/hotel/fr/bateau-peniche-au-coeur-de-lille.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWqn6oGwAIB0gIkYjc2MTBhMTAtMjE0NC00Mjk3LTkxNDMtYTUxYTYyMmE3MjU22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=bayesian_review_score&srpvid=7a4e7d2b953900ac&srepoch=1699206487&from=searchresults#hotelTmpl,"Bateau péniche au coeur de Lille, a property with a garden and a terrace, is set in Lille, 3 km from Printemps Gallery, 3.2 km from Coilliot House, as well as 3.6 km from Hospice Gantois. The accommodation is 1.7 km from the Zoo Lille and features free WiFithroughout the property.

Towels and bed linen are featured in the bed and breakfast.

Guests at the bed and breakfast can enjoy a continental breakfast.

Lille Opera is 3.9 km from Bateau péniche au coeur de Lille, while Lille Flandres Train Station is 4.2 km away. The nearest airport is Lille Airport, 12 km from the accommodation."
LITTLE PLAZA Appart'Hotel,8.6,262 reviews,50.64340377,3.06007557,https://www.booking.com/hotel/fr/little-plaza-apartment.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtWqn6oGwAIB0gIkYjc2MTBhMTAtMjE0NC00Mjk3LTkxNDMtYTUxYTYyMmE3MjU22AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=bayesian_review_score&srpvid=7a4e7d2b953900ac&srepoch=1699206487&from=searchresults#hotelTmpl,"Situated in Lille, Little Plaza apartment in the heart of the Old Lille District. Lille's Opera is 600 metres away. Free WiFi is available throughout the property.

All units include a satellite flat-screen TV. Some units feature a seating area and/or terrace. There is also a dining area and a kitchenette fitted with a microwave. A microwave and stovetop are also offered, as well as a kettle. Every unit features a private bathroom with free toiletries and a hairdryer. Towels are featured.

Printemps Gallery is 800 metres from Little Plaza apartment, while Grand Place Lille is 800 metres from the property. The nearest airport is Lille Airport, 9 km from Little Plaza apartment."
