hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
Lyon Urban Cocoon Gîte urbain eco-responsable,9.7,117 reviews,45.73532327,4.88348871,https://www.booking.com/hotel/fr/lyon-urban-cocoon.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtCon6oGwAIB0gIkNmI3NDFhNzItM2IwYy00ZGZhLTk4ZDUtOGQxMWIyYjMyMzJj2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=d8d17ca9a3fa0037&srepoch=1699206227&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Comfortable, quality, clean, quiet, air-conditioned accommodation with very comfortable beds, a very well-equipped kitchen, efficient Wi-Fi and easy and free parking. The heart of Lyon is less than 20 ’away by metro. During construction, we favored quality materials while respecting an eco-responsible approach.

There is a seating area, a dining area and a kitchen. A flat-screen TV is provided. There is a private bathroom with a bath or shower.

Lyon Urban Cocoon Gîte urbain eco-responsable is an eco-friendly property that uses renewable energy and is heated with wood pellets.

Tour Part-Dieu is 3.8 km from the apartment, while Gerland Stadium is 4.4 km away. The nearest airport is Lyon - Saint Exupery Airport, 15 km from the property."
Villa 216,9.4,179 reviews,45.75525400,4.87321700,https://www.booking.com/hotel/fr/villa-216.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtCon6oGwAIB0gIkNmI3NDFhNzItM2IwYy00ZGZhLTk4ZDUtOGQxMWIyYjMyMzJj2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=d8d17ca9a3fa0037&srepoch=1699206227&from=searchresults#hotelTmpl,"Located in Lyon, 1.8 km from Part-Dieu Train Station and 4 km from Musée Miniature et Cinéma, Villa 216 provides accommodation with free WiFi, air conditioning, a garden and a terrace. The property features garden views and is 4.5 km from the Museum of Fine Arts of Lyon and 5.2 km from Lyon Perrache Train Station.

The kitchenette is equipped with a microwave, a toaster and a fridge and there is hot tub with bathrobes and slippers.

Guests at the bed and breakfast can enjoy a continental breakfast.

At Villa 216 guests are welcome to take advantage of a hot tub.

Fourviere Roman Theatre is 5.5 km from the accommodation, while Basilica of Notre-Dame de Fourviere is 5.8 km away. The nearest airport is Lyon - Saint Exupery Airport, 23 km from Villa 216."
Les Suites de l'Ile Barbe,9.4,187 reviews,45.79799516,4.83382968,https://www.booking.com/hotel/fr/appartement-de-charme-sur-une-ile-privee-en-bord-de-saone-a-10mn-du-centre-ville.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtCon6oGwAIB0gIkNmI3NDFhNzItM2IwYy00ZGZhLTk4ZDUtOGQxMWIyYjMyMzJj2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=d8d17ca9a3fa0037&srepoch=1699206227&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Les Suites de l'Ile Barbe has river views, free WiFi and free private parking, located in Lyon, 7.3 km from Fourviere Roman Theatre.

Every unit features a private bathroom and shower, air conditioning, a flat-screen TV and a dishwasher. A microwave, a toaster and fridge are also featured in the kitchen, as well as a coffee machine.

Guests at the apartment can enjoy a continental breakfast.

Les Suites de l'Ile Barbe offers a children's playground.

A bicycle rental service is available at the accommodation.

Musée Miniature et Cinéma is 7.5 km from Les Suites de l'Ile Barbe, while Basilica of Notre-Dame de Fourviere is 7.6 km away. The nearest airport is Lyon - Saint Exupery Airport, 37 km from the apartment."
Le Cocon Hygge & SPA,8.7,129 reviews,45.74777380,4.86237010,https://www.booking.com/hotel/fr/le-cocon-hygge-amp-spa.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtCon6oGwAIB0gIkNmI3NDFhNzItM2IwYy00ZGZhLTk4ZDUtOGQxMWIyYjMyMzJj2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&srpvid=d8d17ca9a3fa0037&srepoch=1699206227&from=searchresults#hotelTmpl,"Boasting a spa bath, Le Cocon Hygge & SPA is set in Lyon. It features a spa and wellness centre, city views and free WiFithroughout the property.

The apartment has 1 bedroom, a flat-screen TV with streaming services, an equipped kitchen with a dishwasher and a microwave, and 1 bathroom with a hot tub. Towels and bed linen are offered in the apartment.

The apartment offers a range of wellness facilities including a sauna and a hot tub.

Part-Dieu Train Station is 1.8 km from Le Cocon Hygge & SPA, while Musée Miniature et Cinéma is 3.3 km from the property. The nearest airport is Lyon - Saint Exupery Airport, 25 km from the accommodation."
Le Jardin Suspendu - Vieux-Lyon,9.3,202 reviews,45.76399500,4.82641000,https://www.booking.com/hotel/fr/home-by-lp-vieux-lyon.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtCon6oGwAIB0gIkNmI3NDFhNzItM2IwYy00ZGZhLTk4ZDUtOGQxMWIyYjMyMzJj2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=d8d17ca9a3fa0037&srepoch=1699206227&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Le Jardin Suspendu - Vieux-Lyon is set in the centre of Lyon, close to Fourviere Roman Theatre, Basilica of Notre-Dame de Fourviere and Musée Miniature et Cinéma. Complimentary WiFi is featured and private parking is available on site.

Each unit comes with a sofa, a seating area, a flat-screen TV with streaming services, a well-fitted kitchenette, and a private bathroom with a hair dryer. A microwave, a fridge and stovetop are also offered, as well as a coffee machine and a kettle.

The Museum of Fine Arts of Lyon is less than 1 km from the apartment, while Lyon Perrache Train Station is 3.6 km from the property. The nearest airport is Lyon - Saint Exupery Airport, 31 km from Le Jardin Suspendu - Vieux-Lyon."
Villa Florentine,9.0,759 reviews,45.76314439,4.82580800,https://www.booking.com/hotel/fr/villaflorentine.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtCon6oGwAIB0gIkNmI3NDFhNzItM2IwYy00ZGZhLTk4ZDUtOGQxMWIyYjMyMzJj2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&srpvid=d8d17ca9a3fa0037&srepoch=1699206227&from=searchresults#hotelTmpl,"Villa Florentine is located in the heart of Old Lyon with panoramic views of the city. This former convent offers elegant guest rooms, a 24-hour reception and free WiFi throughout.

Each air-conditioned guest room at Villa Florentine has an elegant decor and is equipped with a flat-screen TV with Canal + and beIn Sports channels and a minibar and some rooms have a seating area.  All rooms have a modern, en suite bathroom with a bathtub or shower and some rooms offer views of Old Lyon.

Guests can have breakfast prepared with fresh and local produce in Villa Florentine’s breakfast room or in their room, on the terrace with views of the city or in the bar upon request.

Les Terrasses de Lyon, Villa Florentine's gastronomic restaurant, features an outdoor terrace and serves traditional French cuisine and regional specialties.

Additional facilities available include a fitness centre with sauna, steam room, a cardio training room and a small beauty treatment area. Guests also have access to a heated swimming pool and hot tub.

For guests with cars, private parking is possible on site for a supplement. The hotel is located 4.5 km from Lyon Part-Dieu Train Station. Place Bellecour is 1.2 km away."
Studio BEL MOD Mont d'Or - Belvédère Moderne,9.3,59 reviews,45.76357890,4.86142890,https://www.booking.com/hotel/fr/studio-bel-mod-mont-d-or-lyon.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtCon6oGwAIB0gIkNmI3NDFhNzItM2IwYy00ZGZhLTk4ZDUtOGQxMWIyYjMyMzJj2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&srpvid=d8d17ca9a3fa0037&srepoch=1699206227&from=searchresults#hotelTmpl,"Situated within the 3rd arr. District in Lyon, Studio BEL MOD Mont d'Or - Belvédère Moderne has air conditioning, a balcony, and city views. Free WiFi is available throughout the property and private parking is available on site.

The apartment features 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with streaming services, a dining area, a fully equipped kitchen, and a terrace with mountain views.

At the apartment guests are welcome to take advantage of spa facilities.

Part-Dieu Train Station is 600 metres from Studio BEL MOD Mont d'Or - Belvédère Moderne, while the Museum of Fine Arts of Lyon is 3.7 km from the property. The nearest airport is Lyon - Saint Exupery Airport, 24 km from the accommodation."
"InterContinental Lyon - Hotel Dieu, an IHG Hotel",9.1,"2,020 reviews",45.75864900,4.83691500,https://www.booking.com/hotel/fr/intercontinental-hotels-lyon-dieu.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtCon6oGwAIB0gIkNmI3NDFhNzItM2IwYy00ZGZhLTk4ZDUtOGQxMWIyYjMyMzJj2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=d8d17ca9a3fa0037&srepoch=1699206227&from=searchresults#hotelTmpl,"Situated in Lyon, 1.1 km from Musée Miniature et Cinéma, InterContinental Lyon - Hotel Dieu, an IHG Hotel features accommodation with a fitness centre, private parking, a garden and a terrace. Among the facilities of this property are a restaurant, room service and a 24-hour front desk, along with free WiFi. The accommodation offers an ATM, a concierge service and currency exchange for guests.

The hotel will provide guests with air-conditioned rooms with a desk, a coffee machine, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a shower. Every room is equipped with a kettle, while certain rooms have a balcony and others also boast city views. At InterContinental Lyon - Hotel Dieu, an IHG Hotel rooms include bed linen and towels.

The daily breakfast offers continental, American or vegetarian options.

Popular points of interest near the accommodation include the Museum of Fine Arts of Lyon, Fourviere Roman Theatre and Part-Dieu Train Station. The nearest airport is Lyon - Saint Exupery Airport, 29 km from InterContinental Lyon - Hotel Dieu, an IHG Hotel."
Plein SUD Terrasse avec vue Panoramique Climatisation Parking,9.6,135 reviews,45.77371883,4.84658570,https://www.booking.com/hotel/fr/plein-sud-lyon.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtCon6oGwAIB0gIkNmI3NDFhNzItM2IwYy00ZGZhLTk4ZDUtOGQxMWIyYjMyMzJj2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=bayesian_review_score&srpvid=d8d17ca9a3fa0037&srepoch=1699206227&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located 1 km from the Museum of Fine Arts of Lyon in Lyon, this apartment features free WiFi and a balcony. The apartment is 500 metres from Parc de la Tête d'Or.

The apartment is located on the top floor of a 1950's building. It offers views of the city and has a living area and a TV. The kitchenette features a microwave, a fridge, as well as a Nespresso coffee machine and a kettle. A washing machine is available. There is a shower room. Towels and bed linen are offered at Plein SUD Terrasse avec vue Panoramique Climatisation Parking.

A bakery and a grocery shop are available less than 100 metres away.

Opera Nouvel and a cinema are located a 20-minute walk from Plein SUD Terrasse avec vue Panoramique Climatisation Parking, while Place des Terreaux is 1.2 km away. The property is 750 metres from Foch Metro Station and 29 km from Lyon - Saint Exupery Airport."
Chez Mo,9.2,128 reviews,45.74807331,4.82924865,https://www.booking.com/hotel/fr/chez-mo.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AtCon6oGwAIB0gIkNmI3NDFhNzItM2IwYy00ZGZhLTk4ZDUtOGQxMWIyYjMyMzJj2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=bayesian_review_score&srpvid=d8d17ca9a3fa0037&srepoch=1699206227&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Situated in the centre of Lyon, 400 metres from Lyon Perrache Train Station and 2.3 km from Musée Miniature et Cinéma, Chez Mo offers free WiFi. Featuring private parking, the apartment is 2.9 km from Musée des Confluences.

The apartment features 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV, a dining area, a fully equipped kitchen, and a balcony with city views.

The Museum of Fine Arts of Lyon is 3.3 km from Chez Mo, while Fourviere Roman Theatre is 3.5 km from the property. The nearest airport is Lyon - Saint Exupery Airport, 28 km from the accommodation."
