hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
Suite Jacuzzi Privatif Plage Des Catalans,9.1,90 reviews,43.29128904,5.35822704,https://www.booking.com/hotel/fr/jacuzzi-privatif-marseille.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asarn6oGwAIB0gIkZWMyZTUwMWQtNWYyZC00ZTQ2LWE5OWItMDQ1ZjFiZGZlNDEw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=bayesian_review_score&srpvid=deab7d6377b3001a&srepoch=1699206601&from=searchresults#hotelTmpl,"Set in Marseille, 200 metres from Plage des Catalans and 1.7 km from Fausse Monnaie, Suite Jacuzzi Privatif Plage Des Catalans offers air conditioning. It has inner courtyard views and free WiFithroughout the property.

The apartment features 1 bedroom, a flat-screen TV with streaming services, an equipped kitchenette with a microwave and a fridge, and 2 bathrooms with a walk-in shower.

At the apartment guests are welcome to take advantage of a hot tub and spa facilities.

Popular points of interest near Suite Jacuzzi Privatif Plage Des Catalans include Plage de Maldorme, Palais du Pharo and Vieux Port Metro station. The nearest airport is Marseille Provence Airport, 23 km from the accommodation."
Chambre privée avec Piscine,9.1,104 reviews,43.28491659,5.46210346,https://www.booking.com/hotel/fr/chambre-privee-avec-piscine.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asarn6oGwAIB0gIkZWMyZTUwMWQtNWYyZC00ZTQ2LWE5OWItMDQ1ZjFiZGZlNDEw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=bayesian_review_score&srpvid=deab7d6377b3001a&srepoch=1699206601&from=searchresults#hotelTmpl,"Boasting air-conditioned accommodation with a private pool, mountain view and a terrace, Chambre privée avec Piscine is situated in Marseille. Featuring pool and garden views, this bed and breakfast also includes free WiFi.

The bed and breakfast features a flat-screen TV. Towels and bed linen are available in the bed and breakfast.

Guests can relax in the garden at the property.

La Timone Metro Station is 7.2 km from the bed and breakfast, while Orange Velodrome Stadium is 7.3 km from the property. The nearest airport is Marseille Provence Airport, 31 km from Chambre privée avec Piscine."
Appartement T2 Prado Marseille,9.1,110 reviews,43.27232467,5.38994696,https://www.booking.com/hotel/fr/appartement-prado-marseille-grand-pavois.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asarn6oGwAIB0gIkZWMyZTUwMWQtNWYyZC00ZTQ2LWE5OWItMDQ1ZjFiZGZlNDEw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=bayesian_review_score&srpvid=deab7d6377b3001a&srepoch=1699206601&from=searchresults#hotelTmpl,"Boasting air-conditioned accommodation with a rooftop pool, Appartement T2 Prado Marseille is set in Marseille. Guests staying at this apartment have access to a balcony.

The apartment has 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with streaming services, a dining area, a fully equipped kitchen, and a terrace with city views.

Popular points of interest near the apartment include Rond-Point du Prado Metro Station, Marseille Chanot Exhibition and Convention Centre and Orange Velodrome Stadium. The nearest airport is Marseille Provence Airport, 25 km from Appartement T2 Prado Marseille."
Les jardins du Paradis,8.8,91 reviews,43.27590832,5.38415511,https://www.booking.com/hotel/fr/les-jardins-du-paradis.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asarn6oGwAIB0gIkZWMyZTUwMWQtNWYyZC00ZTQ2LWE5OWItMDQ1ZjFiZGZlNDEw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=bayesian_review_score&srpvid=deab7d6377b3001a&srepoch=1699206601&from=searchresults#hotelTmpl,"Les jardins du Paradis is located in the Prado-Perier district of Marseille, 2 km from Plage du Prado Nord, 2.1 km from Petit Roucas Blanc Beach and 1.1 km from Rond-Point du Prado Metro Station. It has a garden, garden views and free WiFithroughout the property.

The apartment features 1 bedroom, a flat-screen TV with satellite channels, an equipped kitchen with a microwave and a fridge, a washing machine, and 1 bathroom with a shower. Towels and bed linen are provided in the apartment.

Popular points of interest near the apartment include Marseille Chanot Exhibition and Convention Centre, Orange Velodrome Stadium and Castellane Metro Station. The nearest airport is Marseille Provence Airport, 25 km from Les jardins du Paradis."
La Purple Suite,8.3,29 reviews,43.30331028,5.36630896,https://www.booking.com/hotel/fr/la-purple-suite-love-suite-marseille.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asarn6oGwAIB0gIkZWMyZTUwMWQtNWYyZC00ZTQ2LWE5OWItMDQ1ZjFiZGZlNDEw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=bayesian_review_score&srpvid=deab7d6377b3001a&srepoch=1699206601&from=searchresults#hotelTmpl,"La Purple Suite is a beachfront property located in Marseille, 400 metres from Joliette Metro Station and 500 metres from Les Terrasses du Port Shopping Centre. It features city views and free WiFithroughout the property.

This apartment is equipped with 1 bedroom, a kitchen with a dishwasher and an oven, a flat-screen TV, a seating area and 1 bathroom equipped with a walk-in shower. Towels and bed linen are provided in the apartment.

Guests at the apartment can enjoy a continental breakfast.

At La Purple Suite guests are welcome to take advantage of a hot tub and spa facilities. If you would like to discover the area, cycling, hiking and walking tours are possible in the surroundings.

Popular points of interest near the accommodation include Museum of European and Mediterranean Civilisations, Vieux Port Metro station and Marseille Saint-Charles Train Station. The nearest airport is Marseille Provence Airport, 21 km from La Purple Suite."
La Calanq'Aise,9.1,220 reviews,43.23672540,5.41554560,https://www.booking.com/hotel/fr/la-calanq-39-aise.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asarn6oGwAIB0gIkZWMyZTUwMWQtNWYyZC00ZTQ2LWE5OWItMDQ1ZjFiZGZlNDEw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=bayesian_review_score&srpvid=deab7d6377b3001a&srepoch=1699206601&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set 4.7 km from Orange Velodrome Stadium, La Calanq'Aise offers a garden, and accommodation with a terrace and free WiFi.

There is a seating and a dining area in all units.

A continental breakfast is available every morning at the bed and breakfast.

A outdoor play equipment is also available for guests at La Calanq'Aise.

Rond-Point du Prado Metro Station is 4.9 km from the accommodation, while Marseille Chanot Exhibition and Convention Centre is 5.3 km away. The nearest airport is Marseille Provence Airport, 31 km from La Calanq'Aise."
Les Chambres de Jeannette,9.0,117 reviews,43.26891200,5.40233860,https://www.booking.com/hotel/fr/les-chambres-de-jeannette.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asarn6oGwAIB0gIkZWMyZTUwMWQtNWYyZC00ZTQ2LWE5OWItMDQ1ZjFiZGZlNDEw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=bayesian_review_score&srpvid=deab7d6377b3001a&srepoch=1699206601&from=searchresults#hotelTmpl,"Les Chambres de Jeannette is located a 10-minute walk from the Stade Vélodrome in Marseille. A continental breakfast is served every morning and the soundproofed rooms include free Wi-Fi access.

Decorated in a modern style, each guest room has air conditioning. Some of the rooms offer a seating area and the en suite bathrooms are fitted with a shower.

Marseille’s Old Port is situated 4 km from the B&B and Sainte-Marguerite Dromel Metro Station is only 200 metres away. Free parking is available nearby."
« Le Madeleine »,9.1,75 reviews,43.29958571,5.40026743,https://www.booking.com/hotel/fr/le-madeleine-marseille.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asarn6oGwAIB0gIkZWMyZTUwMWQtNWYyZC00ZTQ2LWE5OWItMDQ1ZjFiZGZlNDEw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=bayesian_review_score&srpvid=deab7d6377b3001a&srepoch=1699206601&from=searchresults#hotelTmpl,"Featuring quiet street views, « Le Madeleine » provides accommodation with a balcony and a coffee machine, around 1.1 km from La Timone Metro Station. It features inner courtyard views and free WiFithroughout the property.

This apartment is equipped with 2 bedrooms, a kitchen with an oven and a microwave, a flat-screen TV, a seating area and 1 bathroom equipped with a shower.

Vieux Port Metro station is 2.8 km from the apartment, while Castellane Metro Station is 2.8 km away. The nearest airport is Marseille Provence, 24 km from « Le Madeleine », and the property offers a paid airport shuttle service."
Cabanon Marseillais 45 m2 sur l'eau à Malmousque,9.2,61 reviews,43.28314430,5.34840830,https://www.booking.com/hotel/fr/cabanon-d-artiste-a-malmousque.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asarn6oGwAIB0gIkZWMyZTUwMWQtNWYyZC00ZTQ2LWE5OWItMDQ1ZjFiZGZlNDEw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=bayesian_review_score&srpvid=deab7d6377b3001a&srepoch=1699206601&from=searchresults#hotelTmpl,"Boasting city views, Cabanon Marseillais 45 m2 sur l'eau à Malmousque features accommodation with a balcony and a coffee machine, around 400 metres from Batterie des Lions. Situated on the beachfront, this property features an open-air bath.

The apartment with a terrace and sea views has 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a walk-in shower. Towels and bed linen are available in the apartment.

Popular points of interest near the apartment include Plage de Maldorme, Calanque du Cuivre and Plage des Catalans. The nearest airport is Marseille Provence Airport, 25 km from Cabanon Marseillais 45 m2 sur l'eau à Malmousque."
Maison avec Jacuzzi Marseille,9.4,14 reviews,43.37319822,5.35847137,https://www.booking.com/hotel/fr/maison-avec-jacuzzi-marseille.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asarn6oGwAIB0gIkZWMyZTUwMWQtNWYyZC00ZTQ2LWE5OWItMDQ1ZjFiZGZlNDEw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=bayesian_review_score&srpvid=deab7d6377b3001a&srepoch=1699206601&from=searchresults#hotelTmpl,"Situated 10 km from Marseille Saint-Charles Train Station, Maison avec Jacuzzi Marseille features accommodation in Marseille with access to a hot tub. The air-conditioned accommodation is 10 km from Les Terrasses du Port Shopping Centre, and guests benefit from complimentary WiFi and private parking available on site.

The villa with a terrace and garden views has 4 bedrooms, a living room, a flat-screen TV, an equipped kitchen, and 3 bathrooms with a hot tub and an a bath or shower. The villa also includes 3 bathrooms.

The villa features a barbecue and a garden, which can be enjoyed by guests if the weather permits.

Joliette Metro Station is 11 km from Maison avec Jacuzzi Marseille, while Museum of European and Mediterranean Civilisations is 11 km from the property. The nearest airport is Marseille Provence Airport, 15 km from the accommodation."
