hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
Le Relais Saint Michel,7.9,"4,054 reviews",48.61758727,-1.51039615,https://www.booking.com/hotel/fr/le-relais-saint-michel.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asynn6oGwAIB0gIkNTgzOWQ1NzQtZGRmNS00OTg5LWIzMWMtYmE3ZTgxZjc0NjU52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=bbae7c675da40136&srepoch=1699206095&from=searchresults#hotelTmpl,"Le Relais Saint Michel is an hotel facing the bay of Mont Saint-Michel. All guest rooms ( except Twin Room Saint-Michel with interior view) offer a private terrace and some have panoramic views of Mont Saint-Michel.

The soundproofed rooms are comfortable and spacious. They are fully equipped with modern comforts including a minibar and free Wi-Fi access. Each room has en suite facilities.

The hotel’s restaurant offers traditional cuisine. Guests can enjoy a drink or a meal on the terrace, which offers views of the Mont St Michel.

A free shuttle service that stops in front of the hotel will take you to the famous landmark Mont St Michel in just 10 minutes. Safety jackets are provided for guests wishing to take a walk at night. For guests arriving by car, secured parking is available with an extra cost."
Les Terrasses Poulard,7.4,"2,771 reviews",48.63534943,-1.51037872,https://www.booking.com/hotel/fr/les-terrasses-poulard.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asynn6oGwAIB0gIkNTgzOWQ1NzQtZGRmNS00OTg5LWIzMWMtYmE3ZTgxZjc0NjU52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=bayesian_review_score&srpvid=bbae7c675da40136&srepoch=1699206095&from=searchresults#hotelTmpl,"Composed of 2 different buildings, Les Terrasses Poulard is a historical property in the heart of Mont Saint-Michel and offers views of the bay, the village and the street.

Accessed by stairs, each room has a modern décor. Some rooms include large windows with bay views. They are equipped with TV and a private bathroom.

Breakfast is served at the Auberge de la Mère Poulard restaurant, a 2-minute walk away, and the restaurant specialises in French and regional cuisine and is also open for lunch and dinner. Alternatively, guests can enjoy a meal at the onsite La Confiance restaurant and offers meals, drinks and snacks.

Guests can enjoy a drink in the Les Terrasses Poulard’s bar. It offers a 24-hour front desk service and guests can leave their luggage at the reception.

Activities in the area include cycling, fishing and hiking and explore the island."
Hotel Gabriel,7.9,"2,801 reviews",48.61538141,-1.51070997,https://www.booking.com/hotel/fr/hotel-gabriel.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asynn6oGwAIB0gIkNTgzOWQ1NzQtZGRmNS00OTg5LWIzMWMtYmE3ZTgxZjc0NjU52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&srpvid=bbae7c675da40136&srepoch=1699206095&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Hotel Gabriel is located 1.6 Km from Mont Saint-Michel. It offers free Wi-Fi access and en suite rooms just a 25-minute walk from the walls of the old city.

Accessed by stairs, the hotel's spacious rooms include satellite TV. Each room has its own bathroom with a shower.

A buffet breakfast is available every morning. La Rôtisserie serves specialities from the Normandy and Brittany regions.

Hotel Gabriel is a 6-minute drive from the E401 motorway. Pontorson TGV Train Station has connections to Paris and is 7.3 km away.

La Salicorne offers you authentic, vegetable, colorful, festive and eco responsible world cuisine."
Le Relais Du Roy,8.0,"1,459 reviews",48.61626270,-1.51090577,https://www.booking.com/hotel/fr/le-relais-du-roy.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asynn6oGwAIB0gIkNTgzOWQ1NzQtZGRmNS00OTg5LWIzMWMtYmE3ZTgxZjc0NjU52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=bbae7c675da40136&srepoch=1699206095&from=searchresults#hotelTmpl,"Le Relais Du Roy is a 3-star hotel situated next to the River Couesnon, just 1.5 km from the Mont Saint-Michel and 50 metres from the free shuttle bus.

Featuring flat-screen TVs with satellite channels, a telephone and a welcome tray, each guest room at Le Relais Du Roy is decorated in a classic style. They also have a private bathroom with a bath or a shower, free toiletries and a hairdryer. Some of the rooms feature a balcony.

A buffet breakfast is served each morning at the hotel.

A grocery store can be found within a 3-minute walk from the hotel. The town of Pontorson is 7 km away. Private parking is available with an extra cost."
Mercure Mont Saint Michel,8.2,"3,869 reviews",48.61424653,-1.51054502,https://www.booking.com/hotel/fr/mont-saint-michel.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asynn6oGwAIB0gIkNTgzOWQ1NzQtZGRmNS00OTg5LWIzMWMtYmE3ZTgxZjc0NjU52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=bbae7c675da40136&srepoch=1699206095&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"This Mercure is situated in parkland just 2 km from the abbey of Mont Saint Michel. It offers spacious en suite rooms, a restaurant and bar and plenty of free on-site parking.

The air-conditioned rooms at Mercure Mont Saint Michel are equipped with facilities for making hot drinks.  A flat-screen TV with satellite and cable channels is also provided.

The restaurant, Le Pré Salé, is famous in the area and serves delicious seafood and regional specialities. The bar, Le Normandy, offers a relaxed setting for a drink amongst friends.

Mercure Mont Saint Michel is 6.5 km from Pontorson and 52 km from Saint-Malo."
Hôtel la Croix Blanche,7.8,609 reviews,48.63573406,-1.50986105,https://www.booking.com/hotel/fr/ha-el-la-croix-blanche.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asynn6oGwAIB0gIkNTgzOWQ1NzQtZGRmNS00OTg5LWIzMWMtYmE3ZTgxZjc0NjU52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&srpvid=bbae7c675da40136&srepoch=1699206095&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Situated in the heart of Mont Saint Michel medieval Village, Hôtel La Croix Blanche offers a terrace and a bar.

The rooms at Hôtel La Croix Blanche have a flat-screen, satellite TV and a minibar. Free Wi-Fi access is provided.

In addition to the visit of Mont-Saint-Michel and its abbey, guests can go to Saint-Malo, 50 km from the hotel. Dol-de-Bretagne Train Station is 30 km away."
Hôtel Vert,8.0,"5,478 reviews",48.61470049,-1.50961697,https://www.booking.com/hotel/fr/vert.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asynn6oGwAIB0gIkNTgzOWQ1NzQtZGRmNS00OTg5LWIzMWMtYmE3ZTgxZjc0NjU52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=bbae7c675da40136&srepoch=1699206095&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Hotel Vert offers pastel-coloured rooms with a private bathroom, TV and free Wi-Fi access. It is located 2 km from the Mont Saint-Michel tidal island on the Normandy Coast.

Guests can enjoy regional cuisine at the Vert’s restaurant, La salicorne. The hotel’s bar, L’Equinoxe, opens onto a private terrace.

The Vert Hotel provides a 24-hour reception and private parking. There is also an on site supermarket and souvenir shop."
Auberge Saint Pierre,8.0,966 reviews,48.63568798,-1.50988251,https://www.booking.com/hotel/fr/auberge-saint-pierre.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asynn6oGwAIB0gIkNTgzOWQ1NzQtZGRmNS00OTg5LWIzMWMtYmE3ZTgxZjc0NjU52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=bbae7c675da40136&srepoch=1699206095&from=searchresults#hotelTmpl,"Auberge Saint Pierre is a 14th-century half-timbered house located on Mont St Michel tidal island. It combines the period charm of exposed beams with modern comforts including TV and free Wi-Fi access.

The guest rooms at Auberge Saint Pierre have a private bathroom with a bath or shower. Some rooms have views of the sea.

The hotel serves a buffet breakfast daily. Traditional Normandy cuisine and fish dishes are served in the authentic restaurant and guests may choose to dine on site.

Ideally situated for visiting Mont St Michel, this hotel is set on the main street that leads to the Mont Saint Michel abbey. Certain rooms are located in 2 separate buildings which are accessible by many stairs."
La Vieille Auberge,7.3,"1,315 reviews",48.63606300,-1.51145700,https://www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asynn6oGwAIB0gIkNTgzOWQ1NzQtZGRmNS00OTg5LWIzMWMtYmE3ZTgxZjc0NjU52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&srpvid=bbae7c675da40136&srepoch=1699206095&from=searchresults#hotelTmpl,"La Vieille Auberge is located in the medieval village of Le Mont Saint Michel, just a short walk from the famous Mont Saint-Michel Abbey. It offers free WiFi access, a restaurant and a terrace with views of the Mont Saint-Michel Bay.

Rooms are located in 2 annex buildings with many stairs to climb. One building offers standard rooms on the main street and the other building, located at the top of the village, offers rooms with a sea view. They feature a flat-screen TV and a private bathroom with a bath or shower.

There is also a bar at the hotel, and the restaurant serves traditional French cuisine.

This property is 24 km from Avranches and 49 km from Cancale. Dol-de-Bretagne is 30 km away."
La Ferme d' Emerentine,8.6,46 reviews,48.70715360,-1.45583390,https://www.booking.com/hotel/fr/gite-la-laiterie.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Asynn6oGwAIB0gIkNTgzOWQ1NzQtZGRmNS00OTg5LWIzMWMtYmE3ZTgxZjc0NjU52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=bayesian_review_score&srpvid=bbae7c675da40136&srepoch=1699206095&from=searchresults#hotelTmpl,"Located in Bacilly in the Lower Normandy region, La Ferme d' Emerentine provides accommodation with free WiFi and free private parking.

The holiday home provides guests with a terrace, garden views, a seating area, satellite flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, and a private bathroom with walk-in shower. A microwave, a toaster and fridge are also provided, as well as a coffee machine and a kettle.

If you would like to discover the area, hiking and walking tours are possible in the surroundings and La Ferme d' Emerentine can arrange a bicycle rental service.

Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel is 10 km from the accommodation, while Granville Train Station is 21 km away. The nearest airport is Rennes–Saint-Jacques Airport, 98 km from La Ferme d' Emerentine."
