hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
Chambre d hôtes Jacuzzi privée SUITE 785,9.8,50 reviews,44.01261360,1.37848480,https://www.booking.com/hotel/fr/suite-785-chambre-jacuzzi-cave-bar.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auipn6oGwAIB0gIkNTBhMTBhNzAtODlkZC00MzNiLTkyOGMtOGEwMDhhMWRjNTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=ab4f7cf5c16302cc&srepoch=1699206379&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in Montauban, Chambre d hôtes Jacuzzi privée SUITE 785 provides accommodation with a terrace and free WiFi. This bed and breakfast features a garden as well as a bar.

This air-conditioned bed and breakfast comes with a kitchenette, a seating area, a dining area and a cable flat-screen TV. Towels and bed linen are featured in the bed and breakfast.

A continental breakfast is available daily at the bed and breakfast.

Chambre d hôtes Jacuzzi privée SUITE 785 offers a hot tub.

The nearest airport is Toulouse-Blagnac Airport, 53 km from the accommodation."
La Capucine,9.5,33 reviews,44.02126880,1.35123810,https://www.booking.com/hotel/fr/la-capucine-montauban.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auipn6oGwAIB0gIkNTBhMTBhNzAtODlkZC00MzNiLTkyOGMtOGEwMDhhMWRjNTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&srpvid=ab4f7cf5c16302cc&srepoch=1699206379&from=searchresults#hotelTmpl,"La Capucine is located in Montauban. This apartment also features free WiFi.

This apartment comes with 1 bedroom, a kitchen with an oven and a microwave, a flat-screen TV, a seating area and 1 bathroom.

The nearest airport is Toulouse-Blagnac Airport, 52 km from the apartment."
Montauban Appartement 3 chambres à deux pas de l’hypercentre,9.3,84 reviews,44.01576468,1.36779830,https://www.booking.com/hotel/fr/montauban-appartement-3-chambres-a-deux-pas-de-l-hypercentre.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auipn6oGwAIB0gIkNTBhMTBhNzAtODlkZC00MzNiLTkyOGMtOGEwMDhhMWRjNTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=ab4f7cf5c16302cc&srepoch=1699206379&from=searchresults#hotelTmpl,"Montauban Appartement 3 chambres à deux pas de l’hypercentre is located in Montauban and offers a terrace. This apartment provides free private parking, a lift and free WiFi.

The apartment with a balcony and city views features 3 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a shower. Towels and bed linen are provided in the apartment.

The nearest airport is Toulouse-Blagnac Airport, 52 km from the apartment."
Le Studio,9.3,52 reviews,44.02135469,1.35128807,https://www.booking.com/hotel/fr/le-studio-montauban.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auipn6oGwAIB0gIkNTBhMTBhNzAtODlkZC00MzNiLTkyOGMtOGEwMDhhMWRjNTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=ab4f7cf5c16302cc&srepoch=1699206379&from=searchresults#hotelTmpl,"Set in Montauban in the Midi-Pyrénées region, Le Studio is a 1-star property boasting free WiFi.

The apartment has 1 bedroom, a flat-screen TV, an equipped kitchen with an oven and a microwave, a washing machine, and 1 bathroom with a shower. Towels and bed linen are offered in the apartment.

The nearest airport is Toulouse-Blagnac Airport, 52 km from the apartment."
Studio Cléo,9.1,32 reviews,44.02130840,1.35122370,https://www.booking.com/hotel/fr/le-palma-montauban.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auipn6oGwAIB0gIkNTBhMTBhNzAtODlkZC00MzNiLTkyOGMtOGEwMDhhMWRjNTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&srpvid=ab4f7cf5c16302cc&srepoch=1699206379&from=searchresults#hotelTmpl,"Studio Cléo is situated in Montauban.

With free WiFi, this 1-bedroom apartment features a flat-screen TV, a washing machine and a kitchen with an oven and microwave.

The nearest airport is Toulouse-Blagnac Airport, 52 km from the apartment."
En toute intimité dans le centre historique,9.1,79 reviews,44.01756350,1.35515750,https://www.booking.com/hotel/fr/en-toute-intimite-dans-le-centre-historique.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auipn6oGwAIB0gIkNTBhMTBhNzAtODlkZC00MzNiLTkyOGMtOGEwMDhhMWRjNTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=ab4f7cf5c16302cc&srepoch=1699206379&from=searchresults#hotelTmpl,"En toute intimité dans le centre historique is situated in Montauban. The property has quiet street views.

The 1-bedroom apartment has a living room with a flat-screen TV with streaming services, a fully equipped kitchen with dishwasher and oven, and 1 bathroom with a hair dryer. Towels and bed linen are available in the apartment.

If you would like to discover the area, hiking is possible in the surroundings.

The nearest airport is Toulouse-Blagnac Airport, 51 km from the apartment."
"room five - parking, balnéothérapie, place nationale, un havre de paix",9.6,86 reviews,44.01774544,1.35399336,https://www.booking.com/hotel/fr/room-five-montauban.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auipn6oGwAIB0gIkNTBhMTBhNzAtODlkZC00MzNiLTkyOGMtOGEwMDhhMWRjNTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=ab4f7cf5c16302cc&srepoch=1699206379&from=searchresults#hotelTmpl,"Featuring a spa bath, room five - parking, balnéothérapie, place nationale, un havre de paix is situated in Montauban. This apartment features a lift and free WiFi.

Boasting a Blu-ray player, the apartment has a kitchen with a dishwasher, an oven and a microwave, a living room with a seating area and a dining area, 1 bedroom, and 1 bathroom with a hot tub and a bath. A flat-screen TV with streaming services and DVD player, as well as an iPad and a CD player are available.

The apartment offers 4-star accommodation with a hot tub. Fishing and hiking can be enjoyed nearby.

The nearest airport is Toulouse-Blagnac Airport, 51 km from room five - parking, balnéothérapie, place nationale, un havre de paix."
Reve bleu,9.1,29 reviews,44.02501530,1.35675760,https://www.booking.com/hotel/fr/reve-bleu-montauban.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auipn6oGwAIB0gIkNTBhMTBhNzAtODlkZC00MzNiLTkyOGMtOGEwMDhhMWRjNTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&srpvid=ab4f7cf5c16302cc&srepoch=1699206379&from=searchresults#hotelTmpl,"Reve bleu is set in Montauban. It has garden views and free WiFithroughout the property.

The 2-bedroom apartment has a living room with a flat-screen TV with streaming services, a fully equipped kitchen with oven and microwave, and 1 bathroom with a hair dryer. Towels and bed linen are offered in the apartment.

The nearest airport is Toulouse-Blagnac Airport, 53 km from the apartment."
Acacia magnifique T2 rénové.,9.1,22 reviews,44.01702080,1.35455980,https://www.booking.com/hotel/fr/acacia-magnifique-t2-renove.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auipn6oGwAIB0gIkNTBhMTBhNzAtODlkZC00MzNiLTkyOGMtOGEwMDhhMWRjNTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=bayesian_review_score&srpvid=ab4f7cf5c16302cc&srepoch=1699206379&from=searchresults#hotelTmpl,"Acacia magnifique T2 rénové. Is situated in Montauban. Free WiFi is offeredthroughout the property.

This apartment has 1 bedroom, a kitchen with a microwave and a toaster, a flat-screen TV, a seating area and 1 bathroom fitted with a shower. Towels and bed linen are available in the apartment.

The nearest airport is Toulouse-Blagnac Airport, 51 km from the apartment."
Cosy Red 4 Pers - Neuf et au Calme - Fibre-Netflix,9.1,28 reviews,44.01343100,1.36097240,https://www.booking.com/hotel/fr/cosy-red.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Auipn6oGwAIB0gIkNTBhMTBhNzAtODlkZC00MzNiLTkyOGMtOGEwMDhhMWRjNTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=bayesian_review_score&srpvid=ab4f7cf5c16302cc&srepoch=1699206379&from=searchresults#hotelTmpl,"Cosy Red 4 Pers - Neuf et au Calme - Fibre-Netflix is set in Montauban. This apartment also features free WiFi.

The 1-bedroom apartment is fitted with a living room with a flat-screen TV with streaming services, a fully equipped kitchen with oven and microwave, and 1 bathroom with a hair dryer. Towels and bed linen are featured in the apartment.

The nearest airport is Toulouse-Blagnac Airport, 52 km from the apartment."
