hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
"Grand appartement, 2 chambres et jardin",9.7,22 reviews,43.82820190,4.36686200,https://www.booking.com/hotel/fr/appartement-avec-petit-jardin-nimes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AvSrn6oGwAIB0gIkNjdkNDQ4NGItYjFhNS00NjgxLTljMDItYmMwMmNiNzY1MjM02AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=bayesian_review_score&srpvid=45f87d7affc300ac&srepoch=1699206646&from=searchresults#hotelTmpl,"Offering inner courtyard views, Grand appartement, 2 chambres et jardin is an accommodation set in Nîmes, 1.6 km from Parc Expo Nîmes and 33 km from Arles Amphitheatre. It has a garden, garden views and free WiFithroughout the property.

The apartment features 2 bedrooms, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a shower. Towels and bed linen are featured in the apartment.

Avignon Central Station is 44 km from the apartment, while Papal Palace is 46 km away. The nearest airport is Nimes-Ales-Camargue-Cevennes Airport, 8 km from Grand appartement, 2 chambres et jardin."
Guest House Encantada,9.7,117 reviews,43.85305200,4.35138600,https://www.booking.com/hotel/fr/encantadahome.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AvSrn6oGwAIB0gIkNjdkNDQ4NGItYjFhNS00NjgxLTljMDItYmMwMmNiNzY1MjM02AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=bayesian_review_score&srpvid=45f87d7affc300ac&srepoch=1699206646&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"With pool views, Guest House Encantada is set in Nîmes and has a restaurant, full-day security, bar, garden, sun terrace and outdoor fireplace. The homestay features both WiFi and private parking free of charge.

There is a private bathroom with walk-in shower and a hair dryer in each unit, along with free toiletries.

A continental breakfast is available every morning at Guest House Encantada.

Guests can enjoy the infinity pool at the accommodation.

Parc Expo Nîmes is 15 km from Guest House Encantada, while Arles Amphitheatre is 36 km from the property. The nearest airport is Nimes-Ales-Camargue-Cevennes, 11 km from the homestay, and the property offers a paid airport shuttle service."
Appartemment Nimes Arènes,,,43.83511431,4.36398609,https://www.booking.com/hotel/fr/apparemment-nimes-arenes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AvSrn6oGwAIB0gIkNjdkNDQ4NGItYjFhNS00NjgxLTljMDItYmMwMmNiNzY1MjM02AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=bayesian_review_score&srpvid=45f87d7affc300ac&srepoch=1699206646&from=searchresults#hotelTmpl,"Appartemment Nimes Arènes is located in Nîmes, 34 km from Arles Amphitheatre, 43 km from Avignon Central Station, as well as 45 km from Papal Palace. It is situated 13 km from Parc Expo Nîmes and features free WiFi and free private parking.

This apartment has 2 bedrooms, a kitchen with a dishwasher and a microwave, a flat-screen TV, a seating area and 1 bathroom fitted with a walk-in shower. Towels and bed linen are offered in the apartment.

Avignon TGV Train Station is 46 km from the apartment, while Zenith Sud Montpellier is 48 km from the property. The nearest airport is Nimes-Ales-Camargue-Cevennes Airport, 9 km from Appartemment Nimes Arènes."
"LE COSY Joli F2 proche gare, Arénes avec terrasse privée",9.3,80 reviews,43.82800500,4.37496210,https://www.booking.com/hotel/fr/le-cosy-nimes2.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AvSrn6oGwAIB0gIkNjdkNDQ4NGItYjFhNS00NjgxLTljMDItYmMwMmNiNzY1MjM02AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=bayesian_review_score&srpvid=45f87d7affc300ac&srepoch=1699206646&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in Nîmes, 33 km from Arles Amphitheatre and 43 km from Avignon Central Station, LE COSY Joli F2 proche gare, Arénes avec terrasse privée offers air conditioning. The accommodation is 1.8 km from the Parc Expo Nîmes and has free WiFithroughout the property.

The apartment is fitted with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with streaming services, a fully equipped kitchen, and a terrace with garden views.

The apartment can conveniently provide information at the reception to help guests to get around the area.

Papal Palace is 45 km from LE COSY Joli F2 proche gare, Arénes avec terrasse privée, while Avignon TGV Train Station is 45 km from the property. The nearest airport is Nimes-Ales-Camargue-Cevennes Airport, 9 km from the accommodation."
Dolce NÎMES CENTRE,8.6,110 reviews,43.84200130,4.36324300,https://www.booking.com/hotel/fr/enclos-rey.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AvSrn6oGwAIB0gIkNjdkNDQ4NGItYjFhNS00NjgxLTljMDItYmMwMmNiNzY1MjM02AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=bayesian_review_score&srpvid=45f87d7affc300ac&srepoch=1699206646&from=searchresults#hotelTmpl,"Dolce NÎMES CENTRE has air-conditioned guest accommodation in Nîmes, 13 km from Parc Expo Nîmes, 35 km from Arles Amphitheatre and 44 km from Avignon Central Station. Free WiFi is featuredthroughout the property.

All units include a seating area, a flat-screen TV with cable channels, an equipped kitchen, a dining area, and a private bathroom fiitted with bathrobes, while some rooms feature a terrace or a balcony. A dishwasher, a microwave and toaster are also available, as well as a coffee machine and a kettle.

Papal Palace is 45 km from the apartment, while Avignon TGV Train Station is 46 km from the property. The nearest airport is Nimes-Ales-Camargue-Cevennes Airport, 10 km from Dolce NÎMES CENTRE."
Patrick&Pierre Bed and Breakfast Nîmes,9.3,278 reviews,43.83503623,4.34953472,https://www.booking.com/hotel/fr/patrick-amp-pierre-bnb-nimes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AvSrn6oGwAIB0gIkNjdkNDQ4NGItYjFhNS00NjgxLTljMDItYmMwMmNiNzY1MjM02AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=bayesian_review_score&srpvid=45f87d7affc300ac&srepoch=1699206646&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Patrick&Pierre BnB Nîmes is located in Nîmes, 500 metres from the Jardins de la Fontaine, 900 metres from the historic centre and 2.6 km from the Parc Expo Nîmes. Free WiFi is offered.

The rooms include a private bathroom and a flat-screen TV. You will find a kettle in the room. Extras include free toiletries and a hairdryer.

Breakfast is provided.

Nîmes Town Hall is 800 metres from Patrick&Pierre BnB Nîmes, while the Nimes School of Fine Arts is 900 metres away. The train station is 3 km away, while the nearest airport is Nimes-Ales-Camargue-Cevennes Airport, 11 km from the property."
Superbe appartement avec parking sur place,8.9,116 reviews,43.83799940,4.37090630,https://www.booking.com/hotel/fr/superbe-appartement-avec-parking-sur-place.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AvSrn6oGwAIB0gIkNjdkNDQ4NGItYjFhNS00NjgxLTljMDItYmMwMmNiNzY1MjM02AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=bayesian_review_score&srpvid=45f87d7affc300ac&srepoch=1699206646&from=searchresults#hotelTmpl,"Offering garden views, Superbe appartement avec parking sur place is an accommodation located in Nîmes, 35 km from Arles Amphitheatre and 43 km from Avignon Central Station. The air-conditioned accommodation is 12 km from Parc Expo Nîmes, and guests benefit from private parking available on site and free WiFi.

This apartment is equipped with 2 bedrooms, a kitchen with a dishwasher and an oven, a flat-screen TV, a seating area and 1 bathroom equipped with a shower. Towels and bed linen are provided in the apartment.

Papal Palace is 44 km from the apartment, while Avignon TGV Train Station is 45 km away. The nearest airport is Nimes-Ales-Camargue-Cevennes Airport, 10 km from Superbe appartement avec parking sur place."
La Dolce Vita Nîmoise Terrasse 100 m des Arènes,9.5,55 reviews,43.83344380,4.36038700,https://www.booking.com/hotel/fr/t2-terrasse-vue-sur-les-arenes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AvSrn6oGwAIB0gIkNjdkNDQ4NGItYjFhNS00NjgxLTljMDItYmMwMmNiNzY1MjM02AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=bayesian_review_score&srpvid=45f87d7affc300ac&srepoch=1699206646&from=searchresults#hotelTmpl,"Set in Nîmes, 33 km from Arles Amphitheatre and 44 km from Avignon Central Station, La Dolce Vita Nîmoise Terrasse 100 m des Arènes offers air conditioning. The accommodation is 14 km from the Parc Expo Nîmes and has free WiFithroughout the property.

The apartment with a terrace and city views features 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a bath. Towels and bed linen are featured in the apartment.

Papal Palace is 46 km from the apartment, while Avignon TGV Train Station is 47 km away. The nearest airport is Nimes-Ales-Camargue-Cevennes Airport, 8 km from La Dolce Vita Nîmoise Terrasse 100 m des Arènes."
Mas de Boudan,9.1,123 reviews,43.82080551,4.37125320,https://www.booking.com/hotel/fr/mas-de-boudan.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AvSrn6oGwAIB0gIkNjdkNDQ4NGItYjFhNS00NjgxLTljMDItYmMwMmNiNzY1MjM02AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=bayesian_review_score&srpvid=45f87d7affc300ac&srepoch=1699206646&from=searchresults#hotelTmpl,"Situated 3 km from Nimes’ Arena, the Mas de Boudan is a boutique hotel that features two restaurants, Bistr'Au and Restaurant Gastronomique, which has a Michelin star. This air-conditioned hotel offers free WiFi throughout.

The non-smoking rooms have a flat screen TV, an iPod dock, a safe, a minibar, a coffee machine and an electric kettle. The private bathrooms are equipped with a shower and come with bathrobes, slippers and a hairdryer.  All rooms have a garden view.

Mas de Boudan offers a shared garden and terrace area. There is an on-site shop selling homemade and local produce. You will also find a massage service, a laundry service and business facilities at the hotel.

The property is a 9-minute drive from Nimes Train Station, 52 km from Montpellier-Mediterranee Airport and 100 km from Marseille Provence Airport. Free parking is available at Mas de Boudan."
Allegria Nimes Chambre Deluxe Spa,9.0,70 reviews,43.82458070,4.35053480,https://www.booking.com/hotel/fr/allegriasuites-nimes-nimes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AvSrn6oGwAIB0gIkNjdkNDQ4NGItYjFhNS00NjgxLTljMDItYmMwMmNiNzY1MjM02AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=bayesian_review_score&srpvid=45f87d7affc300ac&srepoch=1699206646&from=searchresults#hotelTmpl,"Located in Nîmes, 1.9 km from Parc Expo Nîmes and 33 km from Arles Amphitheatre, Allegria Nimes Chambre Deluxe Spa offers a spa and wellness centre and air conditioning. This property offers access to a terrace, free private parking and free WiFi.

The bed and breakfast comes with a flat-screen TV. Towels and bed linen are featured in the bed and breakfast.

A continental breakfast is available daily at the bed and breakfast.

At Allegria Nimes Chambre Deluxe Spa guests are welcome to take advantage of a hot tub. Guests can enjoy the outdoor swimming pool and garden at the accommodation.

Zenith Sud Montpellier is 46 km from Allegria Nimes Chambre Deluxe Spa, while Odysseum Shopping Centre is 47 km away. The nearest airport is Nimes-Ales-Camargue-Cevennes Airport, 10 km from the bed and breakfast."
