hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
Millésime Hôtel,9.2,811 reviews,48.85511120,2.33503930,https://www.booking.com/hotel/fr/millesime-paris.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aruqn6oGwAIB0gIkOWEzMGExMzMtNGQ5ZC00MWRhLWFkYzYtNWJlODU1OGM0ODgw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=bayesian_review_score&srpvid=646d7d1e8ce30292&srepoch=1699206461&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in a 17th century building in the heart of the Saint-Germain-des-Prés district, just a 10-minute walk from The Louvre, this hotel offers air-conditioned guestrooms and a courtyard garden.

Guest rooms at Millésime Hôtel feature bed linen by Pierre Frey and each room is equipped with free WiFi and a TV.  Some rooms offer views of Saint-Germain-des-Prés Church.

Breakfast is served each morning in the hotel’s breakfast room with an arched ceiling or in guests’ rooms upon request. Breakfast can also be enjoyed in the courtyard when the weather is nice.

The reception desk at Millésime Hôtel is open 24 hours a day and a concierge service is available. Free newspapers and a computer with internet access are offered in the hotel lobby. A 4G smartphone is at disposal at the reception, offering free calls to Europe and North America.

Metro Station Saint-Germain-des-Prés is located 350 metres from the hotel and offers direct access to the Montmartre district. Notre-Dame is a 15-minute walk away."
Edgar Suites Louvre - Jour,9.4,220 reviews,48.86407640,2.34507530,https://www.booking.com/hotel/fr/edgar-suites-louvre-jour.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aruqn6oGwAIB0gIkOWEzMGExMzMtNGQ5ZC00MWRhLWFkYzYtNWJlODU1OGM0ODgw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=bayesian_review_score&srpvid=646d7d1e8ce30292&srepoch=1699206461&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Featuring inner courtyard views and free WiFi, Edgar Suites Louvre - Jour features accommodation attractively located in the centre of Paris, within a short distance of Louvre Museum, Pompidou Centre and Notre Dame Cathedral.

All units include a seating area, a flat-screen TV with streaming services, an equipped kitchen, a dining area, and a private bathroom fiitted with a hair dryer, while some rooms feature a terrace or a balcony. A dishwasher, a microwave and toaster are also available, as well as a coffee machine and a kettle.

Popular points of interest near the aparthotel include Opéra Garnier, Sainte-Chapelle and Tuileries Garden. The nearest airport is Paris - Orly, 17 km from Edgar Suites Louvre - Jour, and the property offers a paid airport shuttle service."
Hôtel Monsieur Aristide,9.0,642 reviews,48.88535200,2.33506600,https://www.booking.com/hotel/fr/monsieur-aristide-paris1.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aruqn6oGwAIB0gIkOWEzMGExMzMtNGQ5ZC00MWRhLWFkYzYtNWJlODU1OGM0ODgw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=bayesian_review_score&srpvid=646d7d1e8ce30292&srepoch=1699206461&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Hôtel Monsieur Aristide has a garden, terrace, a restaurant and bar in Paris. This 4-star hotel offers a concierge service and luggage storage space. The accommodation features a 24-hour front desk, airport transfers, room service and free WiFi throughout the property.

Rooms have air conditioning, a desk and a flat-screen TV, and some rooms at the hotel have a balcony. At Hôtel Monsieur Aristide every room is equipped with bed linen and towels.

The accommodation offers a vegetarian or gluten-free breakfast.

Popular points of interest near Hôtel Monsieur Aristide include La Cigale Concert Hall, Pigalle Metro Station and Gare du Nord. The nearest airport is Paris - Orly Airport, 20 km from the hotel."
"Maison Souquet, Hotel & Spa",9.2,470 reviews,48.88364113,2.33143075,https://www.booking.com/hotel/fr/maison-souquet.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aruqn6oGwAIB0gIkOWEzMGExMzMtNGQ5ZC00MWRhLWFkYzYtNWJlODU1OGM0ODgw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=bayesian_review_score&srpvid=646d7d1e8ce30292&srepoch=1699206461&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in the Montmartre district, Hôtel Maison Souquet, Hotel & Spa is set in an exclusive Parisian townhouse and is decorated in a Belle Époque theme. Guests can have cocktails in the lounge, stroll around the winter garden or enjoy the indoor swimming pool and hammam, which is available upon prior reservation.

With a unique décor, each room and suite has a flat-screen TV, air conditioning and a minibar. Bathrooms are fitted with a bathtub or shower and a hairdryer. The suites also come with a seating area.

Breakfast is served each morning in the communal lounge or in the comfort of your room. The property’s central staircase and study has intricate paneling and cordova leather furnishings based on a 19th-century Oriental style.

The hotel offers you a free private access to the pool and the spa for 1 hour. Additional features include massages treatments, available at an additional cost. The hotel is located 120 metres from Blanche Metro Station (Line 2), which gives you direct access to the Champs Elysées and the Pigalle area."
Black Door,9.3,170 reviews,48.86779280,2.30227660,https://www.booking.com/hotel/fr/black-door.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aruqn6oGwAIB0gIkOWEzMGExMzMtNGQ5ZC00MWRhLWFkYzYtNWJlODU1OGM0ODgw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=bayesian_review_score&srpvid=646d7d1e8ce30292&srepoch=1699206461&from=searchresults#hotelTmpl,"Black Door provides a sauna and a hammam, as well as air-conditioned accommodation with free WiFi in the centre of Paris, 1.2 km from Arc de Triomphe.

Featuring a kitchen with a dishwasher and an oven, each unit also comes with a safety deposit box, a satellite flat-screen TV, ironing facilities, desk and a seating area with a sofa. There is a private bathroom with shower in every unit, along with bathrobes, slippers and a hair dryer.

The aparthotel offers a range of wellness facilities including a spa facilities, a wellness packages and a beauty services.

Guests can enjoy the indoor pool at Black Door.

Eiffel Tower is 1.5 km from the accommodation, while Musée de l'Orangerie is 1.9 km away. The nearest airport is Paris - Orly, 17 km from Black Door, and the property offers a paid airport shuttle service."
My Maison In Paris - Louvre,9.1,886 reviews,48.86361540,2.34319410,https://www.booking.com/hotel/fr/my-maison-in-paris-louvre.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aruqn6oGwAIB0gIkOWEzMGExMzMtNGQ5ZC00MWRhLWFkYzYtNWJlODU1OGM0ODgw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=bayesian_review_score&srpvid=646d7d1e8ce30292&srepoch=1699206461&from=searchresults#hotelTmpl,"My Maison In Paris - Louvre has well-equipped accommodation boasting free WiFi in the centre of Paris, 700 metres from Louvre Museum and 1.1 km from Pompidou Centre.

Each unit comes with a sofa, a seating area, a flat-screen TV, a well-fitted kitchen with a dining area, a safety deposit box and a private bathroom with slippers. A dishwasher, an oven and microwave are also offered, as well as a coffee machine and a kettle.

Popular points of interest near the aparthotel include Notre Dame Cathedral, Opéra Garnier and Sainte-Chapelle. The nearest airport is Paris - Orly Airport, 17 km from My Maison In Paris - Louvre."
My Maison In Paris Invalides,9.2,524 reviews,48.85777900,2.30770000,https://www.booking.com/hotel/fr/my-maison-in-paris-invalides.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aruqn6oGwAIB0gIkOWEzMGExMzMtNGQ5ZC00MWRhLWFkYzYtNWJlODU1OGM0ODgw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=bayesian_review_score&srpvid=646d7d1e8ce30292&srepoch=1699206461&from=searchresults#hotelTmpl,"My Maison In Paris Invalides features accommodation within 1.6 km of the centre of Paris, with free WiFi, and a kitchen with a dishwasher, an oven and a microwave.

All units come with a seating area, a flat-screen TV with satellite channels and a private bathroom with a hair dryer and a bath or shower. A toaster, a fridge and stovetop are also offered, as well as a coffee machine and a kettle.

Popular points of interest near the aparthotel include Rodin Museum, Eiffel Tower and Orsay Museum. The nearest airport is Paris - Orly Airport, 16 km from My Maison In Paris Invalides."
Hôtel de Joséphine BONAPARTE,9.2,423 reviews,48.85550210,2.36205451,https://www.booking.com/hotel/fr/josephine-bonaparte.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aruqn6oGwAIB0gIkOWEzMGExMzMtNGQ5ZC00MWRhLWFkYzYtNWJlODU1OGM0ODgw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=bayesian_review_score&srpvid=646d7d1e8ce30292&srepoch=1699206461&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in a 17th-century convent, this hotel is located in the heart of the historical Marais district in central Paris. It offers individually-decorated rooms with free Wi-Fi access.

The guest rooms at the Hôtel de Joséphine BONAPARTE retain original features, such as exposed wooden beams. Each is equipped with a TV and tea and coffee making facilities, and some also feature a bath.

Guests can start the morning with a buffet breakfast in the shared lounge. Guests also have the possibility to enjoy breakfast in their room at an extra charge. There is also a champagne bar, which is open all day, and guests can relax in the hotel’s patio.

Hôtel de Joséphine BONAPARTE is situated just 80 metres from the Saint-Paul Metro Station and a 5-minute walk from the famous Place des Vosges. The Place de la Bastille is just a 7-minute walk from the Hôtel de Joséphine BONAPARTE."
Hotel The Peninsula Paris,9.2,155 reviews,48.87105524,2.29328845,https://www.booking.com/hotel/fr/the-peninsula-paris.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aruqn6oGwAIB0gIkOWEzMGExMzMtNGQ5ZC00MWRhLWFkYzYtNWJlODU1OGM0ODgw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=bayesian_review_score&srpvid=646d7d1e8ce30292&srepoch=1699206461&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Just 400 metres from the Arc de Triomphe, the Peninsula offers a spa, a 22-metre indoor pool and a rooftop restaurant with 360° views over Paris. Standard room features include free WiFi, and free long-distance calls. Parc des Princes Stadium is only a 15-minute drive away.

All 200 rooms and suites are adorned with artworks and elegant furniture. Each offers a generous separate dressing area with expansive luggage and wardrobe space. The spacious marble bathrooms feature separate rain showers and deep soaking bathtubs, together with inset TVs, a nail dryer and luxurious bathroom amenities by Oscar de la Renta.

The Kléber Terrace is one of the largest outdoor dining terraces in Paris. L’Oiseau Blanc, the hotel’s rooftop restaurant, bar and terrace, serves contemporary French cuisine. Featuring Chinese and Western opera-inspired décor, the hotel’s Chinese restaurant, serves Cantonese cuisine.

The Peninsula is 1.1 km from Avenue des Champs-Elysées and 1.4 km from the Eiffel Tower. Paris-Charles de Gaulle Airport is 24 km away. An 57-space car park is available on site."
Grand Powers Hotel,9.2,432 reviews,48.86922300,2.30313000,https://www.booking.com/hotel/fr/grand-powers.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aruqn6oGwAIB0gIkOWEzMGExMzMtNGQ5ZC00MWRhLWFkYzYtNWJlODU1OGM0ODgw2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=bayesian_review_score&srpvid=646d7d1e8ce30292&srepoch=1699206461&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in Paris' Golden Triangle, Grand Powers is a 5-star boutique hotel in the 8th arrondissement. Guests staying at the hotel can enjoy the spa which has a Turkish bath, a sauna and a hot tub.

Some rooms and suites at the Grand Powers are decorated with parquet and a chimney, and some offer a balcony and views of the Eiffel Tower. Each room has a Smart TV and a Nespresso coffee machine, and the bathrooms have Dyptique toiletries.

The hotel serves an American buffet breakfast each morning. Guests can dine and enjoy a drink in the Café 52 restaurant and bar.

The Clefs d’Or Concierge at the hotel can provide tips on the area.

The Champs-Elysées is 250 metres from Grand Powers and Avenue Montaigne is 350 metres away. The nearest airport is Paris - Orly Airport, 18 km from the property."
