hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
COSYFULL Rouen centre JACUZZI,8.8,243 reviews,49.44692660,1.08294340,https://www.booking.com/hotel/fr/cosyfull-rouen1.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AuWsn6oGwAIB0gIkY2YyNmU2YzQtMWNhZC00ZjAyLWI4MWMtNTI2YzRmZDcwNGU32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&srpvid=ca847db3c05700cb&srepoch=1699206760&from=searchresults#hotelTmpl,"Boasting a spa bath, COSYFULL Rouen centre JACUZZI is set in Rouen. The accommodation is 1.3 km from the Notre-Dame Cathedral of Rouen and has free WiFithroughout the property.

The 1-bedroom apartment has a living room with a flat-screen TV with streaming services, a fully equipped kitchen with an oven and microwave, and 1 bathroom with walk-in shower. Towels and bed linen are offered in the apartment.

The apartment can conveniently provide information at the reception to help guests to get around the area.

Guests staying at COSYFULL Rouen centre JACUZZI have access to the in-house spa and wellness centre which includes a hot tub.

Popular points of interest near the accommodation include Gare de Rouen Rive Droite, Rouen Kindarena Sports Hall and Musee des Beaux-Arts de Rouen. The nearest airport is Deauville - Normandie Airport, 85 km from COSYFULL Rouen centre JACUZZI."
L'Echiquier de Normandie confort cosy et vue premium,9.1,131 reviews,49.44227266,1.09133224,https://www.booking.com/hotel/fr/l-39-echiquier-de-normandie.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AuWsn6oGwAIB0gIkY2YyNmU2YzQtMWNhZC00ZjAyLWI4MWMtNTI2YzRmZDcwNGU32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=ca847db3c05700cb&srepoch=1699206760&from=searchresults#hotelTmpl,"Offering free WiFi and city views, L'Echiquier de Normandie confort cosy et vue premium is an accommodation located in a central area of Rouen, just 400 metres from Notre-Dame Cathedral of Rouen and less than 1 km from Gare de Rouen Rive Droite. Housed in a building dating from 19th century, this apartment is 3 km from Rouen Kindarena Sports Hall and 3.6 km from Voltaire Station, Rouen.

The apartment features 1 bedroom, a flat-screen TV, an equipped kitchen with an oven and a microwave, a washing machine, and 1 bathroom with a walk-in shower. Towels and bed linen are featured in the apartment.

Hotel de ville de Soteville Station, Rouen is 4.7 km from the apartment, while 14-juillet Tramway Station, Rouen is 5.4 km away. The nearest airport is Beauvais–Tillé Airport, 85 km from L'Echiquier de Normandie confort cosy et vue premium."
L'Espace Privé 2 Rouen,9.7,35 reviews,49.44499360,1.08782152,https://www.booking.com/hotel/fr/espace-prive-2-rouen.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AuWsn6oGwAIB0gIkY2YyNmU2YzQtMWNhZC00ZjAyLWI4MWMtNTI2YzRmZDcwNGU32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=ca847db3c05700cb&srepoch=1699206760&from=searchresults#hotelTmpl,"Situated in the centre of Rouen, less than 1 km from Notre-Dame Cathedral of Rouen and a 11-minute walk from Gare de Rouen Rive Droite, L'Espace Privé 2 Rouen offers free WiFi. This apartment is 4.4 km from Hotel de ville de Soteville Station, Rouen and 5.2 km from 14-juillet Tramway Station, Rouen.

The apartment comes with a cable flat-screen TV. The kitchen features a dishwasher, an oven and a microwave and there is walk-in shower with bathrobes and a hair dryer.

The apartment offers a range of wellness facilities including a hot tub and a spa facilities.

Rouen Kindarena Sports Hall is 2.7 km from L'Espace Privé 2 Rouen, while Voltaire Station, Rouen is 3.3 km from the property. The nearest airport is Deauville - Normandie Airport, 85 km from the accommodation."
Le Palm ✧ Duplex centre historique Rouen,9.1,101 reviews,49.44403840,1.08605900,https://www.booking.com/hotel/fr/le-palm-duplex-centre-historique-rouen.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AuWsn6oGwAIB0gIkY2YyNmU2YzQtMWNhZC00ZjAyLWI4MWMtNTI2YzRmZDcwNGU32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&srpvid=ca847db3c05700cb&srepoch=1699206760&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Offering free WiFi, Le Palm ✧ Duplex centre historique Rouen is located in the centre of Rouen within less than 1 km of Notre-Dame Cathedral of Rouen and a 13-minute walk from Gare de Rouen Rive Droite. It is set 2.5 km from Rouen Kindarena Sports Hall and provides a lift.

The 1-bedroom apartment comes with a living room with a flat-screen TV, a fully equipped kitchen with dishwasher and oven, and 1 bathroom with a hair dryer. Towels and bed linen are featured in the apartment.

Voltaire Station, Rouen is 3.1 km from the apartment, while Hotel de ville de Soteville Station, Rouen is 4.2 km away. The nearest airport is Deauville - Normandie Airport, 85 km from Le Palm ✧ Duplex centre historique Rouen."
L'Espace Privé Rouen,9.5,75 reviews,49.44488500,1.08819185,https://www.booking.com/hotel/fr/l-39-espace-prive-rouen.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AuWsn6oGwAIB0gIkY2YyNmU2YzQtMWNhZC00ZjAyLWI4MWMtNTI2YzRmZDcwNGU32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=ca847db3c05700cb&srepoch=1699206760&from=searchresults#hotelTmpl,"L'espace Prive Rouen offers accommodation in Rouen. The apartment features a spa bath and free WiFi throughout

Located on the ground floor, this studio has a seating area complete with a flat-screen TV with cable channels. You will find a fully-equipped kitchen fitted with a coffee machine. The open bathroom is equipped with a double shower, bathrobes and free toiletries.

Notre-Dame Cathedral of Rouen is 750 metres from L'espace Prive Rouen, while Gare Rve Droite Train Station is 900 meters from the property."
Centre historique l'authentique Saint Nicolas ou le bourdon de la Cathédrale,9.3,160 reviews,49.44128755,1.09608710,https://www.booking.com/hotel/fr/saint-nicolas-ou-le-bourdon-de-la-cathedrale.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AuWsn6oGwAIB0gIkY2YyNmU2YzQtMWNhZC00ZjAyLWI4MWMtNTI2YzRmZDcwNGU32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=ca847db3c05700cb&srepoch=1699206760&from=searchresults#hotelTmpl,"Offering free WiFi and city views, Centre historique l'authentique Saint Nicolas ou le bourdon de la Cathédrale is an accommodation located in a central area of Rouen, just 200 metres from Notre-Dame Cathedral of Rouen and 1.2 km from Gare de Rouen Rive Droite. The property features inner courtyard views and is 3.5 km from Voltaire Station, Rouen and 3.8 km from Rouen Kindarena Sports Hall.

The 1-bedroom apartment comes with a living room with a flat-screen TV, a fully equipped kitchen with dishwasher and oven, and 1 bathroom with a hair dryer. Towels and bed linen are provided in the apartment.

Hotel de ville de Soteville Station, Rouen is 4.4 km from the apartment, while 14-juillet Tramway Station, Rouen is 5.1 km away. The nearest airport is Beauvais–Tillé Airport, 84 km from Centre historique l'authentique Saint Nicolas ou le bourdon de la Cathédrale."
Golden Suite - JACUZZI,9.0,86 reviews,49.44193240,1.08085070,https://www.booking.com/hotel/fr/golden-suite.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AuWsn6oGwAIB0gIkY2YyNmU2YzQtMWNhZC00ZjAyLWI4MWMtNTI2YzRmZDcwNGU32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=ca847db3c05700cb&srepoch=1699206760&from=searchresults#hotelTmpl,"Featuring a spa bath, Golden Suite - JACUZZI is set in Rouen. It is situated 1.3 km from Notre-Dame Cathedral of Rouen and features a housekeeping service.

With free WiFi, this 1-bedroom apartment offers a flat-screen TV and a kitchen with a microwave and toaster.

The wellness area at the apartment is comprised of a hot tub and a spa facilities. Guests can also relax in the shared lounge area.

Popular points of interest near Golden Suite - JACUZZI include Gare de Rouen Rive Droite, Rouen Kindarena Sports Hall and Musee des Beaux-Arts de Rouen. The nearest airport is Deauville - Normandie Airport, 84 km from the accommodation."
Joli studio hyper centre,9.0,74 reviews,49.44369970,1.09243250,https://www.booking.com/hotel/fr/joli-studio-hyper-centre.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AuWsn6oGwAIB0gIkY2YyNmU2YzQtMWNhZC00ZjAyLWI4MWMtNTI2YzRmZDcwNGU32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&srpvid=ca847db3c05700cb&srepoch=1699206760&from=searchresults#hotelTmpl,"Located in the centre of Rouen, 600 metres from Notre-Dame Cathedral of Rouen and less than 1 km from Gare de Rouen Rive Droite, Joli studio hyper centre offers free WiFi. This apartment is 4.9 km from Hotel de ville de Soteville Station, Rouen and 5.7 km from 14-juillet Tramway Station, Rouen.

The apartment includes 1 bedroom, a kitchenette with a microwave and a fridge, as well as a coffee machine. For added convenience, the property can provide towels and linens for a supplement.

Rouen Kindarena Sports Hall is 3.3 km from the apartment, while Voltaire Station, Rouen is 3.9 km away. The nearest airport is Beauvais–Tillé Airport, 85 km from Joli studio hyper centre."
"2 Appt MédiéLounge ou MédiéOld, Parking Vue magnifique par Beds76",8.9,149 reviews,49.44167550,1.10066210,https://www.booking.com/hotel/fr/medie-lounge.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AuWsn6oGwAIB0gIkY2YyNmU2YzQtMWNhZC00ZjAyLWI4MWMtNTI2YzRmZDcwNGU32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=bayesian_review_score&srpvid=ca847db3c05700cb&srepoch=1699206760&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"2 Appt MédiéLounge ou MédiéOld, Parking Vue magnifique par Beds76 provides accommodation within 100 metres of the centre of Rouen, with free WiFi, and a kitchen with a dishwasher, an oven and a microwave.

A toaster, a fridge and stovetop are also provided, as well as a coffee machine and a kettle.

At the apartment guests are welcome to take advantage of a hot tub.

Popular points of interest near 2 Appt MédiéLounge ou MédiéOld, Parking Vue magnifique par Beds76 include Notre-Dame Cathedral of Rouen, Gare de Rouen Rive Droite and Musee des Beaux-Arts de Rouen. The nearest airport is Beauvais–Tillé Airport, 83 km from the accommodation."
Fiquet de Normanville pour votre bien être en plein coeur historique,9.0,169 reviews,49.44244414,1.09804968,https://www.booking.com/hotel/fr/fiquet-de-normanville.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4AuWsn6oGwAIB0gIkY2YyNmU2YzQtMWNhZC00ZjAyLWI4MWMtNTI2YzRmZDcwNGU32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=bayesian_review_score&srpvid=ca847db3c05700cb&srepoch=1699206760&from=searchresults#hotelTmpl,"Offering free WiFi and city views, Fiquet de Normanville pour votre bien être en plein coeur historique is an accommodation situated right in the centre of Rouen, just 700 metres from Notre-Dame Cathedral of Rouen.

This apartment includes 1 bedroom, a living room and a flat-screen TV, an equipped kitchen with a dining area, and 1 bathroom with a shower and a washing machine. Bed linen and towels are included in the price.

The nearest airport is Paris Beauvais-Tille Airport, 85 km from the apartment."
