hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
"Emeraude, pleine vue de mer",9.4,144 reviews,48.65428000,-2.00862800,https://www.booking.com/hotel/fr/emeraude-saint-malo.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atqnn6oGwAIB0gIkMTNiZWU0ODAtZjAwOS00NzM3LWE3NDYtZTY3Njc5ZWM2NTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&srpvid=7b117c6d5397008c&srepoch=1699206109&from=searchresults#hotelTmpl,"Offering garden views, Emeraude, pleine vue de mer is an accommodation set in Saint Malo, 70 metres from Sillon Beach and 1 km from Eventail Beach. This beachfront property offers access to a balcony, free private parking and free WiFi.

The apartment comes with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a terrace with sea views.

Staff at the apartment are available to provide information at the 24-hour front desk.

Popular points of interest near Emeraude, pleine vue de mer include Rochebonne Beach, Palais du Grand Large and Casino Barrière Saint-Malo. The nearest airport is Jersey Airport, 73 km from the accommodation."
Studio Le sillon malouin vue mer,9.7,106 reviews,48.65369460,-2.01081280,https://www.booking.com/hotel/fr/studio-vue-mer-saint-malo.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atqnn6oGwAIB0gIkMTNiZWU0ODAtZjAwOS00NzM3LWE3NDYtZTY3Njc5ZWM2NTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=7b117c6d5397008c&srepoch=1699206109&from=searchresults#hotelTmpl,"Boasting sea views, Studio Le sillon malouin vue mer provides accommodation with a balcony and a coffee machine, around a few steps from Sillon Beach. This apartment features free private parking and a lift.

With free WiFi, this apartment offers a flat-screen TV, a washing machine and a kitchenette with a dishwasher and oven. Towels and bed linen are offered in the apartment.

The apartment offers a sun terrace.

Popular points of interest near Studio Le sillon malouin vue mer include Eventail Beach, Bon Secours Beach and Palais du Grand Large. The nearest airport is Jersey Airport, 73 km from the accommodation."
Le Grand Sillon - Le Georges,9.7,48 reviews,48.65377000,-2.01031700,https://www.booking.com/hotel/fr/le-grand-sillon-le-laperouse.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atqnn6oGwAIB0gIkMTNiZWU0ODAtZjAwOS00NzM3LWE3NDYtZTY3Njc5ZWM2NTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&srpvid=7b117c6d5397008c&srepoch=1699206109&from=searchresults#hotelTmpl,"Le Grand Sillon - Le Georges is a beachfront property located in Saint Malo, less than 1 km from Eventail Beach and a 19-minute walk from Bon Secours Beach. The property features sea and city views, and is a few steps from Sillon Beach.

The 2-bedroom apartment is equipped with a living room with a flat-screen TV with streaming services, a fully equipped kitchen with dishwasher and oven, and 1 bathroom with a hair dryer. Providing free private parking, this 4-star apartment also features free WiFithroughout the property.

Hiking can be enjoyed nearby.

Popular points of interest near the apartment include Palais du Grand Large, Casino Barrière Saint-Malo and National Fort. The nearest airport is Jersey Airport, 73 km from Le Grand Sillon - Le Georges."
L'AccrocheCoeur,9.3,604 reviews,48.64812105,-2.02697917,https://www.booking.com/hotel/fr/l-39-accrochecoeur.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atqnn6oGwAIB0gIkMTNiZWU0ODAtZjAwOS00NzM3LWE3NDYtZTY3Njc5ZWM2NTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=7b117c6d5397008c&srepoch=1699206109&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Ideally located in Saint Malo, L'AccrocheCoeur offers a continental breakfast and free WiFithroughout the property. This 4-star guest house offers full-day security and a concierge service. The property is non-smoking and is set 200 metres from Bon Secours Beach.

All units in the guest house are fitted with a coffee machine and an iPad. All guest rooms feature a private bathroom, a hair dryer and bed linen.

Popular points of interest near L'AccrocheCoeur include Mole Beach, Eventail Beach and Grand Bé. The nearest airport is Dinard–Pleurtuit–Saint-Malo Airport, 13 km from the accommodation."
La Haute Flourie - bed and breakfast,9.5,310 reviews,48.61885282,-2.00548804,https://www.booking.com/hotel/fr/la-haute-flourie.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atqnn6oGwAIB0gIkMTNiZWU0ODAtZjAwOS00NzM3LWE3NDYtZTY3Njc5ZWM2NTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=7b117c6d5397008c&srepoch=1699206109&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"La Haute Flourie - bed and breakfast is situated in Saint Malo, a 10-minute drive from Dinard. Free WiFi is featured and free private parking is available on site.

You will find a kettle in the room.

You will find a shared lounge at the property. Guests can enjoy lunch at the property which is prepared by the property's chef.

You can play table tennis at the bed and breakfast. The bed and breakfast also offers bike hire. Saint-Malo Hospital is 1.9 km from La Haute Flourie - bed and breakfast, while Solidor Tower is 2.3 km away. The nearest airport is Dinard Brittany Airport, 6 km from La Haute Flourie - bed and breakfast."
Belle Malouine,9.5,196 reviews,48.61580878,-1.96957705,https://www.booking.com/hotel/fr/appartement-dans-belle-demeure-malouine.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atqnn6oGwAIB0gIkMTNiZWU0ODAtZjAwOS00NzM3LWE3NDYtZTY3Njc5ZWM2NTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=7b117c6d5397008c&srepoch=1699206109&from=searchresults#hotelTmpl,"Belle Malouine has garden views, free WiFi and free private parking, situated in Saint Malo, 6.4 km from Solidor Tower.

Each unit features a terrace, a fully equipped kitchen with a dishwasher, a fireplace, a seating area, a flat-screen TV, a washing machine, and a private bathroom with shower and a hair dryer. An oven, a microwave and toaster are also available, as well as a coffee machine and a kettle.

The apartment offers a picnic area.

Belle Malouine features a barbecue and a garden.

Palais du Grand Large is 7.9 km from the accommodation, while Casino Barrière Saint-Malo is 7.9 km from the property. The nearest airport is Rennes–Saint-Jacques Airport, 72 km from Belle Malouine."
Le Pilo,9.7,120 reviews,48.64899200,-2.02562580,https://www.booking.com/hotel/fr/le-pilori.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atqnn6oGwAIB0gIkMTNiZWU0ODAtZjAwOS00NzM3LWE3NDYtZTY3Njc5ZWM2NTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&srpvid=7b117c6d5397008c&srepoch=1699206109&from=searchresults#hotelTmpl,"Offering free WiFi and city views, Le Pilo is an accommodation set in the heart of Saint Malo, just 300 metres from Bon Secours Beach and 400 metres from Mole Beach. This apartment is 700 metres from Casino Barrière Saint-Malo and 1.1 km from National Fort.

The 2-bedroom apartment is fitted with a living room with a flat-screen TV, a fully equipped kitchen with dishwasher and oven, and 1 bathroom with a hair dryer. Towels and bed linen are featured in the apartment.

Popular points of interest near the apartment include Eventail Beach, Grand Bé and Palais du Grand Large. The nearest airport is Jersey Airport, 71 km from Le Pilo."
Gîte la Briantaise,9.3,139 reviews,48.62017810,-2.00464870,https://www.booking.com/hotel/fr/gite-la-briantaise.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atqnn6oGwAIB0gIkMTNiZWU0ODAtZjAwOS00NzM3LWE3NDYtZTY3Njc5ZWM2NTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=7b117c6d5397008c&srepoch=1699206109&from=searchresults#hotelTmpl,"Boasting garden views, Gîte la Briantaise offers accommodation with a terrace and a coffee machine, around less than 1 km from Plage du Rosais. Featuring inner courtyard and quiet street views, this holiday home also has free WiFi.

Featuring a DVD player, the holiday home has a kitchen with a dishwasher, a microwave and a toaster, a living room with a seating area and a dining area, 2 bedrooms, and 2 bathrooms with a walk-in shower and a bath. A flat-screen TV, as well as an iPod docking station are featured.

The holiday home offers a barbecue. A outdoor play equipment is also available for guests at Gîte la Briantaise.

Plage des Fours à Chaux is 1.4 km from the accommodation, while Port la Vicomte Beach is 2.9 km away. The nearest airport is Rennes–Saint-Jacques Airport, 73 km from Gîte la Briantaise."
Le Servannais,9.6,89 reviews,48.63306600,-2.01220310,https://www.booking.com/hotel/fr/le-servannais.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atqnn6oGwAIB0gIkMTNiZWU0ODAtZjAwOS00NzM3LWE3NDYtZTY3Njc5ZWM2NTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=bayesian_review_score&srpvid=7b117c6d5397008c&srepoch=1699206109&from=searchresults#hotelTmpl,"Boasting quiet street views, Le Servannais features accommodation with a balcony and a coffee machine, around 700 metres from Plage des Fours à Chaux. It features city views and free WiFithroughout the property.

The apartment with a terrace and garden views has 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a walk-in shower. Towels and bed linen are available in the apartment.

Popular points of interest near the apartment include Bas-Sablons Beach, Plage du Rosais and Solidor Tower. The nearest airport is Jersey Airport, 73 km from Le Servannais."
Petite maison de vacance très proches de la mer,9.4,31 reviews,48.65956907,-1.98920718,https://www.booking.com/hotel/fr/petite-maison-de-vacance-tres-proches-de-la-mer.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Atqnn6oGwAIB0gIkMTNiZWU0ODAtZjAwOS00NzM3LWE3NDYtZTY3Njc5ZWM2NTZi2AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=bayesian_review_score&srpvid=7b117c6d5397008c&srepoch=1699206109&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Offering quiet street views, Petite maison de vacance très proches de la mer is an accommodation located in Saint Malo, 500 metres from Rochebonne Beach and 500 metres from Sillon Beach. It features a terrace, barbecue facilities, inner courtyard views and free WiFithroughout the property.

This holiday home is equipped with 2 bedrooms, a kitchen with a dishwasher and an oven, a flat-screen TV, a seating area and 1 bathroom equipped with a walk-in shower. Towels and bed linen are provided in the holiday home.

Minihic Beach is 1.1 km from the holiday home, while Palais du Grand Large is 2.7 km away. The nearest airport is Jersey Airport, 75 km from Petite maison de vacance très proches de la mer."
