hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
Le Carré d'or - Appartement avec vue Cathédrale,9.9,257 reviews,48.58286106,7.74950094,https://www.booking.com/hotel/fr/golden-square-strasbourg.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aputn6oGwAIB0gIkYTc5NzQ3MzMtMmQwMy00MzU2LThlMzEtMDFmOTVmMDc3YWY52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&srpvid=208c7dcebefd03c7&srepoch=1699206814&from=searchresults#hotelTmpl,"Situated in the centre of Strasbourg, just 200 metres from Strasbourg Cathedral and 1.1 km from St. Paul's Church, Le Carré d'or - Appartement avec vue Cathédrale features accommodation with city views and free WiFi. Featuring private parking, the apartment is 1.5 km from Jardin botanique de l'Université de Strasbourg.

The air-conditioned apartment consists of 2 bedrooms, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a walk-in shower and a hair dryer. A flat-screen TV with cable channels and DVD player, as well as a CD player are offered.

Strasbourg Exhibition Centre is 2.5 km from Le Carré d'or - Appartement avec vue Cathédrale, while Strasbourg History Museum is 400 metres from the property. The nearest airport is Strasbourg International, 12 km from the accommodation, and the property offers a paid airport shuttle service."
Hotel Les Haras,9.0,"2,599 reviews",48.57704319,7.74252690,https://www.booking.com/hotel/fr/ha-tel-les-haras.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aputn6oGwAIB0gIkYTc5NzQ3MzMtMmQwMy00MzU2LThlMzEtMDFmOTVmMDc3YWY52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=bayesian_review_score&srpvid=208c7dcebefd03c7&srepoch=1699206814&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in a historical building of the 18th century, this hotel is located in Strasbourg, only 200 metres from the city centre. Hotel Les Haras features a spa and offers massages with CODAGE products. Free Wi-Fi, a business centre and private parking can also be found on site.

Hôtel Les Haras features air-conditioned rooms with a safe, electric kettle and LCD TV. The bathrooms are equipped with free toiletries, bathrobes and slippers.

A buffet breakfast is served each morning. A bar is also at your disposal on site. The hotel's site is shared by La Brasserie Les Haras. Restaurant does not belong to the hotel. Guests wishing to dine at this restaurant are advised to reserve in advance. We can help you in making a reservation. With a 24-hour reception, the property also provides a dry cleaning service, daily newspapers and meeting facilities.

Located 1 km from the cathedral and 500 metres from the Modern Art Museum, Hôtel Les Haras is accessible via the A35 motorway, which is 2 km away. The European Parliament is 3.5 km away and Strasbourg Aiport is 16 km away."
Le Moon,9.3,485 reviews,48.58750934,7.74958822,https://www.booking.com/hotel/fr/le-moon.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aputn6oGwAIB0gIkYTc5NzQ3MzMtMmQwMy00MzU2LThlMzEtMDFmOTVmMDc3YWY52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&srpvid=208c7dcebefd03c7&srepoch=1699206814&from=searchresults#hotelTmpl,"Set on the banks of the Ill river, Le Moon is set in Strasbourg, a 5-minute walk from the Rhine Palace, 350 metres from Strasbourg Christmas Market and 600 metres from the Cathedral..

Housed in a 19th century building, each apartment features a contemporary décor. The accommodations feature a satellite flat-screen TV with international channels. The Studio Apartment features a fridge, a microwave and a Nespresso coffee machine, while the Superior and Deluxe Apartment feature a dining area and a fully equipped kitchen. A private bathroom with bathrobes and free Clarins toiletries is offered. Towels are provided at Le Moon.

Strasbourg National Theatre is 650 metres from Le Moon. The nearest airport is Strasbourg International Airport, 17 km from the property."
Hotel Cour du Corbeau Strasbourg - MGallery,9.2,"1,795 reviews",48.57934881,7.75155723,https://www.booking.com/hotel/fr/cour-du-corbeau.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aputn6oGwAIB0gIkYTc5NzQ3MzMtMmQwMy00MzU2LThlMzEtMDFmOTVmMDc3YWY52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&srpvid=208c7dcebefd03c7&srepoch=1699206814&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"This 4-star hotel is set in a renovated 16th-century building in central Strasbourg. It offers a courtyard, free WiFi and air-conditioned guest rooms with Louis XV-inspired furniture and satellite TV.

Each elegant guest room has an LCD TV, a minibar and WiFi access. Some rooms offer views of the courtyard, tea and coffee making facilities or a Nespresso coffee machine. All of the private bathrooms are fitted with a bathtub.

Every morning, you can enjoy a buffet breakfast composed of local products. A selection of pastries are proposed in the tea house. During spring and summer, breakfast can be taken from 9:00 on the terrace. Guests can also enjoy a drink in the bar or on the terrace.


Strasbourg Cathedral is 550 metres from Cour Du Corbeau hotel, and Place Kléber is a 10-minute walk away. The Alsatian Museum is 100 metres from the property and Porte de l’Hopital tram stop is just 350 metres away."
Élégant studio à côté du Parlement,9.6,83 reviews,48.59500480,7.76869910,https://www.booking.com/hotel/fr/elegant-studio-a-cote-du-parlement-guestready.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aputn6oGwAIB0gIkYTc5NzQ3MzMtMmQwMy00MzU2LThlMzEtMDFmOTVmMDc3YWY52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=bayesian_review_score&srpvid=208c7dcebefd03c7&srepoch=1699206814&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Élégant studio à côté du Parlement is located in Strasbourg, 1.4 km from St. Paul's Church and 1.5 km from Jardin botanique de l'Université de Strasbourg, in an area where cycling can be enjoyed. It has free bikes, city views and free WiFithroughout the property.

The apartment features 1 bedroom, a flat-screen TV with streaming services, an equipped kitchen with a microwave and a toaster, a washing machine, and 1 bathroom with a shower. Towels and bed linen are featured in the apartment.

Walking tours can be enjoyed nearby.

European Parliament is less than 1 km from the apartment, while Strasbourg Exhibition Centre is a 18-minute walk away. The nearest airport is Strasbourg International Airport, 14 km from Élégant studio à côté du Parlement."
Hôtel LÉONOR the place to live,9.1,"2,914 reviews",48.58594200,7.74723500,https://www.booking.com/hotel/fr/leonor-the-place-to-live.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aputn6oGwAIB0gIkYTc5NzQ3MzMtMmQwMy00MzU2LThlMzEtMDFmOTVmMDc3YWY52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&srpvid=208c7dcebefd03c7&srepoch=1699206814&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Attractively set in Strasbourg, Hôtel LÉONOR the place to live features air-conditioned rooms with free WiFi, private parking and room service. This 4-star hotel offers a bar. Guests can have a drink at the snack bar.

The rooms at the hotel are fitted with a flat-screen TV with cable channels and a safety deposit box. The private bathroom is fitted with a bath or shower, free toiletries and a hairdryer. All guest rooms will provide guests with a fridge.

Hôtel LÉONOR the place to live offers a continental or American breakfast.

Languages spoken at the 24-hour front desk include German, English and French.

Popular points of interest near the accommodation include Strasbourg Cathedral, St. Paul's Church and Jardin botanique de l'Université de Strasbourg. The nearest airport is Strasbourg International Airport, 12 km from Hôtel LÉONOR the place to live."
LE LOFT 67,9.6,249 reviews,48.58673650,7.74376140,https://www.booking.com/hotel/fr/le-loft-67-strasbourg.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aputn6oGwAIB0gIkYTc5NzQ3MzMtMmQwMy00MzU2LThlMzEtMDFmOTVmMDc3YWY52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=bayesian_review_score&srpvid=208c7dcebefd03c7&srepoch=1699206814&from=searchresults#hotelTmpl,"Situated in the centre of Strasbourg, within less than 1 km of Strasbourg Cathedral and a 17-minute walk of St. Paul's Church, LE LOFT 67 is an accommodation offering city views. Complimentary WiFi is available throughout the property and private parking is available on site.

The air-conditioned apartment consists of 2 bedrooms, a living room, a fully equipped kitchen with an oven and a coffee machine, and 2 bathrooms with a bath and a hair dryer. Towels and bed linen are provided in the apartment.

Jardin botanique de l'Université de Strasbourg is 1.9 km from the apartment, while Strasbourg Exhibition Centre is 2.8 km from the property. The nearest airport is Strasbourg International, 11 km from LE LOFT 67, and the property offers a paid airport shuttle service."
Carpe Diem Home - Au pied de la Cathédrale,9.4,660 reviews,48.58207700,7.74916100,https://www.booking.com/hotel/fr/carpe-diem-home.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aputn6oGwAIB0gIkYTc5NzQ3MzMtMmQwMy00MzU2LThlMzEtMDFmOTVmMDc3YWY52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&srpvid=208c7dcebefd03c7&srepoch=1699206814&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located a 1-minute walk from Strasbourg Cathedral and 700 metres from the Petite France district, Carpe Diem Home offers accommodation with a kitchen. Complimentary WiFi is featured.

Located on an upper floor and accessed by stairs, each unit has a dishwasher, oven, a coffee machine, as well as a microwave and kettle.

The European Parliament is a 15-minute drive away and the Alsatian Museum is 450 metres away. Strasbourg International Airport is 12 km away."
Pavillon REGENT PETITE FRANCE,9.0,748 reviews,48.58159136,7.74154821,https://www.booking.com/hotel/fr/pavillon-regent-petite-france.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aputn6oGwAIB0gIkYTc5NzQ3MzMtMmQwMy00MzU2LThlMzEtMDFmOTVmMDc3YWY52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=bayesian_review_score&srpvid=208c7dcebefd03c7&srepoch=1699206814&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Pavillon Régent Petite France is located in the heart of Strasbourg. It offers free WiFi access. The Covered Bridges are a 3-minute walk from this hotel.

Each room here will provide you with a private bathroom including a shower. Tea and coffee making facilities are also offered. You can enjoy River views from the rooms.

Breakfast is served every day.

Strasbourg Train Station is located 800 metres away from the property. Notre-Dame Cathedral is 800 metres from the hotel and the Strasbourg Museum of Modern Art is an 8-minute walk away. Strasbourg Airport is situated 17 km from the property."
Appartement L'Ill au Sable,9.2,229 reviews,48.58095174,7.75305828,https://www.booking.com/hotel/fr/appartement-l-39-ill-au-sable.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aputn6oGwAIB0gIkYTc5NzQ3MzMtMmQwMy00MzU2LThlMzEtMDFmOTVmMDc3YWY52AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=bayesian_review_score&srpvid=208c7dcebefd03c7&srepoch=1699206814&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Housed in a 19th-century building in Strasbourg, Appartement L'Ill au Sable has free WiFi access and is 400 metres from Strasbourg Cathedral.

A microwave, a fridge and a stovetop can be found in the kitchen. Towels, bed linen and a flat-screen TV are provided in this apartment. A combo washer dryer is also at guests' disposal.

The apartment is accessible by a spiral staircase and features wooden beams.

Strasbourg Christmas Market is 500 metres from Appartement L'Ill au Sable. The nearest airport is Strasbourg International Airport, 16 km from the property."
