hotel_name,hotel_score,hotel_reviews,hotel_lat,hotel_lon,hotel_url,hotel_description
CHAMBRE SPACIEUSE DANS MAISON ART DECO au CENTRE DE TOULOUSE,9.3,136 reviews,43.60114600,1.46270900,https://www.booking.com/hotel/fr/chambre-spacieuse-centre-toulouse.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aqasn6oGwAIB0gIkOTI3MWQzNjMtZWRjNy00MjcwLThkYjEtNTJjNmIzMjU3ODQ32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=bayesian_review_score&srpvid=17627d9305d1000b&srepoch=1699206697&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"CHAMBRE SPACIEUSE DANS MAISON ART DECO au CENTRE DE TOULOUSE is set in the Toulouse East district of Toulouse, 4.2 km from Toulouse Stadium, 5.5 km from Zénith de Toulouse and 8.3 km from Amphitheatre Purpan-Ancely. It has a terrace, city views and free WiFithroughout the property.

Towels and bed linen are offered in the homestay.

Guests at the homestay can enjoy a continental breakfast.

CHAMBRE SPACIEUSE DANS MAISON ART DECO au CENTRE DE TOULOUSE offers a picnic area.

Popular points of interest near the accommodation include Jardin Royal, Carmes Metro Station and Jean-Jaures Metro Station. The nearest airport is Toulouse-Blagnac Airport, 9 km from CHAMBRE SPACIEUSE DANS MAISON ART DECO au CENTRE DE TOULOUSE."
"Bel Appartement T3 de 60m2 avec Parking, Terrasse, proche du Métro et du Périph",8.7,37 reviews,43.62617280,1.47635980,https://www.booking.com/hotel/fr/mon-petit-cocon-60m2-avec-parking-au-pied-du-metro.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aqasn6oGwAIB0gIkOTI3MWQzNjMtZWRjNy00MjcwLThkYjEtNTJjNmIzMjU3ODQ32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=bayesian_review_score&srpvid=17627d9305d1000b&srepoch=1699206697&from=searchresults#hotelTmpl,"Situated in Toulouse in the Midi-Pyrénées region, Bel Appartement T3 de 60m2 avec Parking, Terrasse, proche du Métro et du Périph has a balcony. This property offers access to a terrace, free private parking and free WiFi.

The 2-bedroom apartment features a living room with a TV, a fully equipped kitchen with dishwasher and oven, and 1 bathroom with a hair dryer. Towels and bed linen are available in the apartment.

Toulouse Stadium is 7.3 km from the apartment, while Zénith de Toulouse is 8.5 km from the property. The nearest airport is Toulouse-Blagnac Airport, 13 km from Bel Appartement T3 de 60m2 avec Parking, Terrasse, proche du Métro et du Périph."
T2 Lounge & Design - Toulouse Centre Ramblas,8.9,91 reviews,43.60907361,1.45293283,https://www.booking.com/hotel/fr/ramblas-t2-cosy-3-personnes-a-proximite-des-centres-d-39-interets.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aqasn6oGwAIB0gIkOTI3MWQzNjMtZWRjNy00MjcwLThkYjEtNTJjNmIzMjU3ODQ32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=bayesian_review_score&srpvid=17627d9305d1000b&srepoch=1699206697&from=searchresults#hotelTmpl,"Offering free WiFi, T2 Lounge & Design - Toulouse Centre Ramblas is set in the centre of Toulouse within 4.6 km of Toulouse Stadium and 6.7 km from Zénith de Toulouse. It is situated 6.7 km from Amphitheatre Purpan-Ancely and offers a 24-hour front desk.

The 1-bedroom apartment is fitted with a living room with a flat-screen TV with streaming services, a fully equipped kitchenette with a microwave and toaster, and 1 bathroom with walk-in shower.

Popular points of interest near the apartment include Jean-Jaures Metro Station, Toulouse-Matabiau Station and Capitole Metro Station. The nearest airport is Toulouse-Blagnac Airport, 7 km from T2 Lounge & Design - Toulouse Centre Ramblas."
Appartement de prestige – rue des Arts,9.4,40 reviews,43.59999610,1.44726360,https://www.booking.com/hotel/fr/appartement-de-prestige-rue-des-arts-toulouse.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aqasn6oGwAIB0gIkOTI3MWQzNjMtZWRjNy00MjcwLThkYjEtNTJjNmIzMjU3ODQ32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=bayesian_review_score&srpvid=17627d9305d1000b&srepoch=1699206697&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"In the heart of Toulouse, set within a short distance of Esquirol Metro Station and Carmes Metro Station, Appartement de prestige – rue des Arts offers free WiFi, air conditioning and household amenities such as a microwave and coffee machine. The property features inner courtyard and quiet street views, and is 3.6 km from Zénith de Toulouse.

The 1-bedroom apartment is fitted with a living room with a flat-screen TV with streaming services, a fully equipped kitchen with dishwasher and oven, and 1 bathroom with a hair dryer. Towels and bed linen are featured in the apartment.

Popular points of interest near the apartment include Jean-Jaures Metro Station, Jardin Royal and Capitole Metro Station. The nearest airport is Toulouse-Blagnac Airport, 8 km from Appartement de prestige – rue des Arts."
TOULOUSE DUPLEX PLACE DU CAPITOLE,9.4,65 reviews,43.60387050,1.44404200,https://www.booking.com/hotel/fr/toulouse-duplex-place-du-capitole-toulouse1.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aqasn6oGwAIB0gIkOTI3MWQzNjMtZWRjNy00MjcwLThkYjEtNTJjNmIzMjU3ODQ32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=bayesian_review_score&srpvid=17627d9305d1000b&srepoch=1699206697&from=searchresults#hotelTmpl,"Situated in the centre of Toulouse, just 3.7 km from Zénith de Toulouse and 3.7 km from Toulouse Stadium, TOULOUSE DUPLEX PLACE DU CAPITOLE features accommodation with city views and free WiFi. It is located 6.6 km from Amphitheatre Purpan-Ancely and provides a lift.

The 1-bedroom apartment has a living room with a flat-screen TV with satellite channels, a fully equipped kitchen with a dishwasher and oven, and 1 bathroom with walk-in shower. Towels and bed linen are offered in the apartment.

Popular points of interest near the apartment include Place du Capitole, Le Pont Neuf and Esquirol Metro Station. The nearest airport is Toulouse-Blagnac Airport, 8 km from TOULOUSE DUPLEX PLACE DU CAPITOLE."
Villa Lea,9.1,225 reviews,43.58800317,1.38086474,https://www.booking.com/hotel/fr/maison-lea.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aqasn6oGwAIB0gIkOTI3MWQzNjMtZWRjNy00MjcwLThkYjEtNTJjNmIzMjU3ODQ32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=bayesian_review_score&srpvid=17627d9305d1000b&srepoch=1699206697&from=searchresults#hotelTmpl,"Offering a sun terrace and views of the garden, Maison Lea is situated in Toulouse.

Each room comes with a flat-screen TV. All rooms include a private bathroom. For your comfort, you will find free toiletries and a hair dryer.

Toulouse is 5 km from Maison Lea, while Montauban is 48 km from the property. The nearest airport is Toulouse-Blagnac Airport, 5 km from the property."
Appart Hôtel Clément Ader,8.8,"1,146 reviews",43.60944452,1.44867584,https://www.booking.com/hotel/fr/privilege-appart-clement-ader.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aqasn6oGwAIB0gIkOTI3MWQzNjMtZWRjNy00MjcwLThkYjEtNTJjNmIzMjU3ODQ32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=bayesian_review_score&srpvid=17627d9305d1000b&srepoch=1699206697&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in Toulouse city centre, this 4-star residence features a heated outdoor swimming pool, a fitness centre and a sauna. The design apartments offer a wide-screen LCD TV and some have a furnished balcony.

All air-conditioned apartments have a fully-equipped open-plan kitchen with a dishwasher, microwave and a coffee maker. Each contemporary apartment includes free Wi-Fi access.

A buffet breakfast is served every morning in the breakfast room at this Privilège Appart-Hôtel. Guests can enjoy a drink in the lounge bar, Hall 23.

Matabiau Train Station is just 450 metres from Privilège Appart-Hôtel Clément Ader. The historic Place du Capitole is an 8-minute walk away and Toulouse Stadium is a 15-minute drive away. Private parking is available on site."
Le Grand Balcon Hotel,8.8,"2,904 reviews",43.60487367,1.44249469,https://www.booking.com/hotel/fr/le-grand-balcon-toulouse.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aqasn6oGwAIB0gIkOTI3MWQzNjMtZWRjNy00MjcwLThkYjEtNTJjNmIzMjU3ODQ32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=bayesian_review_score&srpvid=17627d9305d1000b&srepoch=1699206697&from=searchresults#hotelTmpl,"Set in central Toulouse, Grand Balcon Hotel is a 4-star hotel featuring a 1930s décor and a 24-hour reception. The property is 4 km from Toulouse Stadium and offers air-conditioned guest rooms with free WiFi access.

A flat-screen TV, a minibar and a Nespresso coffee machine are standard in each soundproofed room. Some rooms have a seating area. All of the contemporary bathrooms.

A buffet breakfast is served every morning at Le Grand Balcon Hotel. Enjoy a drink in the contemporary bar while reading the newspapers provided.

Place du Capitole is just 100 metres from the hotel and Capitole Metro Station is a 3-minute walk away. Galeries Lafayette is a 5-minute walk away."
6 Rue d'Aubuisson,9.4,57 reviews,43.60374139,1.45132891,https://www.booking.com/hotel/fr/6-rue-d-39-aubuisson.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aqasn6oGwAIB0gIkOTI3MWQzNjMtZWRjNy00MjcwLThkYjEtNTJjNmIzMjU3ODQ32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=37&sr_order=bayesian_review_score&srpvid=17627d9305d1000b&srepoch=1699206697&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Offering free WiFi and city views, 6 Rue d'Aubuisson is an accommodation situated right in the heart of Toulouse, just 600 metres from Capitole Metro Station and 800 metres from Jeanne d'Arc Metro Station. The 3-star apartment has inner courtyard views and is 3.7 km from Toulouse Stadium.

This apartment includes 2 bedrooms, a living room and a flat-screen TV, an equipped kitchen with a dining area, and 1 bathroom with a walk-in shower and a washing machine. Towels and bed linen are available in the apartment.

Both a bicycle rental service and a car rental service are available at the apartment.

Popular points of interest near 6 Rue d'Aubuisson include Place du Capitole, Esquirol Metro Station and Jean-Jaures Metro Station. The nearest airport is Toulouse-Blagnac, 7 km from the accommodation, and the property offers a paid airport shuttle service."
Sablotin SPA,9.6,49 reviews,43.63239489,1.44789798,https://www.booking.com/hotel/fr/sablotin-spa.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Aqasn6oGwAIB0gIkOTI3MWQzNjMtZWRjNy00MjcwLThkYjEtNTJjNmIzMjU3ODQ32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=bayesian_review_score&srpvid=17627d9305d1000b&srepoch=1699206697&from=searchresults#hotelTmpl,"Boasting a hot tub, Sablotin SPA is situated in Toulouse. The air-conditioned accommodation is 6.3 km from Amphitheatre Purpan-Ancely, and guests benefit from complimentary WiFi and private parking available on site.

The apartment with a terrace and garden views has 1 bedroom, a living room, a flat-screen TV, an equipped kitchenette with a dishwasher and an oven, and 1 bathroom with a walk-in shower. Towels and bed linen are available in the apartment.

Guests at the apartment can enjoy a continental breakfast.

Guests can relax in the spa and wellness centre, including a hot tub, or in the garden.

Toulouse Stadium is 8 km from Sablotin SPA, while Zénith de Toulouse is 8.4 km from the property. The nearest airport is Toulouse-Blagnac Airport, 7 km from the accommodation."
